 yearReport  lengthReport  Người mua trả tiền trước  Doanh thu chưa thực hiện ngắn hạn  Doanh thu chưa thực hiện  Hàng tồn kho
       2018             1              1.037820e+11                       5.958779e+09              0.000000e+00  6.922584e+11
       2018             2              1.146361e+11                       5.822093e+09              0.000000e+00  5.589614e+11
       2018             3              1.106661e+11                       1.228127e+10              0.000000e+00  8.441007e+11
       2018             4              2.176136e+11                       8.599576e+09              0.000000e+00  8.147888e+11
       2018             5              2.176136e+11                       8.599576e+09              0.000000e+00  8.147888e+11
       2019             1              4.362224e+11                       7.353616e+09              0.000000e+00  6.985772e+11
       2019             2              9.210431e+11                       7.145898e+09              0.000000e+00  5.732989e+11
       2019             3              7.953206e+11                       5.561331e+09              0.000000e+00  2.131721e+12
       2019             4              8.099387e+11                       5.729395e+09              0.000000e+00  2.501529e+12
       2019             5              8.099387e+11                       5.729395e+09              0.000000e+00  2.501529e+12
       2020             1              1.025238e+12                       0.000000e+00              0.000000e+00  3.679846e+12
       2020             2              1.140707e+12                       0.000000e+00              0.000000e+00  3.056920e+12
       2020             3              4.008863e+11                       3.063520e+09              6.529710e+10  2.276983e+12
       2020             4              3.006789e+11                       2.354242e+10              4.418696e+10  2.042672e+12
       2020             5              3.006789e+11                       2.354242e+10              4.418696e+10  2.042672e+12
       2021             1              3.988711e+11                       4.290663e+09              5.833401e+10  2.630442e+12
       2021             2              5.873198e+11                       2.562269e+10              3.676025e+10  2.701929e+12
       2021             3              4.929425e+11                       8.880791e+09              4.442897e+10  3.326018e+12
       2021             4              8.275716e+11                       2.433970e+10              2.711934e+10  3.358910e+12
       2021             5              8.275716e+11                       2.433970e+10              2.711934e+10  3.358910e+12
       2022             1              7.681570e+11                       2.604359e+10              2.281296e+10  2.638528e+12
       2022             2              1.022740e+12                       2.925787e+10              1.855607e+10  4.291304e+12
       2022             3              1.521527e+12                       3.941533e+10              4.263391e+10  4.651973e+12
       2022             4              1.640846e+12                       3.789424e+10              3.638014e+10  3.101942e+12
       2022             5              1.640846e+12                       3.789424e+10              3.638014e+10  3.101942e+12
       2023             1              1.552204e+12                       3.580116e+10              3.022706e+10  5.063093e+12
       2023             2              1.892724e+12                       3.441867e+10              2.402755e+10  5.309068e+12
       2023             3              2.038290e+12                       3.312022e+10              2.235434e+10  6.088769e+12
       2023             4              1.494742e+12                       2.935972e+10              2.200501e+10  1.065836e+13
       2023             5              1.494742e+12                       2.935972e+10              2.200501e+10  1.065836e+13
       2024             1              1.087942e+12                       2.656319e+10              1.696693e+10  9.855435e+12
       2024             2              1.303732e+12                       2.248209e+10              1.489896e+10  9.880160e+12
       2024             3              1.015926e+12                       2.096995e+10              1.269741e+10  9.392832e+12
       2024             4              4.778289e+11                       1.763214e+10              1.056205e+10  8.694931e+12
       2024             5              4.778289e+11                       1.763214e+10              1.056205e+10  8.694931e+12
       2025             1              2.028694e+11                       2.230804e+10              8.502287e+09  8.511005e+12
       2025             2              4.442188e+11                       2.803310e+10              8.502287e+09  8.891395e+12
       2025             3              3.085984e+12                       1.935199e+10              6.680542e+09  9.371927e+12
       2025             4              5.349627e+12                       1.699224e+10              1.487224e+10  1.040947e+13
       2025             5              5.349627e+12                       1.699224e+10              1.487224e+10  1.040947e+13
       2026             1              6.124753e+12                       2.006842e+10              2.024519e+10  1.183534e+13

=== Income revenue ===
rev cols: ['Doanh thu bán hàng và cung cấp dịch vụ', 'Doanh thu thuần']
 yearReport  lengthReport  Doanh thu bán hàng và cung cấp dịch vụ  Doanh thu thuần
       2018             1                            2.565143e+11     2.544831e+11
       2018             2                            2.645217e+11     2.636988e+11
       2018             3                            1.505049e+11     1.505049e+11
       2018             4                            1.597237e+11     1.597237e+11
       2018             5                            8.312646e+11     8.284105e+11
       2019             1                            2.548987e+11     2.548987e+11
       2019             2                            2.322281e+11     2.322281e+11
       2019             3                            4.939462e+11     4.939462e+11
       2019             4                            7.439313e+11     7.439313e+11
       2019             5                            1.725004e+12     1.725004e+12
       2020             1                            7.669987e+11     7.669987e+11
       2020             2                            1.172137e+12     1.172137e+12
       2020             3                            1.936689e+12     1.936689e+12
       2020             4                            6.929795e+11     6.900113e+11
       2020             5                            4.568804e+12     4.565836e+12
       2021             1                            6.215087e+11     6.205832e+11
       2021             2                            4.065416e+11     4.065416e+11
       2021             3                            3.621738e+11     3.621738e+11
       2021             4                            8.342315e+11     8.342315e+11
       2021             5                            2.224456e+12     2.223530e+12
       2022             1                            1.153038e+12     1.153038e+12
       2022             2                            2.338810e+11     2.338810e+11
       2022             3                            3.596803e+11     3.596803e+11
       2022             4                            9.478190e+11     9.477912e+11
       2022             5                            2.694418e+12     2.694391e+12
       2023             1                            5.518595e+11     5.518595e+11
       2023             2                            3.168313e+11     3.168313e+11
       2023             3                            2.541300e+11     2.541208e+11
       2023             4                            1.613116e+12     1.613116e+12
       2023             5                            2.735937e+12     2.735928e+12
       2024             1                            1.619242e+12     1.619242e+12
       2024             2                            8.283929e+11     8.283929e+11
       2024             3                            1.418791e+12     1.418791e+12
       2024             4                            1.560966e+12     1.560966e+12
       2024             5                            5.427393e+12     5.427393e+12
       2025             1                            8.588370e+11     8.588370e+11
       2025             2                            3.903554e+11     3.903554e+11
       2025             3                            3.459265e+11     3.459265e+11
       2025             4                            3.170282e+11     3.170282e+11
       2025             5                            1.912201e+12     1.912201e+12
       2026             1                            3.940844e+11     3.940844e+11
