quarter,framework,n,spearman,p_spearman,kendall
2019Q1,daily_1y,232,0.65483052650156,8.558447619585624e-30,0.5157344231737151
2019Q1,daily_2y,231,0.7103230634535173,8.807595708383655e-37,0.570461631858792
2019Q1,weekly_2y,231,0.6191670817329322,7.669385014244737e-26,0.48758584999068666
2019Q1,weekly_5y,198,0.8008995521544211,1.5758381618465775e-45,0.6620058458223584
2019Q1,monthly_5y,200,0.5542764092010197,1.672473780595622e-17,0.42983891078568687
2020Q1,daily_1y,244,0.5283953899860312,5.9925176743116285e-19,0.4172014870523794
2020Q1,daily_2y,244,0.7871636561281969,1.0419732639097784e-52,0.6450532368402471
2020Q1,weekly_2y,244,0.679545593778669,2.095260821294497e-34,0.5367542826954723
2020Q1,weekly_5y,213,0.8031680324754519,2.3565219860017674e-49,0.6578755203599653
2020Q1,monthly_5y,213,0.6098394115972796,4.389634579342005e-23,0.4794361159569021
2021Q1,daily_1y,321,0.6737014163206213,8.277226312842535e-44,0.5349495599638804
2021Q1,daily_2y,321,0.788207426997718,3.130818943429959e-69,0.6380445742566127
2021Q1,weekly_2y,321,0.6778413855748691,1.591815541799589e-44,0.5207540330388915
2021Q1,weekly_5y,296,0.8020772339267723,8.82950886008635e-68,0.6533845617561969
2021Q1,monthly_5y,298,0.699505069278453,4.238882575563138e-45,0.5502445142170165
2022Q1,daily_1y,474,0.5095394395388516,1.1087797652875878e-32,0.3902783971745765
2022Q1,daily_2y,474,0.8103157275942808,1.2618848398287083e-111,0.6614484434528028
2022Q1,weekly_2y,474,0.6515493472240614,1.3101104997993163e-58,0.5017923513734249
2022Q1,weekly_5y,462,0.8223858132546248,9.592583741613612e-115,0.6743717548729866
2022Q1,monthly_5y,462,0.7616439810201494,1.0258334109496151e-88,0.6076246222064914
2023Q1,daily_1y,438,0.7166944703875117,3.02243429013832e-70,0.5693978401640168
2023Q1,daily_2y,438,0.7561949202680629,2.4816838862914337e-82,0.6060360962934392
2023Q1,weekly_2y,438,0.6285072539210318,1.5902288937618129e-49,0.4877082742661388
2023Q1,weekly_5y,419,0.8574420564844406,2.1581448150444118e-122,0.7123262639653366
2023Q1,monthly_5y,420,0.7467445777266962,4.862149033390159e-76,0.5922405748795642
2024Q1,daily_1y,421,0.6903475996179862,7.072196430824633e-61,0.5438339483537984
2024Q1,daily_2y,421,0.8408399770760584,9.343626361303673e-114,0.6914225771297515
2024Q1,weekly_2y,421,0.7067077670612738,5.9857557502006525e-65,0.554316023005702
2024Q1,weekly_5y,407,0.8634938704910068,1.8665795945848113e-122,0.7166751421644963
2024Q1,monthly_5y,409,0.7619194503471957,8.623454130596258e-79,0.6085551687994506
2025Q1,daily_1y,430,0.6430400633858715,1.53312693787574e-51,0.5020597939332899
2025Q1,daily_2y,431,0.7671476440632407,9.521327242100051e-85,0.622210164766086
2025Q1,weekly_2y,431,0.645865718618649,3.0693581945820884e-52,0.5076403039053389
2025Q1,weekly_5y,426,0.864997056614234,4.647060215274199e-129,0.7226707472119815
2025Q1,monthly_5y,426,0.7765629364162375,4.257436535239191e-87,0.6275716614630112
2026Q1,daily_1y,439,0.6848284168353993,4.783029642540561e-62,0.5382523928281251
2026Q1,daily_2y,439,0.7491619790980065,3.4034299722832375e-80,0.6007678673224148
2026Q1,weekly_2y,439,0.6415825654438393,2.765199786988898e-52,0.49709734588066923
2026Q1,weekly_5y,433,0.868851525743756,1.115647373533783e-133,0.728871351739927
2026Q1,monthly_5y,433,0.7518173447971009,5.65786562198176e-80,0.6025162014984228
