start,committed_from,cand,need,length,end,outcome,group,year,period
2014-02-25,3,1,25,25,2014-03-31,commit,need25_into_CRISIS_EXBULL,2014,IS_2014_2019
2014-05-27,1,3,10,10,2014-06-09,commit,need10_other,2014,IS_2014_2019
2014-12-02,3,2,10,8,2014-12-11,revert,need10_other,2014,IS_2014_2019
2014-12-12,3,1,25,15,2015-01-05,revert,need25_into_CRISIS_EXBULL,2014,IS_2014_2019
2015-01-06,3,2,10,4,2015-01-09,revert,need10_other,2015,IS_2014_2019
2015-04-01,3,2,10,10,2015-04-14,commit,need10_other,2015,IS_2014_2019
2015-04-16,2,3,10,10,2015-05-05,commit,need10_other,2015,IS_2014_2019
2015-05-18,3,2,10,7,2015-05-26,revert,need10_other,2015,IS_2014_2019
2015-08-25,3,2,10,2,2015-08-26,revert,need10_other,2015,IS_2014_2019
2015-08-27,3,1,25,3,2015-08-31,revert,need25_into_CRISIS_EXBULL,2015,IS_2014_2019
2015-09-01,3,2,10,3,2015-09-04,revert,need10_other,2015,IS_2014_2019
2015-12-08,3,2,10,10,2015-12-21,commit,need10_other,2015,IS_2014_2019
2015-12-22,2,3,10,10,2016-01-05,commit,need10_other,2015,IS_2014_2019
2016-01-18,3,2,10,3,2016-01-20,revert,need10_other,2016,IS_2014_2019
2016-01-21,3,1,25,8,2016-02-01,revert,need25_into_CRISIS_EXBULL,2016,IS_2014_2019
2016-02-02,3,2,10,7,2016-02-17,revert,need10_other,2016,IS_2014_2019
2016-07-27,3,1,25,25,2016-08-30,commit,need25_into_CRISIS_EXBULL,2016,IS_2014_2019
2016-12-21,1,3,10,10,2017-01-04,commit,need10_other,2016,IS_2014_2019
2017-11-23,3,4,10,7,2017-12-01,revert,need10_other,2017,IS_2014_2019
2017-12-04,3,5,25,7,2017-12-12,revert,need25_into_CRISIS_EXBULL,2017,IS_2014_2019
2017-12-13,3,4,10,10,2017-12-26,commit,need10_other,2017,IS_2014_2019
2018-01-05,4,5,25,11,2018-01-19,revert,need25_into_CRISIS_EXBULL,2018,IS_2014_2019
2018-02-06,4,1,25,25,2018-03-19,commit,need25_into_CRISIS_EXBULL,2018,IS_2014_2019
2018-06-08,1,3,10,10,2018-06-21,commit,need10_other,2018,IS_2014_2019
2018-06-22,3,2,10,9,2018-07-04,revert,need10_other,2018,IS_2014_2019
2018-07-05,3,1,25,12,2018-07-20,revert,need25_into_CRISIS_EXBULL,2018,IS_2014_2019
2018-07-23,3,2,10,7,2018-07-31,revert,need10_other,2018,IS_2014_2019
2018-10-01,3,4,10,8,2018-10-10,revert,need10_other,2018,IS_2014_2019
2018-10-25,3,2,10,3,2018-10-29,revert,need10_other,2018,IS_2014_2019
2018-10-30,3,1,25,8,2018-11-08,revert,need25_into_CRISIS_EXBULL,2018,IS_2014_2019
2018-11-09,3,2,10,10,2018-11-22,commit,need10_other,2018,IS_2014_2019
2018-11-26,2,3,10,10,2018-12-07,commit,need10_other,2018,IS_2014_2019
2018-12-25,3,2,10,2,2018-12-26,revert,need10_other,2018,IS_2014_2019
2018-12-27,3,1,25,13,2019-01-16,revert,need25_into_CRISIS_EXBULL,2018,IS_2014_2019
2019-01-17,3,2,10,2,2019-01-18,revert,need10_other,2019,IS_2014_2019
2019-02-19,3,4,10,7,2019-02-27,revert,need10_other,2019,IS_2014_2019
2019-02-28,3,5,25,11,2019-03-14,revert,need25_into_CRISIS_EXBULL,2019,IS_2014_2019
2019-03-15,3,4,10,3,2019-03-19,revert,need10_other,2019,IS_2014_2019
2019-03-20,3,1,25,25,2019-04-24,commit,need25_into_CRISIS_EXBULL,2019,IS_2014_2019
2019-05-22,1,3,10,10,2019-06-04,commit,need10_other,2019,IS_2014_2019
2019-06-07,3,2,10,4,2019-06-12,revert,need10_other,2019,IS_2014_2019
2019-06-17,3,2,10,6,2019-06-24,revert,need10_other,2019,IS_2014_2019
2019-07-31,3,4,10,3,2019-08-02,revert,need10_other,2019,IS_2014_2019
2019-11-27,3,2,10,10,2019-12-10,commit,need10_other,2019,IS_2014_2019
2019-12-31,2,3,10,10,2020-01-14,commit,need10_other,2019,IS_2014_2019
2020-02-07,3,2,10,10,2020-02-20,commit,need10_other,2020,OOS_2020_now
2020-03-02,2,1,25,25,2020-04-06,commit,need25_into_CRISIS_EXBULL,2020,OOS_2020_now
2020-05-04,1,2,10,7,2020-05-12,revert,need10_other,2020,OOS_2020_now
2020-05-13,1,3,10,10,2020-05-26,commit,need10_other,2020,OOS_2020_now
2020-06-16,3,1,25,2,2020-06-17,revert,need25_into_CRISIS_EXBULL,2020,OOS_2020_now
2020-06-18,3,2,10,10,2020-07-01,commit,need10_other,2020,OOS_2020_now
2020-07-06,2,3,10,10,2020-07-17,commit,need10_other,2020,OOS_2020_now
2020-08-03,3,2,10,5,2020-08-07,revert,need10_other,2020,OOS_2020_now
2020-09-23,3,4,10,10,2020-10-06,commit,need10_other,2020,OOS_2020_now
2020-10-19,4,5,25,7,2020-10-27,revert,need25_into_CRISIS_EXBULL,2020,OOS_2020_now
2020-10-28,4,2,10,3,2020-10-30,revert,need10_other,2020,OOS_2020_now
2020-11-02,4,1,25,5,2020-11-06,revert,need25_into_CRISIS_EXBULL,2020,OOS_2020_now
2020-11-09,4,3,10,4,2020-11-12,revert,need10_other,2020,OOS_2020_now
2020-11-25,4,5,25,25,2020-12-29,commit,need25_into_CRISIS_EXBULL,2020,OOS_2020_now
2021-01-28,5,4,10,2,2021-01-29,revert,need10_other,2021,OOS_2020_now
2021-02-01,5,3,10,10,2021-02-19,commit,need10_other,2021,OOS_2020_now
2021-02-22,3,4,10,10,2021-03-05,commit,need10_other,2021,OOS_2020_now
2021-04-07,4,5,25,10,2021-04-20,revert,need25_into_CRISIS_EXBULL,2021,OOS_2020_now
2021-04-28,4,3,10,5,2021-05-06,revert,need10_other,2021,OOS_2020_now
2021-05-11,4,3,10,3,2021-05-13,revert,need10_other,2021,OOS_2020_now
2021-05-19,4,3,10,5,2021-05-25,revert,need10_other,2021,OOS_2020_now
2021-06-07,4,5,25,3,2021-06-09,revert,need25_into_CRISIS_EXBULL,2021,OOS_2020_now
2021-06-23,4,5,25,11,2021-07-07,revert,need25_into_CRISIS_EXBULL,2021,OOS_2020_now
2021-07-13,4,3,10,10,2021-07-26,commit,need10_other,2021,OOS_2020_now
2021-08-10,3,4,10,10,2021-08-23,commit,need10_other,2021,OOS_2020_now
2021-08-26,4,3,10,10,2021-09-10,commit,need10_other,2021,OOS_2020_now
2021-10-13,3,4,10,10,2021-10-26,commit,need10_other,2021,OOS_2020_now
2021-11-03,4,5,25,14,2021-11-22,revert,need25_into_CRISIS_EXBULL,2021,OOS_2020_now
2021-11-23,4,1,25,25,2021-12-27,commit,need25_into_CRISIS_EXBULL,2021,OOS_2020_now
2022-06-01,1,2,10,10,2022-06-14,commit,need10_other,2022,OOS_2020_now
2022-06-21,2,1,25,23,2022-07-21,revert,need25_into_CRISIS_EXBULL,2022,OOS_2020_now
2022-08-04,2,3,10,10,2022-08-17,commit,need10_other,2022,OOS_2020_now
2022-09-06,3,2,10,10,2022-09-19,commit,need10_other,2022,OOS_2020_now
2022-09-28,2,1,25,25,2022-11-01,commit,need25_into_CRISIS_EXBULL,2022,OOS_2020_now
2022-12-02,1,2,10,10,2022-12-15,commit,need10_other,2022,OOS_2020_now
2023-01-03,2,1,25,3,2023-01-05,revert,need25_into_CRISIS_EXBULL,2023,OOS_2020_now
2023-01-18,2,3,10,10,2023-02-07,commit,need10_other,2023,OOS_2020_now
2023-03-06,3,2,10,10,2023-03-17,commit,need10_other,2023,OOS_2020_now
2023-03-22,2,3,10,10,2023-04-04,commit,need10_other,2023,OOS_2020_now
2023-04-27,3,2,10,7,2023-05-10,revert,need10_other,2023,OOS_2020_now
2023-07-13,3,4,10,5,2023-07-19,revert,need10_other,2023,OOS_2020_now
2023-07-20,3,5,25,23,2023-08-21,revert,need25_into_CRISIS_EXBULL,2023,OOS_2020_now
2023-08-22,3,4,10,2,2023-08-23,revert,need10_other,2023,OOS_2020_now
2023-09-08,3,4,10,7,2023-09-18,revert,need10_other,2023,OOS_2020_now
2023-09-19,3,1,25,25,2023-10-23,commit,need25_into_CRISIS_EXBULL,2023,OOS_2020_now
2023-11-14,1,2,10,3,2023-11-16,revert,need10_other,2023,OOS_2020_now
2023-11-17,1,3,10,10,2023-11-30,commit,need10_other,2023,OOS_2020_now
2024-01-11,3,4,10,10,2024-01-24,commit,need10_other,2024,OOS_2020_now
2024-03-04,4,5,25,10,2024-03-15,revert,need25_into_CRISIS_EXBULL,2024,OOS_2020_now
2024-04-04,4,1,25,25,2024-05-14,commit,need25_into_CRISIS_EXBULL,2024,OOS_2020_now
2024-08-19,1,3,10,10,2024-08-30,commit,need10_other,2024,OOS_2020_now
2024-10-29,3,2,10,5,2024-11-04,revert,need10_other,2024,OOS_2020_now
2024-11-07,3,2,10,3,2024-11-11,revert,need10_other,2024,OOS_2020_now
2024-11-15,3,2,10,4,2024-11-20,revert,need10_other,2024,OOS_2020_now
2024-11-21,3,1,25,5,2024-11-27,revert,need25_into_CRISIS_EXBULL,2024,OOS_2020_now
2024-11-28,3,2,10,3,2024-12-02,revert,need10_other,2024,OOS_2020_now
2025-01-14,3,2,10,7,2025-01-22,revert,need10_other,2025,OOS_2020_now
2025-02-24,3,4,10,10,2025-03-07,commit,need10_other,2025,OOS_2020_now
2025-03-27,4,3,10,8,2025-04-08,revert,need10_other,2025,OOS_2020_now
2025-04-09,4,1,25,10,2025-04-22,revert,need25_into_CRISIS_EXBULL,2025,OOS_2020_now
2025-04-23,4,2,10,6,2025-05-05,revert,need10_other,2025,OOS_2020_now
2025-05-06,4,3,10,10,2025-05-19,commit,need10_other,2025,OOS_2020_now
2025-05-30,3,4,10,8,2025-06-10,revert,need10_other,2025,OOS_2020_now
2025-06-27,3,4,10,8,2025-07-08,revert,need10_other,2025,OOS_2020_now
2025-07-09,3,5,25,25,2025-08-12,commit,need25_into_CRISIS_EXBULL,2025,OOS_2020_now
2025-09-09,5,4,10,10,2025-09-22,commit,need10_other,2025,OOS_2020_now
2025-09-23,4,3,10,10,2025-10-06,commit,need10_other,2025,OOS_2020_now
2025-10-14,3,4,10,5,2025-10-20,revert,need10_other,2025,OOS_2020_now
2025-11-12,3,2,10,4,2025-11-17,revert,need10_other,2025,OOS_2020_now
2025-12-09,3,4,10,3,2025-12-11,revert,need10_other,2025,OOS_2020_now
2026-01-15,3,4,10,10,2026-01-28,commit,need10_other,2026,OOS_2020_now
2026-02-02,4,3,10,10,2026-02-13,commit,need10_other,2026,OOS_2020_now
2026-03-13,3,2,10,9,2026-03-25,revert,need10_other,2026,OOS_2020_now
2026-03-26,3,1,25,6,2026-04-02,revert,need25_into_CRISIS_EXBULL,2026,OOS_2020_now
2026-04-03,3,2,10,6,2026-04-10,revert,need10_other,2026,OOS_2020_now
2026-06-29,3,4,10,9,2026-07-09,censored,need10_other,2026,OOS_2020_now
