k,n_at_risk,revert_at_k,commit_at_k,censored_at_k,hazard_revert,p_commit_given_k,n_resolved,lo,hi
1,55,0,0,0,0.0,0.5,54,0.37037037037037035,0.6481481481481481
2,55,2,0,0,0.03636363636363636,0.5,54,0.37037037037037035,0.6481481481481481
3,53,6,0,0,0.11320754716981132,0.5192307692307693,52,0.37735849056603776,0.660377358490566
4,47,3,0,0,0.06382978723404255,0.5869565217391305,46,0.4358695652173913,0.7333333333333333
5,44,6,0,0,0.13636363636363635,0.627906976744186,43,0.475,0.7727272727272727
6,38,2,0,0,0.05263157894736842,0.7297297297297297,37,0.5757386363636364,0.868421052631579
7,36,4,0,0,0.1111111111111111,0.7714285714285715,35,0.6176470588235294,0.9063210227272723
8,32,3,0,0,0.09375,0.8709677419354839,31,0.7407004830917874,0.9705882352941176
9,29,1,0,1,0.034482758620689655,0.9642857142857143,28,0.88,1.0
10,27,0,27,0,0.0,1.0,27,1.0,1.0
