,ticker,route,rating,moat5f,pb_z,value_yield_pct,cfo_normy,cfo_confirm,value_score,value_pct,cf_peak,drop_pct,ROE_Trailing,liq_bn,zone,zone_old,val_route,ey_pct,cfy_pct,ps_pct,eveb_pct,golden_cell,peak_earn,value_score_v2,value_score_v3,zone_v2,forensic
1,DRI,CYCLICAL,2,NARROW,-0.61,1.0,0.1078,False,1.0,0.985,False,-16.2,0.3011020903642705,4.23,1_BUY-NOW,1_BUY-NOW,CYCLICAL,1.0,1.0,0.5454545454545454,0.9090909090909091,0.0,1.91,0.992,1.0,1_BUY-NOW,
2,IDC,REALESTATE,2,NARROW,-1.35,1.0,0.3434,True,1.0,0.985,False,-19.1,0.2959207504366866,39.36,1_BUY-NOW,1_BUY-NOW,REALESTATE,1.0,0.8,0.9166666666666666,1.0,1.0,0.99,1.0,1.0,1_BUY-NOW,
3,SHB,BANK,3,—,-0.51,0.9705882352941176,0.4754,True,1.0,0.985,True,-19.3,0.1714213002417534,561.34,1_BUY-NOW,1_BUY-NOW,BANK,0.9705882352941176,0.8571428571428571,0.8235294117647058,,0.0,0.96,1.0,0.897,1_BUY-NOW,
4,TPB,BANK,3,—,-1.24,0.9705882352941176,0.7788,True,1.0,0.985,True,-16.1,0.1668976399510087,119.21,1_BUY-NOW,1_BUY-NOW,BANK,0.9705882352941176,0.9285714285714286,0.7647058823529411,,1.0,0.9,1.0,1.0,1_BUY-NOW,
5,MSH,COMPOUNDER,3,—,-1.0,0.9534883720930233,,False,0.985,0.959,False,-14.8,0.2958259262355565,3.75,1_BUY-NOW,1_BUY-NOW,RETAIL,0.9534883720930233,,0.6744186046511628,0.7380952380952381,1.0,1.19,1.0,0.985,1_BUY-NOW,
6,DCM,CYCLICAL,3,—,-1.07,0.8181818181818182,,False,0.978,0.949,False,-28.9,0.2324815616372244,63.95,1_BUY-NOW,1_BUY-NOW,CYCLICAL,0.8181818181818182,,0.8181818181818182,0.7272727272727273,1.0,1.03,0.942,0.978,1_BUY-NOW,
7,PNJ,COMPOUNDER,1,—,-3.31,0.9767441860465116,0.0721,False,0.973,0.939,True,-55.8,0.2714977626432939,307.84,1_BUY-NOW,1_BUY-NOW,RETAIL,0.9767441860465116,0.3333333333333333,0.8837209302325582,0.9523809523809523,1.0,1.26,1.0,0.973,1_BUY-NOW,
8,PVT,COMPOUNDER,3,—,-1.11,0.7558139534883721,0.3213,True,0.966,0.929,False,-21.4,0.1496223907747408,49.55,1_BUY-NOW,1_BUY-NOW,D&A_HEAVY,0.7558139534883721,0.9487179487179487,0.8372093023255814,0.9761904761904762,1.0,1.1,0.951,0.966,1_BUY-NOW,
9,CTG,BANK,1,—,-1.16,0.7647058823529411,0.2976,True,0.957,0.918,True,-15.0,0.2182740797761774,285.24,1_BUY-NOW,1_BUY-NOW,BANK,0.7647058823529411,0.5,0.5882352941176471,,1.0,1.21,0.957,0.772,1_BUY-NOW,
10,TNG,COMPOUNDER,3,—,-0.87,0.9069767441860465,0.1497,True,0.952,0.908,False,-14.4,0.2195590620628977,8.56,1_BUY-NOW,1_BUY-NOW,RETAIL,0.9069767441860465,0.7692307692307693,0.9534883720930233,0.6666666666666666,0.0,1.27,1.0,0.952,1_BUY-NOW,
11,VIX,SECURITIES,2,—,-0.7,1.0,,False,0.948,0.898,False,-34.5,0.1901528232226477,668.76,1_BUY-NOW,1_BUY-NOW,SECURITIES,1.0,,0.6923076923076923,1.0,0.0,1.22,0.948,0.813,1_BUY-NOW,
12,IJC,REALESTATE,3,—,-1.49,0.9166666666666666,,False,0.946,0.888,False,-25.4,0.0958579921115267,15.63,1_BUY-NOW,1_BUY-NOW,REALESTATE,0.9166666666666666,,0.75,0.8,1.0,0.74,0.946,0.872,1_BUY-NOW,related_party
13,VRE,REALESTATE,2,—,-1.13,0.8333333333333334,,False,0.922,0.878,False,-31.0,0.1498450705167339,129.99,1_BUY-NOW,1_BUY-NOW,REALESTATE,0.8333333333333334,,0.3333333333333333,0.6,1.0,1.46,0.922,0.735,1_BUY-NOW,non_operating_profit
14,NT2,POWER,2,—,-2.29,0.97,0.1316,True,0.904,0.867,True,-13.0,0.2718286351282597,9.85,1_BUY-NOW,1_BUY-NOW,POWER,0.97,0.5285714285714286,0.83,0.9102564102564102,1.0,1.91,1.0,0.904,1_BUY-NOW,
15,SIP,REALESTATE,2,—,-1.2,0.75,0.0672,False,0.898,0.852,True,-13.8,0.270780299627566,3.39,1_BUY-NOW,1_BUY-NOW,REALESTATE,0.75,0.2,1.0,0.7,1.0,0.91,0.898,0.832,1_BUY-NOW,
16,PVP,COMPOUNDER,3,—,0.11,0.8837209302325582,0.2679,True,0.898,0.852,False,-17.9,0.1630885661936811,7.13,1_BUY-NOW,2_ACCUMULATE,D&A_HEAVY,0.8837209302325582,0.8974358974358975,0.6511627906976745,1.0,0.0,1.37,0.84,0.898,1_BUY-NOW,
17,NAB,BANK,3,—,-0.22,0.8823529411764706,1.8368,True,0.897,0.837,True,-10.0,0.1948153232575526,28.99,1_BUY-NOW,2_ACCUMULATE,BANK,0.8823529411764706,1.0,0.8823529411764706,,0.0,1.0,0.897,0.978,1_BUY-NOW,
18,ANV,COMPOUNDER,3,—,-1.4,0.9302325581395349,0.1208,True,0.892,0.827,False,-28.5,0.2387110613261084,9.91,1_BUY-NOW,1_BUY-NOW,RETAIL,0.9302325581395349,0.6923076923076923,0.7674418604651163,0.8095238095238095,1.0,1.79,1.0,0.892,1_BUY-NOW,
19,VND,SECURITIES,3,—,-0.66,0.9230769230769231,,False,0.891,0.816,False,-13.1,0.1281509669458407,295.24,1_BUY-NOW,1_BUY-NOW,SECURITIES,0.9230769230769231,,0.7692307692307693,0.9166666666666666,0.0,0.84,0.891,0.795,1_BUY-NOW,
20,HDG,REALESTATE,2,—,-1.44,0.6666666666666666,0.1566,True,0.863,0.806,False,-30.6,0.1170444679730406,29.6,1_BUY-NOW,1_BUY-NOW,REALESTATE,0.6666666666666666,0.4,0.8333333333333334,0.9,1.0,0.8,0.863,0.725,1_BUY-NOW,
21,VHC,COMPOUNDER,2,—,-1.41,0.7209302325581395,0.1521,True,0.857,0.796,False,-15.7,0.1526601944025651,11.34,1_BUY-NOW,1_BUY-NOW,RETAIL,0.7209302325581395,0.7948717948717948,0.6046511627906976,0.7857142857142857,1.0,0.87,0.929,0.857,1_BUY-NOW,
22,SSI,SECURITIES,2,—,-1.07,0.7692307692307693,,False,0.85,0.786,False,-18.2,0.1388057533469829,489.63,1_BUY-NOW,1_BUY-NOW,SECURITIES,0.7692307692307693,,0.5384615384615384,0.6666666666666666,1.0,1.07,0.85,0.746,1_BUY-NOW,
23,SCS,COMPOUNDER,2,NARROW,-1.97,0.8604651162790697,0.1486,True,0.844,0.776,False,-14.2,0.4608808236607924,6.1,1_BUY-NOW,1_BUY-NOW,COMPOUNDER,0.8604651162790697,0.7435897435897436,0.16279069767441862,0.8809523809523809,1.0,0.98,1.0,0.844,1_BUY-NOW,
24,VIB,BANK,3,—,-1.13,0.5882352941176471,0.2787,True,0.842,0.765,True,-14.5,0.1564632001575616,97.06,1_BUY-NOW,1_BUY-NOW,BANK,0.5882352941176471,0.35714285714285715,0.7058823529411765,,1.0,0.66,0.842,0.767,1_BUY-NOW,
25,PAN,COMPOUNDER,2,—,-0.4,1.0,0.3578,True,0.839,0.755,True,-19.1,0.1889842817894393,5.03,1_BUY-NOW,1_BUY-NOW,RETAIL,1.0,1.0,0.9069767441860465,0.9047619047619048,0.0,2.05,0.975,0.839,1_BUY-NOW,
