ticker,route,rating,core_score,stab,moat,note,redflag,ROIC3Y,ROIC_Min3Y,ROE_Min3Y,ROE_Trailing,ROE3Y,ROIC_Trailing,neg_q,ROE_Min5Y,ROIC_Min5Y,STLTDebt_Eq_P0,Debt_Eq_P0,cfo_np,FSCORE,GPM_P0,PB,pb_z,PE,earn_yield,cfo_yield,cfo_normy,sales_yield,eveb_yield,div_yield,Dividend_Min3Y,cf_peak,proven5y,CF_OA_3Y,ROE5Y,drop_pct,liq_bn,ICB_Code
VCB,BANK,1,6,1.0,STRONG,elite asset-quality,,0.0,0.0,0.1672069733,0.1779450732024943,0.1905781974999999,0.0,0.0,0.1672069733,0.0,0.0,9.9000933888,5.34,6.0,0.6533387597,1.9940058920166552,-2.09,11.9,0.084,0.449,0.1347,0.2502,,0.0,0.0,True,True,136811852000000.0,0.20417141967,-9.7,175.53,8355.0
CTG,BANK,1,6,1.0,STRONG,elite asset-quality,,0.0,0.0,0.17048957725,0.2182740797761774,0.1887581986333333,0.0,0.0,0.1676201536,0.0,0.0,14.4970771387,3.88,2.0,0.7031315503,1.1948292026590588,-1.16,5.95,0.1681,0.6511,0.2976,0.6863,,0.0,0.0,True,True,213601034000000.0,0.18073817498,-15.0,285.24,8355.0
TCB,BANK,2,5,1.0,STRONG,strong asset-quality,,0.0,0.0,0.1474726014,0.1538556651910205,0.152311441,0.0,0.0,0.1474726014,0.0,0.0,5.7359583094,1.55,3.0,0.691152583,1.085448431287456,-0.52,7.57,0.1321,0.2053,0.1533,0.3867,,0.0,0.0,False,True,94353460000000.0,0.17365451795,-16.3,361.35,8355.0
ACB,BANK,2,3,1.0,STRONG,strong asset-quality,,0.0,0.0,0.1755767655,0.163258406325001,0.2136016053833333,0.0,0.0,0.1755767655,0.0,0.0,9.752154836,-0.28,1.0,0.6806239144,1.279942181849989,-0.87,8.11,0.1233,,,0.5383,,0.032,700.0,False,True,73666506000000.0,0.2299469586199999,-8.2,349.04,8355.0
MBB,BANK,2,3,1.0,STRONG,strong asset-quality,,0.0,0.0,0.2067216406,0.1577083046595628,0.2209553038999999,0.0,0.0,0.2067216406,0.0,0.0,9.7597533612,,3.0,0.7123489073,1.2622382911,-0.27,6.03,0.1658,0.5433,0.409,0.6146,,0.0,0.0,True,True,160075627000000.0,0.22689326208,-11.9,303.83,8355.0
HDB,BANK,3,6,1.0,STRONG,profitable (AQ-modulated),,0.0,0.0,0.2414328236,0.238292311252994,0.24639510045,0.0,0.0,0.2201770537,0.0,0.0,10.8315114965,4.27,2.0,0.7315294223,1.516276190818052,0.11,7.4,0.1351,0.577,0.4355,0.5781,,0.0,0.0,True,True,164810828000000.0,0.23758295782,-10.3,294.76,8355.0
BID,BANK,3,6,1.0,STRONG,profitable (AQ-modulated),,0.0,0.0,0.1878030961,0.1809120571280962,0.1909761302333333,0.0,0.0,0.12607796245,0.0,0.0,16.7744483776,5.12,3.0,0.6686747666,1.451253236909933,-1.95,8.96,0.1116,0.5718,0.266,0.588,,0.0,0.0,True,True,220772270000000.0,0.17866341141,-17.2,121.9,8355.0
ABB,BANK,3,6,0.5,MODERATE+,bank-nodata,,0.0,0.0,0.0340922498999999,0.2102277732703101,0.0857044513833333,0.0,1.0,0.0340922498999999,0.0,0.0,10.5307638421,3.49,5.0,0.6888108163,1.2372341848927368,1.46,7.19,0.1391,0.4848,0.2909,0.5836,,,,True,True,24395803000000.0,0.10580185717,-7.9,34.76,8355.0
LPB,BANK,3,6,1.0,STRONG,profitable (AQ-modulated),,0.0,0.0,0.1917882303,0.2472498994008608,0.2317111315333333,0.0,0.0,0.18081956405,0.0,0.0,13.3038714348,2.94,4.0,0.6977378175,3.5960837337607265,2.23,13.7,0.073,0.2143,0.2427,0.2862,,0.0,0.0,False,True,112659326000000.0,0.21936881371,-11.5,131.89,8355.0
NAB,BANK,3,6,1.0,STRONG,profitable (AQ-modulated),,0.0,0.0,0.1879932321,0.1948153232575526,0.1975851708166666,0.0,0.0,0.1729442106,0.0,0.0,15.5808322158,13.89,4.0,0.6627089403,1.013022991888035,-0.22,5.59,0.1789,2.4841,1.8368,1.0383,,,,True,True,144535788000000.0,0.1954017095499999,-10.0,28.99,8355.0
