metric,h,IC_IS,p_IS,IC_OOS,p_OOS,IC_Full,p_Full
B1_ad_line,5,0.0037893716994381274,0.885641007232924,0.026831969483763735,0.2798482083400285,0.026337568513509303,0.1447727134146099
B1_ad_line,20,-0.06115556654781569,0.02016474509176962,0.022188777401244267,0.3737550358718967,-0.008251865916680173,0.6486096089151164
B1_ad_line,60,-0.13774539976029906,1.4961209048509512e-07,0.12122526898009392,1.4664862801948416e-06,0.023410018982354827,0.19899359081303966
B2_nhnl,5,-0.0011142603187354822,0.9662670699771567,0.029960410422645106,0.22754295439119784,0.016917893567729755,0.3489609886990056
B2_nhnl,20,-0.004396695492088549,0.8674702629652302,0.06499711084452817,0.0091094754193912,0.03462709603668599,0.05577869137363593
B2_nhnl,60,-0.001902361865248131,0.9424410290473778,0.04721168569972107,0.06153444325625016,0.022925763491699426,0.2084468369081352
B3_ma20,5,0.009102452450218903,0.7297328563769536,-0.013705286618537942,0.581011111483436,-0.0027089702677149928,0.8807936076305104
B3_ma20,20,0.07273965644726475,0.005702449237806971,-0.0066000623520600585,0.7913630045034494,0.02763975907648272,0.12685500481744472
B3_ma20,60,0.058120033888530244,0.02726173955503836,0.0006711515944444541,0.9788078570326728,0.026240401776166523,0.14993311945297702
B3_ma50,5,0.010186216382596449,0.6990398616088843,-0.05089431595875601,0.040292864483787605,-0.02471690229814662,0.17116015219526642
B3_ma50,20,0.07418166505652724,0.0048117989937500475,-0.04960828306383342,0.04663689218493698,0.003185096794649723,0.8603813451014771
B3_ma50,60,0.03546221726572962,0.17818849438885306,-0.02123772722787645,0.4005364299432462,0.000794116082755153,0.9652516694132758
P_ma200,5,-0.0864512407152861,0.0010114599646416952,-0.0021930448925158597,0.9296308331664739,-0.04025404023235141,0.025795032255726043
P_ma200,20,-0.1081012068829082,3.8729998689261485e-05,0.030513033810292214,0.22122287174288777,-0.034572180953154515,0.05616857080973292
P_ma200,60,-0.11978928642457674,5.044898849228041e-06,0.12460843820423276,7.376094901720215e-07,0.00572191596193286,0.7535965012366529
P_rsi_os,5,-0.035713229363553436,0.17513429898713043,-0.0006075146091718212,0.9804830477913261,-0.02075047279724283,0.25062739144709906
P_rsi_os,20,-0.01926158711517612,0.4647055099374168,0.029878399078881117,0.23098376385879293,0.004137756737739915,0.8192596293002431
P_rsi_os,60,0.06418161002245126,0.01475006974785315,0.04948364135755507,0.050029065038340384,0.05261307879538408,0.003873343945545019
