nav,leg,status,cagr,sharpe,maxdd,calmar,final_b,is_cagr,oos_cagr,sc0,exit0,gate,ab_BAL,op_BAL,stuck_BAL,ab_LAG,op_LAG,stuck_LAG,ab_CAPIT,op_CAPIT,stuck_CAPIT,ab_TONG,op_TONG,stuck_TONG
1,real,OK,25.9,1.67,-17.7,1.46,17.64,24.185406034718127,27.383249319047763,True,True,"('False', '0.2', '0.2', '1')",0.3937007874015748,254,0.2567677673756334,25.157232704402517,795,5.037424673658426,0.0,97,0.0,17.539267015706805,1146,5.294192441034059
1,ideal,OK,23.81,1.59,-16.6,1.43,14.31,23.266952957046755,24.184025914132604,True,True,"('True', 'None', 'None', '1')",0.0,247,0.0,0.0,547,0.0,0.0,92,0.0,0.0,886,0.0
5,real,OK,29.5,1.86,-17.9,1.65,125.23,28.36567207117625,30.42141575371059,True,True,"('False', '0.2', '0.2', '5')",6.115107913669065,278,13.16465651438343,37.33990147783251,1015,51.29739314950551,1.0309278350515463,97,1.419598769351055,28.56115107913669,1390,65.88164843324
5,ideal,OK,23.36,1.56,-16.7,1.4,68.43,23.020643224001972,23.55124422815065,True,True,"('True', 'None', 'None', '5')",0.0,249,0.0,0.0,567,0.0,0.0,92,0.0,0.0,908,0.0
10,real,OK,28.57,1.81,-17.3,1.65,229.13,26.470799576266543,30.422040488536254,True,True,"('False', '0.2', '0.2', '10')",14.006514657980455,307,59.311004374680955,41.007194244604314,1112,95.92077511422696,2.0408163265306123,98,2.5874466369727087,33.02570863546473,1517,157.81922612588062
10,ideal,OK,23.18,1.55,-16.7,1.38,134.29,22.85578523349392,23.34391182739533,True,True,"('True', 'None', 'None', '10')",0.0,249,0.0,0.0,572,0.0,0.0,92,0.0,0.0,913,0.0
20,real,OK,28.14,1.83,-17.4,1.61,439.37,25.80341856682115,30.249819100997854,True,True,"('False', '0.2', '0.2', '20')",25.423728813559322,354,190.37511231926408,47.96747967479675,1230,230.69708655087635,4.081632653061225,98,9.384363243375258,40.66587395957194,1682,430.4565621135157
20,ideal,OK,22.95,1.54,-16.8,1.37,262.51,22.529082709856624,23.212425312267086,True,True,"('True', 'None', 'None', '20')",0.0,249,0.0,0.0,576,0.0,0.0,92,0.0,0.0,917,0.0
30,real,OK,29.26,1.91,-18.0,1.63,734.79,25.638449536048768,32.64467955480558,True,True,"('False', '0.2', '0.2', '30')",32.06106870229008,393,325.448588546835,50.63861758076634,1331,354.3294744656725,6.122448979591836,98,14.990907225302639,44.2371020856202,1822,694.7689702378102
30,ideal,OK,22.89,1.53,-16.8,1.36,391.2,22.460813136854682,23.15129887233877,True,True,"('True', 'None', 'None', '30')",0.0,250,0.0,0.0,581,0.0,0.0,92,0.0,0.0,923,0.0
50,real,OK,28.86,1.9,-17.8,1.62,1178.01,27.09246784804003,30.478569651640782,True,True,"('False', '0.2', '0.2', '50')",40.70796460176991,452,616.8382868112067,56.60881174899866,1498,773.7281052756933,11.320754716981131,106,36.059396174635665,50.778210116731515,2056,1426.6257882615357
50,ideal,OK,22.79,1.53,-16.8,1.36,645.72,22.39633879335183,23.027164989067046,True,True,"('True', 'None', 'None', '50')",0.0,251,0.0,0.0,584,0.0,0.0,92,0.0,0.0,927,0.0
75,real,OK,28.05,1.87,-18.3,1.53,1633.46,26.226688928034235,29.728684191747334,True,True,"('False', '0.2', '0.2', '75')",44.6058091286307,482,803.5264269688415,59.84107579462103,1636,1278.6903376492066,16.831683168316832,101,82.73038405279937,54.57413249211356,2219,2164.9471486708476
75,ideal,OK,22.86,1.53,-16.8,1.36,975.37,22.37053905308011,23.184261421807477,True,True,"('True', 'None', 'None', '75')",0.0,252,0.0,0.0,584,0.0,0.0,92,0.0,0.0,928,0.0
100,real,OK,27.17,1.83,-18.9,1.43,1998.49,25.021381032728755,29.16023769145147,True,True,"('False', '0.2', '0.2', '100')",53.2967032967033,546,1407.7527363205963,61.986301369863014,1752,1764.747454957159,22.727272727272727,110,113.04111927999098,58.222591362126245,2408,3285.5413105577463
100,ideal,OK,22.83,1.53,-16.8,1.36,1295.88,22.340276402054798,23.144667537036028,True,True,"('True', 'None', 'None', '100')",0.0,252,0.0,0.0,587,0.0,0.0,92,0.0,0.0,931,0.0
