event,ticker,n,adv20_pre,adv_washout,cap_vnd_bn
2014-05-08,HPG,3,31.855900000000002,100.58444,6.371180000000001
2014-05-08,PVD,3,30.18675,87.00923,6.03735
2014-05-08,PVS,3,60.135347,154.949873,12.027069400000002
2015-08-24,DPM,3,23.223114000000002,51.0885,4.6446228000000005
2015-08-24,HPG,3,68.606239,123.804666,13.7212478
2015-08-24,PVS,3,22.9020152,66.393236,4.58040304
2016-01-18,LIX,5,0.86351,3.76675,0.17270200000000002
2016-01-18,DRC,5,0.471644,6.34,0.0943288
2016-01-18,DPM,5,22.979745,22.71608,4.595949
2016-01-18,NNC,5,0.3351225,2.3278,0.0670245
2016-01-18,VNM,5,45.144495,145.56204,9.028899000000001
2018-05-28,VSC,3,4.48492,6.526806,0.896984
2018-05-28,FMC,3,3.117344,5.215637,0.6234688
2018-05-28,TCM,3,3.175821,4.570776,0.6351642000000001
2020-03-12,CVT,6,4.35600075,9.022771,0.87120015
2020-03-12,SCS,6,2.6545949999999996,20.655218,0.5309189999999999
2020-03-12,SAB,6,11.08173,5.55264,2.216346
2020-03-12,VSC,6,2.1518100000000002,6.701149,0.4303620000000001
2020-03-12,BMP,6,6.440023,15.9039,1.2880046
2020-03-12,NT2,6,3.6063195,6.7328305,0.7212639000000001
2022-04-20,C32,7,9.702735,6.259,1.9405470000000002
2022-04-20,HPG,7,762.3965049999999,571.82976,152.479301
2022-04-20,MCH,7,1.25856,6.927177,0.251712
2022-04-20,NHH,7,7.8412175,3.29056,1.5682435000000001
2022-04-20,SAB,7,23.37117,55.47,4.674234
2022-04-20,TLG,7,3.0249300000000003,3.91906,0.6049860000000001
2022-04-20,VCS,7,20.538735000000003,19.910672,4.107747000000001
2022-06-20,HPG,3,688.40392,805.09464,137.680784
2022-06-20,VCS,3,8.7241651,10.78616,1.7448330200000002
2022-06-20,SAB,3,25.370514999999997,7.9648,5.074103
2022-09-29,CSV,7,22.99444,9.89826,4.5988880000000005
2022-09-29,DPG,7,56.4434675,18.6223,11.2886935
2022-09-29,GAS,7,41.056079999999994,32.298,8.211215999999999
2022-09-29,PTB,7,8.31006,10.4622,1.662012
2022-09-29,SAB,7,24.15935,11.57124,4.83187
2022-09-29,THG,7,1.2283149999999998,2.105005,0.24566299999999996
2022-09-29,TLG,7,34.527215,50.84842,6.905443
2023-10-31,SLS,4,3.26808,2.5151634,0.653616
2023-10-31,VCS,4,5.65723715,7.0683572,1.1314474300000001
2023-10-31,QNS,4,33.65609955,31.9002423,6.73121991
2023-10-31,MCH,4,1.3408395,4.8670908,0.2681679
2024-04-19,MSH,6,4.15789,4.10184,0.831578
2024-04-19,TLG,6,4.200575,3.496,0.840115
2024-04-19,VCS,6,9.16244095,7.6697814,1.8324881900000003
2024-04-19,HDG,6,72.8003875,60.49764,14.5600775
2024-04-19,QNS,6,26.8312327,34.401549,5.366246540000001
2024-04-19,VNM,6,292.99673075,290.2811346,58.59934615
2024-08-05,RAL,5,2.611155,2.88486,0.522231
2024-08-05,SAB,5,39.694900000000004,83.694,7.938980000000001
2024-08-05,TLG,5,3.687655,17.827155,0.737531
2024-08-05,VCS,5,19.362707999999998,14.8730152,3.8725416
2024-08-05,VNM,5,243.15487285,844.0579986,48.63097457000001
2025-04-03,FMC,5,3.7221075,5.49002,0.7444215000000001
2025-04-03,DGW,5,43.361940000000004,58.633555,8.672388000000002
2025-04-03,SCS,5,16.5386383,56.91884520000001,3.30772766
2025-04-03,TNG,5,20.72421535,43.0853905,4.14484307
2025-04-03,CTR,5,58.9622531,69.6973186,11.79245062
2025-10-20,DHC,3,7.5443620000000005,12.757568,1.5088724000000002
2025-10-20,DGW,3,54.25419,85.44778,10.850838000000001
2025-10-20,GAS,3,29.79759,34.4679,5.959518
2026-03-09,CTR,6,60.6769642,68.9627754,12.135392840000002
2026-03-09,NCT,6,1.6434199999999999,3.12647,0.328684
2026-03-09,NTC,6,2.1112,10.206,0.42224000000000006
2026-03-09,VCS,6,3.482504,7.6927256,0.6965008
2026-03-09,VGC,6,91.664885,28.69312,18.332977
2026-03-09,VNM,6,519.0607704,1050.7302498,103.81215408000001
