time,state,state_pub,dep_cap,dep_prop,chg6m,refi_chg6m,vnindex,w_pub,w_v,sleeve_delta
2014-01-02,3,3,9,9,,,504.51,0.7,0.7,0.0
2014-01-03,3,3,9,9,,,505.37,0.7,0.7,0.0
2014-01-06,3,3,9,9,,,509.1,0.7,0.7,0.0
2014-01-07,3,3,9,9,,,510.12,0.7,0.7,0.0
2014-01-08,3,3,9,9,,,513.9,0.7,0.7,0.0
2014-01-09,3,3,9,9,,,516.98,0.7,0.7,0.0
2014-01-10,3,3,9,9,,,518.94,0.7,0.7,0.0
2014-01-13,3,3,9,9,,,521.11,0.7,0.7,0.0
2014-01-14,3,3,9,9,,,522.31,0.7,0.7,0.0
2014-01-15,3,3,9,9,,,526.68,0.7,0.7,0.0
2014-01-16,3,3,9,9,,,533.54,0.7,0.7,0.0
2014-01-17,3,3,9,9,,,543.59,0.7,0.7,0.0
2014-01-20,3,3,9,9,,,553.67,0.7,0.7,0.0
2014-01-21,3,3,9,9,,,559.91,0.7,0.7,-0.0
2014-01-22,3,3,9,9,,,551.92,0.7,0.7,0.0
2014-01-23,3,3,9,9,,,553.55,0.7,0.7,0.0
2014-01-24,3,3,9,9,,,560.19,0.7,0.7,-0.0
2014-01-27,3,3,9,9,,,556.52,0.7,0.7,-0.0
2014-02-06,3,3,9,9,,,554.68,0.7,0.7,-0.0
2014-02-07,3,3,9,9,,,549.76,0.7,0.7,0.0
2014-02-10,3,3,9,9,,,555.9,0.7,0.7,-0.0
2014-02-11,3,3,9,9,,,553.9,0.7,0.7,0.0
2014-02-12,3,3,9,9,,,564.25,0.7,0.7,0.0
2014-02-13,3,3,9,9,,,570.18,0.7,0.7,0.0
2014-02-14,3,3,9,9,,,572.22,0.7,0.7,-0.0
2014-02-17,3,3,9,9,,,570.2,0.7,0.7,0.0
2014-02-18,3,3,9,9,,,574.56,0.7,0.7,0.0
2014-02-19,3,3,9,9,,,578.12,0.7,0.7,-0.0
2014-02-20,3,3,9,9,,,571.04,0.7,0.7,-0.0
2014-02-21,3,3,9,9,,,570.57,0.7,0.7,0.0
2014-02-24,3,3,9,9,,,576.58,0.7,0.7,0.0
2014-02-25,3,3,9,9,,,586.2,0.7,0.7,0.0
2014-02-26,3,3,9,9,,,589.81,0.7,0.7,-0.0
2014-02-27,3,3,9,9,,,584.79,0.7,0.7,0.0
2014-02-28,3,3,9,9,,,586.48,0.7,0.7,-0.0
2014-03-03,3,3,9,9,,,573.38,0.7,0.7,-0.0
2014-03-04,3,3,9,9,,,569.97,0.7,0.7,0.0
2014-03-05,3,3,9,9,,,574.94,0.7,0.7,0.0
2014-03-06,3,3,9,9,,,578.56,0.7,0.7,0.0
2014-03-07,3,3,9,9,,,579.75,0.7,0.7,0.0
2014-03-10,3,3,9,9,,,583.69,0.7,0.7,0.0
2014-03-11,3,3,9,9,,,588.5,0.7,0.7,0.0
2014-03-12,3,3,9,9,,,590.02,0.7,0.7,0.0
2014-03-13,3,3,9,9,,,595.22,0.7,0.7,0.0
2014-03-14,3,3,9,9,,,596.83,0.7,0.7,0.0
