h,ctrl,sig,n_months,avg_n,IC,t,hit,IC_IS,IC_OOS
fwd20,raw,S1_netpers_180,132,366.0,0.0139,2.23,0.568,0.0089,0.0174
fwd20,ey,S1_netpers_180,132,331.0,0.0096,1.58,0.576,0.0058,0.0123
fwd20,ey+rat8l,S1_netpers_180,132,331.0,0.0091,1.52,0.583,0.0069,0.0106
fwd20,raw,S2_netpers_90,132,366.0,0.0191,3.12,0.591,0.0188,0.0193
fwd20,ey,S2_netpers_90,132,331.0,0.0131,2.15,0.598,0.0137,0.0126
fwd20,ey+rat8l,S2_netpers_90,132,331.0,0.0129,2.17,0.591,0.0159,0.0108
fwd20,raw,S3_netsh_osh,132,365.0,0.0104,1.73,0.545,0.0059,0.0137
fwd20,ey,S3_netsh_osh,132,331.0,0.0051,0.85,0.553,-0.0002,0.0089
fwd20,ey+rat8l,S3_netsh_osh,132,331.0,0.0047,0.77,0.561,0.0001,0.0079
fwd20,raw,S4_netsh_adv,132,365.0,0.0108,1.86,0.568,0.0063,0.014
fwd20,ey,S4_netsh_adv,132,329.0,0.0049,0.83,0.553,-0.0011,0.0092
fwd20,ey+rat8l,S4_netsh_adv,132,329.0,0.0045,0.76,0.568,-0.0006,0.0082
fwd20,raw,S5_sign_180,132,366.0,0.0128,2.03,0.561,0.0087,0.0157
fwd20,ey,S5_sign_180,132,331.0,0.0078,1.26,0.545,0.0045,0.0101
fwd20,ey+rat8l,S5_sign_180,132,331.0,0.0072,1.18,0.538,0.0052,0.0086
fwd20,raw,S6_buyonly_180,0,,,,,,
fwd20,ey,S6_buyonly_180,0,,,,,,
fwd20,ey+rat8l,S6_buyonly_180,0,,,,,,
fwd60,raw,S1_netpers_180,131,366.0,0.0177,2.87,0.573,-0.001,0.0312
fwd60,ey,S1_netpers_180,131,330.0,0.0112,1.83,0.511,-0.0036,0.0219
fwd60,ey+rat8l,S1_netpers_180,131,330.0,0.01,1.65,0.496,-0.0019,0.0187
fwd60,raw,S2_netpers_90,131,366.0,0.0243,3.97,0.641,0.0096,0.0349
fwd60,ey,S2_netpers_90,131,330.0,0.016,2.52,0.588,0.0048,0.0242
fwd60,ey+rat8l,S2_netpers_90,131,330.0,0.0158,2.52,0.565,0.008,0.0215
fwd60,raw,S3_netsh_osh,131,364.0,0.014,2.22,0.588,-0.0052,0.0279
fwd60,ey,S3_netsh_osh,131,330.0,0.0071,1.16,0.527,-0.0097,0.0192
fwd60,ey+rat8l,S3_netsh_osh,131,330.0,0.0064,1.04,0.504,-0.0088,0.0174
fwd60,raw,S4_netsh_adv,131,364.0,0.0142,2.33,0.588,-0.0032,0.0268
fwd60,ey,S4_netsh_adv,131,329.0,0.0069,1.15,0.527,-0.0089,0.0183
fwd60,ey+rat8l,S4_netsh_adv,131,329.0,0.0063,1.04,0.511,-0.0079,0.0166
fwd60,raw,S5_sign_180,131,366.0,0.0156,2.52,0.542,-0.0012,0.0278
fwd60,ey,S5_sign_180,131,330.0,0.0085,1.38,0.489,-0.0051,0.0184
fwd60,ey+rat8l,S5_sign_180,131,330.0,0.0074,1.2,0.496,-0.0037,0.0154
fwd60,raw,S6_buyonly_180,0,,,,,,
fwd60,ey,S6_buyonly_180,0,,,,,,
fwd60,ey+rat8l,S6_buyonly_180,0,,,,,,
