yr,n_buy_all,n_buy_ge1B,n_buy_ge2B,pct_cut_1B,pct_cut_2B,extra_2B_vs_1B_pp
2014,805,350,269,56.52173913043479,66.58385093167702,10.062111801242231
2015,1035,648,552,37.39130434782608,46.666666666666664,9.275362318840585
2016,393,338,279,13.994910941475824,29.007633587786263,15.012722646310438
2017,2264,1643,1416,27.429328621908123,37.455830388692576,10.026501766784452
2018,2681,1767,1429,34.09175680716151,46.69899291309213,12.607236105930617
2019,2763,1568,1315,43.250090481360836,52.406804198335145,9.15671371697431
2020,7671,5425,4750,29.2791031156303,38.07847738234911,8.799374266718807
2021,10999,8968,8140,18.465315028638962,25.99327211564688,7.52795708700792
2022,384,235,211,38.802083333333336,45.052083333333336,6.25
2023,5001,3830,3207,23.415316936612673,35.87282543491301,12.457508498300339
2024,3598,2599,2283,27.765425236242358,36.54808226792663,8.782657031684273
2025,7079,5353,4658,24.381974855205534,34.19974572679757,9.817770871592039
2026,2353,1514,1403,35.656608584785374,40.37399065023375,4.717382065448376
