time,floor
2007-04-03,1885090000.0
2007-04-04,1891500000.0
2007-04-05,1915500000.0
2007-04-06,1939500000.0
2007-04-09,1915500000.0
2007-04-10,1891500000.0
2007-04-11,1887712500.0
2007-04-12,1883925000.0
2007-04-13,1881302500.0
2007-04-16,1878680000.0
2007-04-17,1873940000.0
2007-04-18,1869200000.0
2007-04-19,1866096250.0
2007-04-20,1862992500.0
2007-04-23,1862456250.0
2007-04-24,1861920000.0
2007-04-25,1855335000.0
2007-05-02,1848750000.0
2007-05-03,1842570000.0
2007-05-04,1836390000.0
2007-05-07,1827185000.0
2007-05-08,1817980000.0
2007-05-09,1814360000.0
2007-05-10,1810740000.0
2007-05-11,1800992500.0
2007-05-14,1791245000.0
2007-05-15,1777877500.0
2007-05-16,1764510000.0
2007-05-17,1746407000.0
2007-05-18,1728304000.0
2007-05-21,1688462000.0
2007-05-22,1648620000.0
2007-05-23,1634805000.0
2007-05-24,1620990000.0
2007-05-25,1612895000.0
2007-05-28,1604800000.0
2007-05-29,1597128750.0
2007-05-30,1589457500.0
2007-05-31,1587688750.0
2007-06-01,1585920000.0
2007-06-04,1577272500.0
2007-06-05,1568625000.0
2007-06-06,1566637500.0
2007-06-07,1564650000.0
2007-06-08,1549657500.0
2007-06-11,1534665000.0
2007-06-12,1512412500.0
2007-06-13,1490160000.0
2007-06-14,1488767500.0
2007-06-15,1487375000.0
2007-06-18,1487087500.0
2007-06-19,1486800000.0
2007-06-20,1484632500.0
2007-06-21,1482465000.0
2007-06-22,1469257500.0
2007-06-25,1456050000.0
2007-06-26,1437625000.0
2007-06-27,1419200000.0
2007-06-28,1409075000.0
2007-06-29,1398950000.0
2007-07-02,1398950000.0
2007-07-03,1398950000.0
2007-07-04,1395537500.0
2007-07-05,1392125000.0
2007-07-06,1391562500.0
2007-07-09,1391000000.0
2007-07-10,1386800000.0
2007-07-11,1382600000.0
2007-07-12,1380775000.0
2007-07-13,1378950000.0
2007-07-16,1378950000.0
2007-07-17,1378950000.0
2007-07-18,1375252500.0
2007-07-19,1371555000.0
2007-07-20,1363350000.0
2007-07-23,1355145000.0
2007-07-24,1352772500.0
2007-07-25,1350400000.0
