time,n,p20,p25,p30,p43
2007-01-02,31,3.8976E8,4.4838E8,7.469385E8,1.0030725E9
2007-01-03,31,4.0506E8,4.7064E8,7.609875E8,9.812E8
2007-01-04,31,4.29975E8,4.6965E8,7.93938E8,1.01688E9
2007-01-05,31,4.5738E8,4.92375E8,7.77777E8,1.0059825E9
2007-01-08,31,4.288E8,4.41045E8,7.7441E8,9.881775E8
2007-01-09,32,4.288E8,4.29975E8,7.3807E8,1.0214775E9
2007-01-10,32,4.221E8,4.29975E8,7.22025E8,1.06749E9
2007-01-11,32,4.087E8,4.3953E8,7.57575E8,1.117865E9
2007-01-12,31,3.953E8,4.63914E8,8.1477E8,1.063335E9
2007-01-15,31,3.61425E8,4.86783E8,8.58975E8,1.1268E9
2007-01-16,31,3.504E8,5.10921E8,8.9056E8,1.18314E9
2007-01-17,31,3.9537E8,5.15765E8,9.6416E8,1.19548E9
2007-01-18,31,4.11215E8,5.0652E8,9.853635E8,1.18314E9
2007-01-19,31,3.7975E8,5.194125E8,1.01565E9,1.23487E9
2007-01-22,32,3.689E8,5.1198E8,1.02971E9,1.2111225E9
2007-01-23,32,3.4286E8,5.211225E8,1.02971E9,1.203072E9
2007-01-24,31,5.509075E8,7.17744E8,1.061235E9,1.482465E9
2007-01-25,31,5.68089E8,7.083E8,1.134315E9,1.49016E9
2007-01-26,31,5.53125E8,7.3749E8,1.157864E9,1.4192E9
2007-01-29,32,5.5695E8,7.93325E8,1.168002E9,1.4868E9
2007-01-30,32,5.7E8,8.51477E8,1.2240425E9,1.58592E9
2007-01-31,32,6.1824E8,9.00728E8,1.2830325E9,1.6048E9
2007-02-01,32,6.72168E8,9.553125E8,1.297755E9,1.64862E9
2007-02-02,32,7.2072E8,9.6805E8,1.3602395E9,1.81798E9
2007-02-05,32,7.16625E8,1.01357E9,1.4275305E9,1.76451E9
2007-02-06,33,5.29625E8,9.98174E8,1.139544E9,1.791245E9
2007-02-07,34,5.8647E8,9.7508E8,1.42308E9,1.9628E9
2007-02-08,34,5.65E8,9.36903E8,1.42308E9,1.87868E9
2007-02-09,34,5.51045E8,9.439815E8,1.40184E9,1.8915E9
2007-02-12,34,6.026E8,9.8819E8,1.477685E9,2.01888E9
2007-02-13,35,7.0315E8,9.76005E8,1.52229E9,2.2246075E9
2007-02-14,35,7.475E8,1.03759E9,1.521795E9,2.380665E9
2007-02-15,35,7.48995E8,1.1345275E9,1.54385E9,2.50305E9
2007-02-26,37,1.086601E9,1.203555E9,1.8048135E9,2.6066775E9
2007-02-27,37,1.140802E9,1.262265E9,1.890757E9,2.5815125E9
2007-02-28,38,1.197584E9,1.3496175E9,1.955649E9,3.36608E9
2007-03-01,38,1.1468205E9,1.5084325E9,2.007369E9,3.36608E9
2007-03-02,37,1.12058E9,1.595055E9,2.053155E9,3.00366E9
2007-03-05,37,1.1931205E9,1.66842E9,2.1531805E9,3.12502E9
2007-03-06,38,1.2513215E9,1.771135E9,2.358642E9,3.676365E9
2007-03-07,40,1.354824E9,1.85262E9,2.586375E9,3.79657E9
2007-03-08,41,1.86296E9,1.9578475E9,2.9106E9,4.0205625E9
2007-03-09,43,1.5785925E9,1.97847E9,2.8450125E9,4.400305E9
2007-03-12,43,1.68378E9,2.07948E9,2.83147E9,4.654E9
2007-03-13,48,1.374525E9,2.0787325E9,2.478E9,3.51882E9
2007-03-14,49,1.311E9,2.165865E9,2.33825E9,3.36312E9
2007-03-15,50,1.2636E9,2.0355E9,2.13925E9,3.2720025E9
2007-03-16,53,1.352295E9,2.067105E9,2.26611E9,3.41939E9
2007-03-19,57,1.423125E9,2.03112E9,2.19744E9,3.5667775E9
2007-03-20,59,1.4058E9,1.96593E9,2.2089E9,3.6956E9
2007-03-21,60,1.1183025E9,1.771E9,1.967355E9,3.47627E9
2007-03-22,65,9.8235E8,1.481525E9,1.88604E9,3.4068E9
2007-03-23,73,1.05252E9,1.5498E9,1.62225E9,3.05838E9
2007-03-26,76,9.389E8,1.3181E9,1.552875E9,2.659965E9
2007-03-27,84,9.13905E8,1.1655325E9,1.40007E9,2.2791325E9
