year,N_ev,N_tk,post_mean,post_med,post_sd,post_iqr,hit%,IC_surprise_B_MA,T31_surprise_B_MA,IC_d_NPR,T31_d_NPR,IC_pa_HL3,T31_pa_HL3,IC_blend,T31_blend
2014,194,122,8.438969040071104,4.341234644866033,20.07962769898979,19.02102507465128,63.4020618556701,0.13241487336946747,8.3372768302772,0.1503236847829464,8.83235349480956,0.04658595264062445,3.119481985142654,0.1269222314348935,5.236280073007495
2015,381,201,2.7761987124917544,0.6514657980456029,13.261665928720486,12.51148478175268,51.96850393700787,0.07138793318073366,2.211670078312883,-0.011200002351056585,-0.5984392350363574,-0.0176338685136068,-0.6143526386765199,0.07378522578761151,3.7558010773911854
2016,371,196,3.451726498740155,1.9186046511627808,15.56300024224197,16.10628493690868,54.17789757412399,0.1710805902264622,6.517791181696655,0.026565626833201836,2.4817315163643263,-0.07364741261406647,-3.981188727689653,0.08464531279819183,0.6196467067446676
2017,310,187,3.990454075044105,1.4667813964250653,15.359545289025144,13.114265328787928,54.19354838709678,0.046237461582121664,1.2593135073666657,-0.023774035985353242,-1.0262818828389575,0.046914970550651705,1.7430968116707413,0.07770609882650073,3.7753306431541773
2018,320,191,2.2585876849798305,0.72033898305085,14.812723498762187,12.989286680289208,53.125,0.08661446954584182,4.092774923272421,-0.07703808555348426,-1.2715930812360359,-0.01396872076452598,0.4298188049974987,0.07831565997537714,1.9481681908540045
2019,304,192,0.7711035544987704,-0.2722592807424595,13.782511987192793,11.460036671260518,42.10526315789473,0.0768029806760664,-0.20760599173924543,-0.06390867115754872,-0.9879373554369119,0.04376656949727689,-0.4522546861620233,0.12822810046745334,0.9623262426817072
2020,307,211,6.096825155858909,1.5021459227467782,23.651266338990567,19.10188488836029,54.39739413680782,-0.03493012207880282,-1.4271218025620733,-0.04497795453150427,-4.915111253102834,0.02165196488469719,8.506537665325926,-0.017339121163628197,1.4712144681357868
2021,581,323,12.509327558696063,9.680134680134689,20.296471331769645,23.252526301218158,71.08433734939759,0.18082941785990972,6.974742002614866,0.04257445514707516,1.712346892857429,0.021502971643925155,2.1204972625201375,0.14592436980480455,7.524543511271071
2022,650,381,0.014960763061053163,-0.501361707676723,15.703865682514214,16.766476328229352,44.30769230769231,0.19155049843674551,7.278373675317537,0.1389152051437292,5.562253226800591,0.04496771514382086,3.1430855918125076,0.16187786662223644,6.736359893633642
2023,408,277,5.177656892378155,2.079097468377211,17.317304755931087,13.788819216293668,57.59803921568627,0.10981895459107287,3.582339356216408,0.05456486374379082,3.9828816221710395,0.045825296789039065,2.275401373510067,0.09770191935682927,2.4931386142141365
2024,563,319,4.943240612696775,2.496626180836703,13.555023323519261,9.821773761645886,62.87744227353463,0.01592727993492088,-0.026228220912567934,-0.14003270203587967,-4.407776541453947,-0.004826914191217853,-1.5274334709152941,-0.01704910656022484,-2.63014334352327
2025,643,348,3.9304173025657754,1.2115967113803583,13.037669936413128,12.792736464384518,54.74339035769829,0.005024007061823635,-0.14554302451961654,0.011729552403422612,1.7619437745901916,0.031806673358356775,2.1315459897720612,0.03935420320448366,2.1115150351591447
2026,287,226,-0.8243351090295477,-3.1633311814073584,23.014270540878872,9.95044937542745,29.61672473867596,0.017481829573860717,3.1892476630161255,0.0048913688594059285,3.372494242937073,-0.08290375241639815,-6.0383324218408845,-0.020552125710405805,1.568848745638808
