event,ovs,state,pe_pct,dd52,n_prune,r_prune,x_prune,n_pit,r_pit,x_pit,skip,nm_prune,nm_pit
2009-12-10,0.4074074074074074,,0.1597729115977291,-26.502163114885434,0,,,0,,,ro<3,,
2010-08-09,0.4110429447852759,,0.13610888710968774,-24.25893286332319,3,0.004048653529183488,-0.026903401265337062,4,-0.10719444433216707,-0.1381464991266876,,"CVT,DPM,NTL","CVT,DPM,HHC,NTL"
2010-10-20,0.3821656050955413,,0.10648518815052041,-29.145970197083805,2,,,2,,,ro<3,"DPM,NTL","DPM,NTL"
2011-02-21,0.4189189189189189,,0.2978382706164932,-11.974522292993628,0,,,0,,,ro<3,,
2011-04-21,0.3193277310924369,,0.16573258606885508,-16.232939035486805,0,,,0,,,ro<3,,
2011-11-14,0.3592233009708738,,0.051240992794235385,-25.04018369690012,2,,,2,,,ro<3,"DPM,FPT","DPM,FPT"
2012-08-23,0.4285714285714286,,0.3546837469975981,-19.515643247894765,3,-0.07937856084073014,-0.11067308138867535,3,-0.07937856084073014,-0.11067308138867535,,"DPM,PGD,PVD","DPM,PGD,PVD"
2014-05-08,0.5249999999999998,1.0,0.6893514811849479,-13.24335445642333,3,0.2635427085541222,0.23327558526645098,3,0.2635427085541222,0.23327558526645098,,"HPG,PVD,PVS","HPG,PVD,PVS"
2015-05-18,0.3108108108108106,3.0,0.4867894315452362,-17.44830277019117,2,,,2,,,ro<3,"DPM,PVS","DPM,PVS"
2015-08-24,0.4465408805031445,3.0,0.28102481985588473,-17.763558330081942,3,0.04492903760136979,0.014319448560273902,3,0.04492903760136979,0.014319448560273902,,"DPM,HPG,PVS","DPM,HPG,PVS"
2016-01-18,0.4444444444444445,3.0,0.2642113690952762,-17.585996336250766,5,0.14749819490076344,0.11449134558569493,7,0.15266168177951545,0.11965483246444694,,"DPM,DRC,LIX,NNC,VNM","DPM,DRC,DVP,LIX,NNC,PVS,VNM"
2018-05-28,0.4145077720207253,1.0,0.8927141713370697,-22.633331395879864,3,0.1953827150254288,0.16511559173775758,3,0.1953827150254288,0.16511559173775758,,"FMC,TCM,VSC","FMC,TCM,VSC"
2018-07-05,0.3121387283236995,3.0,0.8726981585268214,-25.319472237675722,3,0.537860816015477,0.5065662954675317,3,0.537860816015477,0.5065662954675317,,"FMC,GAS,TCM","FMC,GAS,TCM"
2020-02-03,0.3522727272727272,3.0,0.2658126501200961,-9.44180464626163,5,-0.023802271180598078,-0.05441186022169397,5,-0.023802271180598078,-0.05441186022169397,,"BMP,CVT,NT2,SAB,VSC","BMP,CVT,NT2,SAB,VSC"
2020-03-11,0.3275862068965517,2.0,0.0744595676541233,-20.836951537208147,6,0.2839406457086022,0.2519611936538077,6,0.2839406457086022,0.2519611936538077,,"BMP,CVT,NT2,SAB,SCS,VSC","BMP,CVT,NT2,SAB,SCS,VSC"
2020-07-27,0.3918918918918918,3.0,0.1257005604483587,-23.391322164873017,8,0.28880064036437325,0.25819105132327735,8,0.28880064036437325,0.25819105132327735,,"BMP,DPG,GIL,KSB,MWG,NT2,SCS,VSC","BMP,DPG,GIL,KSB,MWG,NT2,SCS,VSC"
2022-04-19,0.3828571428571431,1.0,0.31385108086469177,-7.9891663450152635,5,-0.13200570494205177,-0.1629577597365723,5,-0.13200570494205177,-0.1629577597365723,,"C32,NHH,SAB,TLG,VCS","C32,NHH,SAB,TLG,VCS"
2022-06-15,0.3030303030303027,2.0,0.03522818254603683,-20.583944470976135,4,0.06068242822666603,0.029045441925296164,4,0.06068242822666603,0.029045441925296164,,"HPG,NHH,SAB,VCS","HPG,NHH,SAB,VCS"
2022-09-28,0.3554006968641114,2.0,0.02642113690952762,-25.183668395951774,7,-0.12354502470235695,-0.15381214799002818,7,-0.12354502470235695,-0.15381214799002818,,"CSV,DPG,GAS,NTP,PTB,SAB,TLG","CSV,DPG,GAS,NTP,PTB,SAB,TLG"
2023-10-30,0.3152542372881358,1.0,0.16813450760608487,-16.306704134885585,4,0.11344511247689759,0.0828355234358017,4,0.11344511247689759,0.0828355234358017,,"MCH,QNS,SLS,VCS","MCH,QNS,SLS,VCS"
2024-04-17,0.3013698630136986,4.0,0.36909527622097676,-7.531507231549095,6,0.15469930259961684,0.12271985054482232,6,0.15469930259961684,0.12271985054482232,,"HDG,MSH,QNS,TLG,VCS,VNM","HDG,MSH,QNS,TLG,VCS,VNM"
2024-08-05,0.3557046979865773,1.0,0.1969575660528423,-8.716029842260154,5,-0.005321365854292104,-0.03627342064881266,5,-0.005321365854292104,-0.03627342064881266,,"RAL,SAB,TLG,VCS,VNM","RAL,SAB,TLG,VCS,VNM"
2025-04-03,0.5248226950354604,4.0,0.13050440352281825,-7.964018978342546,5,0.17221069923649912,0.13988878142827993,3,0.031510282635570874,-0.0008116351726483034,,"CTR,DGW,FMC,SCS,TNG","FMC,SCS,SLS"
2025-10-20,0.3333333333333335,3.0,0.6525220176140912,-7.381498146418764,3,0.33799970287257675,0.3070476480780562,3,0.33799970287257675,0.3070476480780562,,"DGW,DHC,GAS","DGW,DHC,GAS"
2026-03-09,0.4379844961240309,3.0,0.42033626901521215,-13.144992196244743,6,-0.010039087254542611,-0.041333607802487814,8,0.006167561159195589,-0.025126959388749613,,"CTR,NCT,NTC,VCS,VGC,VNM","CTR,FOC,NCT,NTC,SJD,VCS,VGC,VNM"
2026-07-20,0.4587155963302751,3.0,0.21697357886309046,-9.56616907165161,6,,,6,,,chua du 60 phien,"NCT,PNJ,PVT,SAB,SIP,VNM","NCT,PNJ,PVT,SAB,SIP,VNM"
