f,g,n_called
1.0,0.11484186877197197,0
1.05,0.11840927524378593,0
1.1,0.12191757969965993,0
1.15,0.1253676614804415,0
1.2,0.1287603556466237,0
1.25,0.13209645479777177,0
1.3,0.13537671074639657,0
1.35,0.13860183605694087,0
1.4,0.1417725054594109,0
1.45,0.1448893571461737,0
1.5,0.14795299395952974,0
1.55,0.1509639844768496,0
1.6,0.15392286399932256,0
1.65,0.15683013544968938,0
1.7,0.15968627018371984,0
1.75,0.1624917087196263,0
1.8,0.16524686138909173,0
1.85,0.1679521089131033,0
1.9,0.13044386298424582,1
1.95,0.1051129795699813,2
2.0,0.10467205858820768,2
2.05,0.08956058311955305,3
2.1,0.08817101596321687,3
2.15,0.08657460530887771,3
2.2,0.0385357916190274,4
2.25,0.035253626107136005,4
2.3,-0.02136352427220696,5
2.35,-0.026383142093000255,5
2.4,-0.03170379674830549,5
2.45,-0.061175159415302674,6
2.5,-0.1474580911492633,8
