f,g,n_called
1.0,0.10853105783806596,0
1.05,0.11164613713536643,0
1.1,0.11470491161369462,0
1.15,0.11770819056755547,0
1.2,0.12065674039353282,0
1.25,0.12355128629077798,0
1.3,0.12639251382124495,0
1.35,0.12918107033965193,0
1.4,0.13191756630207088,0
1.45,0.13460257646107865,0
1.5,0.1372366409545324,0
1.55,0.13982026629424496,0
1.6,0.1423539262601195,0
1.65,0.14483806270464952,0
1.7,0.1472730862720954,0
1.75,0.1496593770360915,0
1.8,0.15199728505893126,0
1.85,0.1542871308752959,0
1.9,0.11616861993727945,1
1.95,0.09025223096032857,2
2.0,0.0893557292919358,2
2.05,0.0736973280214856,3
2.1,0.07183574593308653,3
2.15,0.06976215539543232,3
2.2,0.06746412571173065,3
2.25,0.06492774427707762,3
2.3,-0.016796404775800036,5
2.35,-0.021786361088968947,5
2.4,-0.027083508748897887,5
2.45,-0.056679709224074046,6
2.5,-0.14335378717061723,8
