f,g,n_called
1.0,0.10853105783806596,0
1.05,0.11164613713536643,0
1.1,0.11470491161369462,0
1.15,0.11770819056755547,0
1.2,0.12065674039353282,0
1.25,0.12355128629077798,0
1.3,0.12639251382124495,0
1.35,0.12918107033965193,0
1.4,0.13191756630207088,0
1.45,0.13460257646107865,0
1.5,0.1372366409545324,0
1.55,0.13982026629424496,0
1.6,0.1423539262601195,0
1.65,0.14483806270464952,0
1.7,0.1472730862720954,0
1.75,0.1496593770360915,0
1.8,0.15199728505893126,0
1.85,0.1542871308752959,0
1.9,0.15652920590274513,0
1.95,0.1587237727808605,0
2.0,0.16087106564052708,0
2.05,0.11930761531261226,1
2.1,0.09146492237732243,2
2.15,0.09029536305427037,2
2.2,0.08894451242641067,2
2.25,0.07235784776294768,3
2.3,0.0700039346575023,3
2.35,0.06741170748461377,3
2.4,0.06456531294011192,3
2.45,0.06144685407107813,3
2.5,0.0018642798339431304,4
