tag,event,date,wt_base,wt_lever,loan_frac_booknav,book_nav_vnd,loan_vnd,position_vnd
B,0,2014-05-08,1.0,1.3,0.3,25000000000.0,7500000000.000001,32500000000.0
B,2,2015-08-24,0.1129827630468378,0.1468775919608891,0.0338948289140513,27766934051.551987,941155479.1451012,4078340409.6287713
B,3,2016-01-18,0.1884812822610898,0.2450256669394168,0.0565443846783269,29005653206.58612,1640106812.7593532,7107129521.957196
B,4,2018-05-28,0.3909368372623484,0.508217888441053,0.1172810511787045,57495698633.06969,6743155973.940417,29220342553.741814
B,5,2018-07-05,0.1122325301700393,0.1459022892210511,0.0336697590510118,53130872146.27335,1788903663.3351378,7751915874.452264
B,6,2020-02-03,0.1494548170652038,0.1942912621847649,0.0448364451195611,78323957191.96039,3511767808.184188,15217660502.13148
B,7,2020-03-11,0.2133733844587479,0.2773853997963724,0.0640120153376244,77688296069.44518,4972984399.55123,21549599064.722
B,8,2020-07-27,0.0513678384553326,0.0667781899919324,0.0154103515365997,73170411548.569,1127581764.0411296,4886187644.178228
B,10,2022-06-15,0.25,0.325,0.075,273141646862.61932,20485623514.696453,88771035230.35129
B,12,2023-10-30,1.0,1.3,0.3,284082205641.5741,85224661692.47224,369306867334.0463
B,13,2024-04-17,0.0120756593484306,0.0156983571529598,0.0036226978045291,314771527241.5832,1140322120.666385,4941395856.220999
B,14,2024-08-05,0.5,0.65,0.15,358644783195.7168,53796717479.35753,233119109077.2159
B,15,2025-04-03,0.0007557953735876,0.0009825339856639,0.0002267386120763,367267146149.8921,83273642.97925076,360852452.9100866
B,16,2025-10-20,0.0864858937911129,0.1124316619284468,0.0259457681373339,546495167452.2343,14179236902.889135,61443359912.51957
B,17,2026-03-09,0.007045073214512,0.0091585951788656,0.0021135219643536,560216545487.7362,1184029973.6826353,5130796552.624753
L,0,2014-05-08,0.7393660895180507,0.961175916373466,0.2218098268554152,26870672149.87481,5960179137.052361,25827442927.22689
L,2,2015-08-24,0.0002098510887256,0.0002728064153433,6.295532661770332e-05,55462564423.99597,3491663.8583680787,15130543.386261676
L,3,2016-01-18,0.2257596627737977,0.293487561605937,0.0677278988321393,56710932358.297966,3840912289.4391,16643953254.236103
L,4,2018-05-28,0.0,0.0,0.0,87542544688.40593,0.0,0.0
L,5,2018-07-05,0.1122341150580347,0.1459043495754451,0.0336702345174104,82972259437.51692,2793695433.700614,12106013546.035995
L,6,2020-02-03,0.1103428067649445,0.1434456487944279,0.0331028420294833,113101738937.36182,3743988997.3033576,16223952321.64788
L,7,2020-03-11,0.1526975911479066,0.1985068684922785,0.0458092773443719,108296314192.61597,4960975892.222793,21497562199.6321
L,8,2020-07-27,0.0323132884048911,0.0420072749263585,0.0096939865214673,92259793665.39777,894365196.2657248,3875582517.151473
L,10,2022-06-15,0.25,0.325,0.075,267207446018.8206,20040558451.41155,86842419956.1167
L,12,2023-10-30,0.0537451409475565,0.0698686832318234,0.0161235422842669,297066157398.19946,4789758750.034574,20755621250.14982
L,13,2024-04-17,0.4620779125636139,0.6007012863326981,0.1386233737690842,360895392189.4343,50028536843.0162,216790326319.7368
L,14,2024-08-05,0.0,0.0,0.0,385478175767.6094,0.0,0.0
L,15,2025-04-03,0.5,0.65,0.15,484797778724.0493,72719666808.6074,315118556170.6321
L,16,2025-10-20,0.1189112550073759,0.1545846315095887,0.0356733765022127,651055044130.9177,23225331712.946983,100643104089.43694
L,17,2026-03-09,0.0131430304981202,0.0170859396475563,0.003942909149436,655140468128.6412,2583159345.950256,11193690499.117771
