tag,event,date,wt_base,wt_lever,loan_frac_booknav,book_nav_vnd,loan_vnd,position_vnd
B,0,2014-05-08,1.0,1.2,0.1999999999999999,25000000000.0,4999999999.999999,30000000000.0
B,2,2015-08-24,0.1129827630468378,0.1355793156562053,0.0225965526093675,27732517242.743217,626659284.8658397,3759955709.19504
B,3,2016-01-18,0.1884812822610898,0.2261775387133078,0.0376962564522179,28938303000.1062,1090865691.183992,6545194147.103952
B,4,2018-05-28,0.3909368372623484,0.4691242047148181,0.0781873674524696,57328457783.1317,4482361194.173114,26894167165.038685
B,5,2018-07-05,0.1122325301700393,0.1346790362040471,0.0224465060340078,52946015066.08433,1188453046.6575327,7130718279.945198
B,6,2020-02-03,0.1494548170652038,0.1793457804782445,0.0298909634130407,77907738692.58983,2328737366.8529425,13972424201.117657
B,7,2020-03-11,0.2133733844587479,0.2560480613504975,0.0426746768917495,77311642313.70392,3299249355.70783,19795496134.246983
B,8,2020-07-27,0.0513678384553326,0.0616414061463991,0.0102735676910665,72770016457.56157,747607689.956784,4485646139.740705
B,10,2022-06-15,0.25,0.3,0.0499999999999999,250085528397.77112,12504276419.888554,75025658519.33133
B,12,2023-10-30,1.0,1.2,0.1999999999999999,260020471815.0323,52004094363.00645,312024566178.0388
B,13,2024-04-17,0.0120756593484306,0.0144907912181167,0.0024151318696861,287999979228.2822,695557928.3031672,4173347569.819004
B,14,2024-08-05,0.5,0.6,0.0999999999999999,334026343459.69507,33402634345.969498,200415806075.81705
B,15,2025-04-03,0.0007557953735876,0.0009069544483052,0.0001511590747175,341296843960.3087,51590115.137054965,309540690.8223299
B,16,2025-10-20,0.0864858937911129,0.1037830725493355,0.0172971787582225,508698265976.5644,8799044840.594496,52794269043.566986
B,17,2026-03-09,0.007045073214512,0.0084540878574144,0.0014090146429024,516902571015.0925,728323291.5141674,4369939749.085005
L,0,2014-05-08,0.7393660895180507,0.8872393074216608,0.14787321790361,26870672149.87481,3973452758.034905,23840716548.209435
L,2,2015-08-24,0.0002098510887256,0.0002518213064708,4.197021774513557e-05,54059367389.02809,2268883.42048179,13613300.522890735
L,3,2016-01-18,0.2257596627737977,0.2709115953285572,0.0451519325547595,55227855830.49519,2493644421.602501,14961866529.615011
L,4,2018-05-28,0.0,0.0,0.0,85643854373.2722,0.0,0.0
L,5,2018-07-05,0.1122341150580347,0.1346809380696416,0.0224468230116069,81188844524.50714,1822431623.5584853,10934589741.350914
L,6,2020-02-03,0.1103428067649445,0.1324113681179334,0.0220685613529889,111863461378.79156,2468665660.595566,14811993963.573402
L,7,2020-03-11,0.1526975911479066,0.1832371093774879,0.0305395182295813,107076731237.29192,3270071785.585255,19620430713.511536
L,8,2020-07-27,0.0323132884048911,0.0387759460858693,0.0064626576809782,91186439697.6647,589306744.9131708,3535840469.4790263
L,10,2022-06-15,0.25,0.3,0.0499999999999999,263636406614.02213,13181820330.701103,79090921984.20663
L,12,2023-10-30,0.0537451409475565,0.0644941691370678,0.0107490281895113,292742016625.3806,3146692188.9606028,18880153133.763622
L,13,2024-04-17,0.4620779125636139,0.5544934950763367,0.0924155825127228,355610857679.0337,32863984560.256863,197183907361.54117
L,14,2024-08-05,0.0,0.0,0.0,379068193905.9928,0.0,0.0
L,15,2025-04-03,0.5,0.6,0.0999999999999999,476903543552.5031,47690354355.2503,286142126131.50183
L,16,2025-10-20,0.1189112550073759,0.1426935060088511,0.0237822510014751,641394763291.6685,15253811251.634222,91522867509.80531
L,17,2026-03-09,0.0131430304981202,0.0157716365977443,0.002628606099624,642210174651.8298,1688117582.3304267,10128705493.982565
