leg,f,n_event,loan_total_50B,loan_peak_50B,loan_pct_nav_max,loan_pct_nav_mean,loan_live_max_vnd,loan_live_mean_vnd,interest_paid_50B,loan_days,peak_simul_debt_vnd,native_borrow_days
D_f11,1.1,15,126400321388.74397,27578977898.52193,8.649832734099792,2.257796165941316,81173119.31856012,21187965.502782132,1365444421.1549797,835,10347518611.966026,164
D_f12,1.2,15,255698061281.10294,55202169274.59993,17.29966546819957,4.508110146010387,162346238.63712013,42305715.50137572,2450165744.810046,835,20392799843.20991,173
D_f13,1.3,15,396363722874.35114,88806682520.03949,25.949498202299363,6.772882102513652,243519357.95568025,63559144.313915744,3590004690.353747,835,30595033674.986073,99
D_f13nc,1.3,15,399904141749.50946,90014420442.50682,25.949498202299363,6.774556380074539,243519357.95568025,63574856.33244838,0.0,0,,0
D_f15,1.5,15,674701791715.0272,150230555990.51105,43.24916367049894,11.265051664522952,405865596.5928004,105715267.68248326,5564778854.255715,835,50860155863.04451,138
E125_f11,1.1,15,126317224975.45073,27565316084.35535,8.649832734099792,2.2578543957272785,81173119.31856012,21188511.95188804,1706246668.4163356,835,10340812135.773197,153
E125_f12,1.2,15,255394077080.65533,55150786551.96705,17.29966546819957,4.508267065317134,162346238.63712013,42307188.08818768,3060837525.0870056,835,20379573216.669594,166
E125_f13,1.3,15,395613461069.9215,88677108352.62082,25.949498202299363,6.773502719368429,243519357.95568025,63564968.40410946,4481615912.311886,835,30549937486.004997,113
E125_f15,1.5,15,672928176216.3644,149825833325.7111,43.24916367049894,11.265757247172129,405865596.5928004,105721889.12203379,6944633403.926653,835,50724907497.7836,128
E140_f13,1.3,15,395207010795.96027,88600079572.14793,25.949498202299363,6.773774631179555,243519357.95568025,63567520.12164749,5016051925.902674,835,30523274999.457962,123
E140_f15,1.5,15,671424048884.0879,149609972162.77097,43.24916367049894,11.266737484489779,405865596.5928004,105731088.01907519,7767882609.212175,835,50609093013.08174,142
