book,event_x,date,size_gate,cash_frac,idle,wt_base,event_y,r
B,0,2014-05-08,1.0,1.0,1.0,1.0,2014-05-08,0.2635427085541222
B,2,2015-08-24,0.375,0.3013,1.0,0.113,2015-08-24,0.0449290376013697
B,3,2016-01-18,0.75,0.2513,0.835,0.1885,2016-01-18,0.1526616817795154
B,4,2018-05-28,1.0,0.3909,0.3909,0.3909,2018-05-28,0.1953827150254288
B,5,2018-07-05,0.375,0.2993,1.0,0.1122,2018-07-05,0.537860816015477
B,6,2020-02-03,0.75,0.1993,0.7799,0.1495,2020-02-03,-0.023802271180598
B,7,2020-03-11,0.25,0.8535,0.8535,0.2134,2020-03-11,0.2839406457086022
B,8,2020-07-27,0.375,0.137,0.4749,0.0514,2020-07-27,0.2888006403643732
B,10,2022-06-15,0.25,1.0,1.0,0.25,2022-06-15,0.060682428226666
B,12,2023-10-30,1.0,1.0,1.0,1.0,2023-10-30,0.1134451124768975
B,13,2024-04-17,0.5,0.0242,0.0242,0.0121,2024-04-17,0.1546993025996168
B,14,2024-08-05,0.5,1.0,1.0,0.5,2024-08-05,-0.0053213658542921
B,15,2025-04-03,0.5,0.0015,0.0015,0.0008,2025-04-03,0.0315102826355708
B,16,2025-10-20,0.75,0.1153,0.385,0.0865,2025-10-20,0.3379997028725767
B,17,2026-03-09,0.75,0.0094,0.0312,0.007,2026-03-09,0.0061675611591955
