window,metric,cur,pctile,N,p05,p25,p50,p75,p95
full_2008+,pe_con,12.392,39.6,4631,8.64,11.29,13.1,14.87,17.26
full_2008+,pe_t100,12.928,40.6,4631,9.34,11.85,13.68,15.93,18.55
full_2008+,pb_con,1.803,51.0,4631,1.42,1.61,1.79,2.07,2.58
full_2008+,pb_t100,2.028,49.2,4631,1.66,1.84,2.04,2.4,2.96
full_2008+,pe_off,12.458,10.3,3134,11.75,13.34,14.71,16.58,18.89
last_10Y,pe_con,12.392,15.8,2499,10.78,13.18,14.49,15.62,17.73
last_10Y,pe_t100,12.928,20.4,2499,10.98,13.5,15.32,16.96,19.43
last_10Y,pb_con,1.803,38.7,2499,1.52,1.68,1.96,2.13,2.6
last_10Y,pb_t100,2.028,36.2,2499,1.71,1.89,2.25,2.53,3.03
last_10Y,pe_off,12.458,8.6,2499,11.72,13.65,15.51,16.79,19.11
last_5Y,pe_con,12.392,27.7,1247,10.4,12.26,13.74,14.73,16.59
last_5Y,pe_t100,12.928,37.1,1247,10.67,12.27,13.91,15.07,17.12
last_5Y,pb_con,1.803,56.0,1247,1.51,1.62,1.72,2.0,2.59
last_5Y,pb_t100,2.028,56.8,1247,1.69,1.8,1.92,2.25,2.94
last_5Y,pe_off,12.458,14.4,1247,11.18,13.07,13.86,14.89,17.15
last_3Y,pe_con,12.392,11.5,747,12.06,13.07,13.93,14.42,15.31
last_3Y,pe_t100,12.928,22.9,747,11.95,13.05,14.12,14.74,15.67
last_3Y,pb_con,1.803,65.6,747,1.53,1.65,1.7,1.94,2.06
last_3Y,pb_t100,2.028,66.9,747,1.69,1.83,1.89,2.17,2.34
last_3Y,pe_off,12.458,3.6,747,12.65,13.3,13.94,14.57,15.7
