ticker,Close,Price,OShares,Revenue_P0,Revenue_P1,Revenue_P2,Revenue_P3,ps_fix,sy_fix,ps_bug,sy_bug
MST,6280.0,9200.0,18000000.0,42098145096.0,,,,3.933665001685185,0.2542,2.6851539359329304,0.3724
ADS,3900.0,14600.0,16070000.000000004,262328262272.0,427326421755.0,407348490452.0,214450518891.0,0.17890223740733044,5.5896,0.04778895382798552,20.9253
CLH,4040.0,14600.0,10000000.0,149341059573.0,,133241441783.0,175006217991.0,0.31906380954571756,3.1342,0.0882888897647054,11.3265
TIP,6600.0,15200.0,26003143.0,50153180457.0,38293505087.0,64405188801.0,39826008442.0,2.0513396134673916,0.4875,0.8907132532161043,1.1227
CLM,10820.0,19000.0,11000000.0,361094891942.0,612647824349.0,250540214146.0,310914545654.0,0.13613883767720014,7.3454,0.07752748545617398,12.8987
IPA,2850.0,11900.0,60000000.0,480079148816.0,,,,1.487254761555276,0.6724,0.3561912664229023,2.8075
S4A,5990.0,14400.0,42200000.0,28144664922.0,68310030188.0,65453961192.0,62621533368.0,2.706451194349984,0.3695,1.1258085176497503,0.8883
SGP,8720.0,9800.0,216294961.0,244773803642.0,335150569850.0,,,3.6551155886694957,0.2736,3.2523069319589797,0.3075
BDG,4870.0,27000.0,12000000.0,418534908139.0,,402289976183.0,,0.39472487516947474,2.5334,0.07119667192871637,14.0456
VPD,5650.0,11200.0,102493098.0,58271256835.0,92690787954.0,159803348036.0,87539727337.0,2.882018431330014,0.347,1.4538753693763018,0.6878
CDN,11180.0,22900.0,66000000.0,154130291990.0,148388108448.0,145105183878.0,106767237368.0,2.726235610122511,0.3668,1.3309744157716015,0.7513
MBS,1320.0,5900.0,122123791.0,87457297123.0,171821901027.0,73108290688.0,97108016782.0,1.6776202718579685,0.5961,0.3753319930258506,2.6643
SVG,7010.0,7300.0,29350000.0,90962702460.0,,70870953997.0,67179366050.0,0.9355581514734652,1.0689,0.8983921427163002,1.1131
ATS,10700.0,10700.0,3500000.0,9255013589.0,,14446036852.0,,1.5800987425947988,0.6329,1.5800987425947988,0.6329
KDM,6370.0,6800.0,6800000.0,16862116216.0,,16083624336.0,19194895990.000004,0.8868322879555381,1.1276,0.8307531873936439,1.2037
DNW,9110.0,15000.0,100000000.0,210233449441.0,214570708994.0,205766802091.0,225311208212.0,1.7525776967777622,0.5706,1.0643988545096943,0.9395
VGG,37600.0,65099.99999999999,42000000.0,1515018069446.0,1674384662332.0,1788625657635.0,1665586474702.0,0.41155305596785585,2.4298,0.2377019186542455,4.2069
TDM,12370.0,26000.0,31233831.25,28304949920.0,,,,28.69037446790155,0.0349,13.649997391074699,0.0733
PPY,6060.0,17500.0,8240000.0,312235383405.0,,,,0.4618310661253866,2.1653,0.15992550061256244,6.2529
HU4,2050.0,4600.0,15000000.0,29705155950.0,88818196604.0,35911936020.0,38372501155.0,0.3578693583749007,2.7943,0.15948525753664053,6.2702
HPM,17400.0,17400.0,3800000.0,645409596.0,2702839000.0,1790250000.0,,12.867571872350084,0.0777,12.867571872350084,0.0777
PIS,8340.0,15900.0,27500000.0,120049275985.0,,,72408637108.0,2.2719252899137015,0.4402,1.1916891143320925,0.8391
TVN,6060.0,6700.0,678000000.0,4399177412426.0,4094838890207.0,4564528475854.0,5376088309209.0,0.24641662127964511,4.0582,0.22287831715741035,4.4868
VPA,7000.0,7000.0,15076177.0,35365414574.0,,33273954808.0,38092001507.0,0.9887743230596555,1.0114,0.9887743230596555,1.0114
MPT,9850.0,13000.0,15552000.0,22937499821.0,30211295530.0,15589171334.0,45468473805.0,1.770267938765701,0.5649,1.3413183997570888,0.7455
VEF,54800.0,82900.0,166604050.0,9809885381.0,,15070385405.0,,555.117581468271,0.0018,366.95347966780764,0.0027
TEG,8020.0,14600.0,15000000.0,34982105851.0,2444281970.0,,,5.851486417749318,0.1709,3.214309662352708,0.3111
LAW,9670.0,14000.0,12200000.0,28138234334.0,,23307241152.000004,28131027948.000004,2.1463622128315794,0.4659,1.482523042720098,0.6745
XMD,5940.0,12000.0,4000000.0,26053616902.0,35291001285.0,53057925350.0,,0.41957109095634637,2.3834,0.20768769002339144,4.8149
VSA,9640.0,24800.0,11650000.0,164487145945.0,246924901547.0,216685951622.0,226886699676.0,0.3379241761974083,2.9592,0.1313543975218958,7.613
ITS,4550.0,6000.0,12599900.0,421102116976.0,,163782532561.0,411195200742.0,0.07589692731845218,13.1758,0.057555169883159576,17.3746
VTG,16500.0,16500.0,18644500.0,36361050353.0,,42107485153.00001,42900742587.0,2.534696216651081,0.3945,2.534696216651081,0.3945
BLI,4110.0,6200.0,40361400.0,149885191822.0,168077413719.00003,145702480724.0,135960612584.0,0.41732814400774465,2.3962,0.27664817288255333,3.6147
SGN,35330.0,90200.0,19990500.0,183988356618.0,168257644981.0,,145411828052.0,3.6232587785557744,0.276,1.4191766368777774,0.7046
MBG,3470.0,4700.0,8000000.0,61564127801.0,60761498582.0,54107827625.0,33188532976.0,0.17937049705988106,5.5751,0.13242885633995474,7.5512
TFC,7060.0,16000.0,16829994.0,60319786199.0,127681704452.0,150607733011.0,84645028113.0,0.6362131103721268,1.5718,0.28072903495170093,3.5622
KCB,4490.0,5600.0,8000000.0,7183221876.0,54807663122.0,,12327057988.0,0.6028153928915849,1.6589,0.48332877037200295,2.069
MTA,5420.0,5700.0,110113591.4617,292723065387.0,411713207261.0,277742489471.0,312106555339.0,0.4849374885627237,2.0621,0.4611159978964846,2.1687
DLT,6080.0,16500.0,2500056.0,209085344192.0,495551638659.0,256182011339.00003,410850202024.0,0.030073522182942035,33.2518,0.011081637264987126,90.2394
DAT,12720.0,23100.0,38100000.0,125811548836.0,208233747313.0,193738689762.0,,1.667557226998571,0.5997,0.9182393042173949,1.089
NDP,13820.0,23000.0,5550000.0,28885601831.0,,,,4.419156670054426,0.2263,2.6553367469631377,0.3766
GEX,1000.0,24500.0,231750000.0,1667209485008.0,655652097391.0,3459686819376.0,2404475594172.0,0.6935212358985196,1.4419,0.028306989220347738,35.327
HNF,7660.0,16800.0,20000000.0,383901561211.0,351787630865.0,372338519094.0001,242927772656.0,0.24871285843440571,4.0207,0.11340121997663974,8.8182
VLC,12760.0,17900.0,63101000.0,623256053902.0,715358093423.0,730889673015.0,770458566208.0,0.3977193167593065,2.5143,0.28351388166752794,3.5272
BDW,7120.0,11600.0,12410800.0,30684604734.0,30413444134.0,38566483518.0,30675122912.0,1.1045393642544725,0.9054,0.6779586442665383,1.475
VGC,8010.0,13500.0,307000000.0,1952731994192.0,2089768747163.0,2214328287902.0,1856172772264.0,0.5108466756685549,1.9575,0.3031023608966759,3.2992
HNB,30890.0,45000.0,9500000.0,30154620941.0,29784458144.0,29405300707.0,,4.784856092741928,0.209,3.284537882328848,0.3045
VMS,7390.0,12000.0,8999998.0,55409010140.0,59162195401.0,62694796476.0,61575173884.0,0.4521832367998646,2.2115,0.27846950999591663,3.5911
PMB,5520.0,14000.0,12000000.0,464300880577.0,294585218694.0,317578647980.0,353636686037.0,0.11747418476026898,8.5125,0.046318392848334625,21.5897
AGP,5890.0,30000.0,4355880.0,79319022730.0,,,,1.6474786942953048,0.607,0.3234549836466448,3.0916
NAF,16840.0,27500.0,30000000.0,74832081873.0,155036870879.0,116089829607.0,167706532157.0,1.6061041629360442,0.6226,0.9835197855942903,1.0168
BFC,12050.0,32000.0,47640000.0,1014479674211.0,1442608052765.0,1582951922289.0,2044277068993.0,0.25055894862035943,3.9911,0.09435110408985409,10.5987
STK,6900.0,24000.0,53516024.0,262342705475.0,110165466284.0,294929367027.0,312995524658.0,1.3100176074114631,0.7633,0.37663006213079564,2.6551
HJC,8600.0,8600.0,12853052.0,160493686411.0,363577805172.0,185477763974.0,132028421396.0,0.1313440817491802,7.6136,0.1313440817491802,7.6136
PMP,6860.0,15000.0,4200000.0,46907033702.0,66583421217.0,78610951146.0,84709889342.0,0.22759186870380455,4.3938,0.10408534795387328,9.6075
VLG,3760.0,7000.0,14212130.000000004,1258021964894.0,,1141557341383.0,455935949331.0,0.034839565225442154,28.703,0.018713823606808927,53.4364
CCR,7500.0,11000.0,24501817.000000004,24640454024.0,24290652815.0,31248512590.0,27774537913.000004,2.496615171068935,0.4005,1.70223761663791,0.5875
MSR,13530.0,18600.0,703544898.0,806182898000.0,1092140347000.0,326496267000.0,425738506000.0,4.93704910963394,0.2026,3.5913050781369464,0.2785
PHP,14270.0,20000.0,326960000.0,542603414821.0,590888749225.0,604750704136.0,617744848465.0,2.7755662535059704,0.3603,1.98036652187651,0.505
PIC,6190.0,11700.0,29146707.0,12728404002.0,21137479429.0,9580373337.0,11119581828.0,6.249633116148948,0.16,3.3064298281164093,0.3024
VPS,8690.0,23300.0,17471994.0,117768380760.0,273910820430.0,168097873895.0,213971078181.0,0.5261369070564329,1.9006,0.19622874344722752,5.0961
VNP,6120.0,7200.0,19428913.0,50238763475.0,110841836631.0,78782860273.0,156965332176.0,0.3525151809154868,2.8368,0.29963790377816374,3.3374
PDB,10680.0,26700.0,8100000.0,67357155458.0,83214592775.0,89176032205.0,102251496261.0,0.6323697584610487,1.5814,0.25294790338441947,3.9534
LDG,4780.0,10600.0,75000000.0,149119396466.0,162611637049.0,126557887857.0,187153889343.0,1.2710994296843285,0.7867,0.5731938937633104,1.7446
DGW,3040.0,22600.0,30461860.0,822129720039.0,958570769392.0,1178593478212.0,1169368767533.0,0.16674600958187802,5.9971,0.022429551731367663,44.584
HVA,4290.0,4500.0,5650000.0,5354672727.0,61509391875.0,11922831616.0,86794545455.0,0.15354981659243425,6.5125,0.14638415848478734,6.8313
TA9,8930.0,32200.000000000004,11049810.0,456791968970.0,1184488361939.0,652494140263.0,340085925798.0,0.13508836019149603,7.4026,0.037463945854349666,26.6923
PCE,5570.0,14300.0,10000000.0,517787165517.0,581356419033.0,569648538641.0,778199695584.0,0.05843910016486606,17.1118,0.02276264251176951,43.9316
PSW,5670.0,11500.0,17000000.0,486919357183.0,739728937054.0,514712468080.0,791136567094.0,0.07719652760521124,12.954,0.038061244480134586,26.2734
CTT,3630.0,9000.0,4697351.0,218404543167.0,326283926172.0,214757417868.0,201700086029.0,0.04398515956703644,22.7349,0.017740681025371366,56.3676
DP3,6790.0,35100.0,6800000.0,69119766488.0,57967139674.0,50643725635.0,52307476043.0,1.0375672198017327,0.9638,0.20071457044027824,4.9822
