ticker,time,PS,OShares,Revenue_P0,Revenue_P1,Revenue_P2,Revenue_P3,Close,Price,relerr_Price,relerr_Close
PIC,2015-08-05,5.357908730263619,29146707.0,11119581828.0,18456855013.0,22011879030.0,8795028450.0,5520.0,11100.0,0.0,0.5027027027027027
PC1,2016-11-16,0.9938786067983943,75262482.0,527492572796.0,920597257479.0,652208813225.0,1155920681338.0,9560.0,43000.0,2.220446049250313e-16,0.7776744186046511
NVL,2016-12-28,1.8694466824102804,360000000.0,2218562775248.0,2771820889685.0,2195141035273.0,4368696237591.0,23710.0,60000.0,0.0,0.6048333333333333
QNS,2016-12-20,2.9611097133885527,187549373.0,1946595772354.0,1628389164260.0,1707812280062.0,1811006056139.0,32530.0,112000.0,0.0,0.7095535714285715
SAB,2016-12-06,3.385179450960174,641281186.0,7077499036344.0,7611729033339.0,7132989484007.0,3183581334753.0,44280.0,132000.0,0.0,0.6645454545454546
PVM,2016-12-20,0.3506193382032292,38638600.0,167416713080.0,144513302797.0,253374459397.0,206102490999.0,4470.0,7000.0,0.0,0.36142857142857143
PVP,2016-12-20,1.3204235989026183,94275028.0,277440654341.0,276286253712.0,263097992499.0,282697580269.0,7770.0,15400.0,0.0,0.4954545454545455
AFX,2016-12-02,0.2014073175510275,35000000.0,295267748602.0,228032016052.0,450739391547.0,416178455575.0,6920.0,8000.0,2.220446049250313e-16,0.13499999999999968
ADS,2016-06-29,0.1678740172931799,16070000.000000004,262328262272.0,427326421755.0,407348490452.0,214450518891.0,3660.0,13700.0,0.0,0.7328467153284671
TIP,2016-06-06,2.40222665261313,26003143.0,50153180457.0,38293505087.0,64405188801.0,39826008442.0,7730.0,17800.0,0.0,0.5657303370786517
VTX,2014-05-15,0.4327037664463687,20972321.0,63645614681.0,,96628665047.0,88576867921.0,5990.0,7800.0,0.519185391532405,0.1666564737537315
PSB,2015-10-26,3.332287016499764,50000000.0,19170433277.0,47812408135.0,6140453938.0,16904964075.0,4570.0,6000.0,1.1102230246251565e-16,0.2383333333333335
VIE,2015-10-26,0.2809135040206367,1561244.0,2630345301.0,7175285084.0,1007819289.0,7527089767.0,3300.0,3300.0,2.220446049250313e-16,2.220446049250313e-16
CIG,2015-10-27,0.2197059704816777,13439947.0,20963164334.0,34917543278.0,16971976816.0,37257680561.0,1800.0,1800.0,4.440892098500626e-16,4.440892098500626e-16
SRA,2015-10-29,205.95191272148165,2000000.0,0.0,17090909.0,0.0,1360000.0,440.0,1900.0,0.0,0.768421052631579
VE1,2015-10-23,0.4408682660419144,2931280.0,13282215480.0,8552689370.0,8556997470.0,13490702735.0,6600.0,6600.0,0.0,0.0
