cond,N_days,N_eps,P_bear20,CI90,P_benign,med_fwd6M,med_fwd12M,neg12M,years
UNCOND 2008+,4380,1,25.0,"[25,25]",47.0,3.7,8.1,32.0,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
UNCOND (co du PIT pctile),3880,1,20.0,"[20,20]",50.0,4.3,8.3,31.0,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
ROE_gop pctile mo rong Q1 thap nhat [0-20],1880,9,5.0,"[1,16]",64.0,6.8,18.6,13.0,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2023,2024,2025"
ROE_gop pctile mo rong giua [20-80],1858,10,33.0,"[20,43]",40.0,2.2,0.7,44.0,"2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2025,2026"
ROE_gop pctile mo rong Q5 CAO NHAT [80-101],142,1,50.0,"[50,50]",0.0,-9.6,-11.8,92.0,2010
ROE_gop pctile mo rong >=p90 RAT CAO [90-101],61,2,15.0,"[10,100]",0.0,-11.3,-9.0,89.0,2010
ROE_t100 pctile mo rong Q1 thap nhat [0-20],674,7,0.0,"[0,0]",68.0,6.7,20.8,2.0,"2013,2015,2016,2017,2020,2021,2023,2024,2025"
ROE_t100 pctile mo rong giua [20-80],2576,10,21.0,"[5,33]",51.0,3.8,7.0,31.0,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2025,2026"
ROE_t100 pctile mo rong Q5 CAO NHAT [80-101],630,7,38.0,"[16,55]",27.0,0.4,-3.0,61.0,"2010,2011,2012,2013,2021,2022"
ROE_t100 pctile mo rong >=p90 RAT CAO [90-101],330,5,40.0,"[5,61]",19.0,-5.4,-2.9,62.0,"2010,2011,2012,2013,2021"
ROE_gop pctile 3Y Q1 thap nhat [0-20],1441,9,5.0,"[1,11]",66.0,6.1,18.4,11.0,"2012,2013,2014,2015,2016,2019,2020,2021,2023,2024,2025"
ROE_gop pctile 3Y giua [20-80],1447,19,15.0,"[2,31]",57.0,7.9,13.3,24.0,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026"
ROE_gop pctile 3Y Q5 CAO NHAT [80-101],584,7,50.0,"[0,71]",30.0,-6.0,-6.6,57.0,"2017,2018,2019,2021,2022,2025,2026"
ROE_gop pctile 3Y >=p90 RAT CAO [90-101],280,6,33.0,"[18,60]",28.0,-1.7,-7.2,61.0,"2017,2018,2021,2022,2026"
