ticker,quarter,pit,np_ttm,equity,roe_i,ROE_Trailing
BST,2025Q2,2025-07-14,1561909540.0,14676018951.0,0.10642596914155483,0.1027710202258815
HBS,2025Q2,2025-07-18,8407786057.0,348781536171.0,0.02410616728540884,
DTC,2025Q2,2025-07-18,-33547758356.0,801346885.0,-41.86421509082175,-10.18696996067568
BDB,2025Q2,2025-07-24,-624319188.0,11582655028.0,-0.053901215782630664,-0.0578758596888769
VMD,2025Q2,2025-08-01,27847039922.0,425617059867.99994,0.06542745239261892,0.0650285537184917
HIG,2025Q2,2025-08-01,25377799468.0,468617464325.9999,0.054154617358318516,0.0500051773003393
SQC,2025Q3,2025-10-15,-77822628493.0,561672804480.0,-0.1385550944825407,-0.1340306244677017
BSC,2025Q3,2025-10-16,2421193354.0,39129943723.0,0.0618757177659026,0.0622102642457308
VCW,2025Q3,2025-10-17,67108183136.0,1312677395095.9998,0.05112313458486287,0.0484748002431114
VOC,2025Q3,2025-10-20,68889559878.0,2083886006015.0,0.03305821896166816,0.0325533450944726
BOT,2025Q3,2025-10-21,-61671921639.0,359038396635.0,-0.17176971103092337,-0.3201794690966533
VHD,2025Q3,2025-10-23,-91098740141.0,10748503068.0,-8.475481614943705,-3.608546540969482
TBX,2025Q3,2025-10-24,175159308.0,20575300921.999996,0.008513086086275032,0.0084532732129494
CCP,2025Q3,2025-10-27,12176083812.0,51886932907.0,0.2346657073337503,0.1385081365362847
BBC,2025Q3,2025-10-31,126655337873.0,1564883144482.0,0.08093597168555665,0.0831409653512654
ECI,2025Q3,2025-11-03,3332313255.0,32489465739.0,0.10256596035680351,0.0909356058720481
SVI,2025Q4,2026-01-20,27289862022.0,899611803192.0,0.030335153368564297,0.0305843945563746
NS2,2025Q4,2026-01-21,20334641975.0,588575278664.0,0.0345489229876548,0.03425690825992
HVA,2026Q1,2026-01-22,4676261741.0,152252036274.0,0.03071395204583259,0.0310156180955767
DCV,2025Q4,2026-01-23,116995300837.0,777450102283.9996,0.15048592892751597,0.1405192931476769
ATG,2025Q4,2026-02-02,35427273664.0,8850998884.0,4.002630000105647,5.170558385966823
DPC,2026Q1,2026-02-02,4207936920.0,28899082907.999996,0.1456079742528832,0.153700669909241
DGT,2025Q4,2026-02-02,-7505329339.0,987800962135.9999,-0.0075980178463995775,-0.0153470352765969
CT6,2026Q1,2026-02-02,5359820451.0,71354467884.0,0.07511541477281265,0.0765997180176186
VNE,2025Q4,2026-02-02,65443400947.0,821780641740.0,0.07963609462548692,-0.0096423482801919
BGE,2026Q1,2026-02-02,36008634103.0,8999546133212.998,0.004001161121904742,0.0058268005606082
PXA,2025Q4,2026-02-02,23742574.0,30546496610.0,0.0007772601324181772,-0.007652595725156
DTL,2026Q1,2026-04-01,-141391800278.0,582640911446.0,-0.24267399954303484,-0.2244795662359809
FGL,2026Q1,2026-04-01,-15614926100.0,4901318279.0,-3.185862498851199,-1.6834147058631452
HDG,2026Q1,2026-04-01,665274830325.0,7559482550559.55,0.08800533976703956,0.1080767964807481
HNG,2026Q1,2026-04-01,-964714110000.0,1189232849000.0,-0.8112070826257508,-0.8184113489579361
LIC,2026Q1,2026-04-01,80869070536.0,550944610007.0,0.146782578624324,0.1997541392931634
HGT,2026Q1,2026-04-01,-16709456340.0,191449591000.0,-0.08727862124291506,-0.0881134281076932
HHP,2026Q1,2026-04-01,49050794585.0,1145323825717.0,0.042827009692471066,0.0472899551513203
BMI,2026Q1,2026-04-01,252283093881.0,2974267763606.0,0.08482191716832252,0.0868362929904797
CMC,2026Q1,2026-04-01,8475710569.0,69663210171.0,0.12166695373634019,0.1270950817107614
DWS,2026Q1,2026-04-01,59811335140.0,399557849193.0,0.14969380594275122,0.1588209275578301
AMP,2026Q1,2026-04-01,4675475694.0,206601561506.00003,0.022630398627767473,0.0228126482474375
PPH,2026Q1,2026-04-01,485710289028.0,2237919109487.0,0.21703657070042168,0.2351393016309816
NAF,2026Q1,2026-04-01,205253947828.0,837177867950.0,0.24517364312389908,0.2110372677220147
GIL,2026Q1,2026-04-01,38838525808.0,2660209693198.9995,0.014599798620121278,0.014214591535651
OGC,2026Q1,2026-04-01,55105584553.0,1940559795453.0,0.028396746486307717,0.0749355190389513
HAN,2026Q1,2026-04-01,65183231712.0,1774552713331.0,0.03673220368283399,0.0430669899265711
HVN,2026Q1,2026-04-01,8191461275763.0,11232172444788.0,0.7292855692902076,-0.3727714942221379
PDR,2026Q1,2026-04-01,596837135945.0,12556053927774.0,0.04753381431604047,0.0488368282240678
NO1,2026Q1,2026-04-01,6126126106.0,320404417424.0,0.019119980165233266,0.0149385878995932
DBT,2026Q1,2026-04-01,27040556386.0,304121957443.0,0.08891352868221648,0.0923299265657938
VNY,2026Q1,2026-04-01,8929852735.0,110715491395.0,0.08065585603681184,0.0828578288998563
HAG,2026Q1,2026-04-01,2907668626000.0,15961529370999.998,0.18216729477582844,0.2215067379031672
KDC,2026Q1,2026-04-01,608484404318.0,7383926321569.0,0.0824066191641934,0.0903291905266117
TMP,2026Q1,2026-04-01,330729141019.0,1753418668037.0,0.18861960754031454,0.1986295661879294
VPI,2026Q1,2026-04-01,276752661128.0,5552910004020.0,0.04983921239992119,0.0510762484064698
PAN,2026Q1,2026-04-01,1150209417621.0,8028203469259.055,0.14327108449920192,0.1782682693044732
VRC,2026Q1,2026-04-01,-9585783596.0,1273558890666.0,-0.007526769014181332,-0.0065907276784172
HUT,2026Q1,2026-04-01,491076358777.0,18181372741391.0,0.027009861453367316,0.0467722320060866
PTD,2026Q1,2026-04-01,1184054345.0,164349135960.0,0.007204506054039616,0.3063007727412537
TET,2026Q1,2026-04-01,10267342008.0,120554368544.0,0.08516773080896375,0.0874651811642742
