bucket_ROE_pct,count,pct,bar
< -20,421,3.2,###
-20..-18,40,0.3,
-18..-16,56,0.4,
-16..-14,48,0.4,
-14..-12,73,0.6,#
-12..-10,88,0.7,#
-10..-8,103,0.8,#
-8..-6,126,1.0,#
-6..-4,162,1.2,#
-4..-2,227,1.7,##
-2..0,543,4.1,####
0..2,1661,12.5,############
2..4,1249,9.4,#########
4..6,1202,9.1,#########
6..8,1212,9.1,#########
8..10,1049,7.9,########
10..12,969,7.3,#######
12..14,815,6.1,######
14..16,611,4.6,#####
16..18,545,4.1,####
18..20,387,2.9,###
20..22,356,2.7,###
22..24,296,2.2,##
24..26,215,1.6,##
26..28,189,1.4,#
28..30,127,1.0,#
30..32,81,0.6,#
32..34,50,0.4,
34..36,67,0.5,
36..38,32,0.2,
38..40,28,0.2,
>= 40,225,1.7,##
