window,series,N,cur,pctile,mean,median,std,skew,kurt,p05,p25,p50,p75,p95,min,max
full_2008+,ROE_gop(book-w),4631,14.605,59.9,14.77,14.24,1.9,0.867,0.004,12.26,13.55,14.24,15.91,18.98,11.58,19.65
full_2008+,ROE_trungvi(EW),4631,10.044,33.6,11.33,10.62,2.63,0.985,-0.102,8.22,9.51,10.62,11.91,16.53,7.28,17.88
full_2008+,"ROE_TB(EW,winsor)",4631,12.421,41.2,13.46,12.73,2.49,1.028,-0.051,10.61,11.75,12.73,13.97,18.75,9.76,19.42
last_10Y,ROE_gop(book-w),2499,14.605,78.6,13.83,13.78,1.09,0.223,-0.154,11.98,13.12,13.78,14.53,15.8,11.58,16.84
last_10Y,ROE_trungvi(EW),2499,10.044,59.8,9.61,9.76,0.97,-0.3,-0.818,7.93,8.89,9.76,10.4,10.98,7.28,11.24
last_10Y,"ROE_TB(EW,winsor)",2499,12.421,61.3,11.98,12.18,0.99,-0.263,-0.855,10.41,11.2,12.18,12.75,13.31,9.76,13.88
last_5Y,ROE_gop(book-w),1247,14.605,69.3,13.85,13.8,1.41,0.177,-1.07,11.78,12.59,13.8,15.06,16.04,11.58,16.84
last_5Y,ROE_trungvi(EW),1247,10.044,74.7,9.11,8.95,0.93,0.093,-0.94,7.76,8.37,8.95,10.04,10.53,7.28,10.85
last_5Y,"ROE_TB(EW,winsor)",1247,12.421,79.1,11.5,11.66,0.88,-0.201,-0.989,10.03,10.72,11.66,12.35,12.66,9.76,13.05
last_3Y,ROE_gop(book-w),747,14.605,98.4,12.94,12.94,0.89,0.252,-1.12,11.71,12.1,12.94,13.74,14.52,11.58,14.67
last_3Y,ROE_trungvi(EW),747,10.044,98.8,8.56,8.46,0.64,0.047,-0.381,7.3,8.21,8.46,9.04,9.51,7.28,10.43
last_3Y,"ROE_TB(EW,winsor)",747,12.421,99.3,10.96,10.82,0.66,0.05,-0.807,9.79,10.57,10.82,11.59,11.9,9.76,12.75
