metric,pct,outcome,N,rho,p,bh_thr,pass_BH,bonf_thr,pass_bonf
pb_cw,_pctE,r6M,23,-0.549,0.0066,0.0008928571428571429,False,0.0008928571428571429,False
pb_cw,_pct3Y,r12M,23,-0.531,0.0091,0.0017857142857142859,False,0.0008928571428571429,False
pb_cap10,_pct3Y,r12M,23,-0.445,0.0332,0.002678571428571429,False,0.0008928571428571429,False
pb_cap10,_pctE,r6M,23,-0.424,0.0438,0.0035714285714285718,False,0.0008928571428571429,False
pb_cw,_pctE,r12M,22,-0.36,0.1001,0.004464285714285714,False,0.0008928571428571429,False
pe_cap10,_pct3Y,r3M,25,0.334,0.1024,0.005357142857142858,False,0.0008928571428571429,False
eveb_cap10,_pctE,mdd12M,25,0.327,0.1104,0.00625,False,0.0008928571428571429,False
pe_cw,_pctE,r3M,24,0.328,0.1179,0.0071428571428571435,False,0.0008928571428571429,False
pe_cap10,_pctE,r3M,24,0.323,0.1231,0.008035714285714287,False,0.0008928571428571429,False
pe_cw,_pct3Y,r3M,25,0.31,0.132,0.008928571428571428,False,0.0008928571428571429,False
pe_ewmed,_pct3Y,r3M,25,0.302,0.1419,0.009821428571428573,False,0.0008928571428571429,False
pb_cw,_pct3Y,r6M,24,-0.299,0.1552,0.010714285714285716,False,0.0008928571428571429,False
eveb_cap10,_pctE,r12M,22,0.298,0.1781,0.011607142857142858,False,0.0008928571428571429,False
pe_cap10,_pctE,mdd12M,25,0.276,0.1815,0.0125,False,0.0008928571428571429,False
pb_ewmed,_pct3Y,r12M,23,-0.281,0.1946,0.013392857142857142,False,0.0008928571428571429,False
pe_cw,_pctE,mdd12M,25,0.262,0.2053,0.014285714285714287,False,0.0008928571428571429,False
eveb_cap10,_pctE,r3M,24,0.263,0.2147,0.01517857142857143,False,0.0008928571428571429,False
pb_ewmed,_pctE,r6M,23,-0.266,0.2202,0.016071428571428573,False,0.0008928571428571429,False
pb_cw,_pctE,mdd12M,25,-0.252,0.2252,0.016964285714285716,False,0.0008928571428571429,False
pe_ewmed,_pctE,r3M,24,0.254,0.2312,0.017857142857142856,False,0.0008928571428571429,False
pb_cap10,_pct3Y,r6M,24,-0.244,0.2515,0.01875,False,0.0008928571428571429,False
pe_cap10,_pct3Y,mdd12M,26,0.23,0.2588,0.019642857142857146,False,0.0008928571428571429,False
pe_ewmed,_pct3Y,mdd12M,26,0.229,0.2603,0.02053571428571429,False,0.0008928571428571429,False
pe_cw,_pct3Y,mdd12M,26,0.209,0.3049,0.021428571428571432,False,0.0008928571428571429,False
pb_ewmed,_pct3Y,mdd12M,26,0.208,0.309,0.022321428571428572,False,0.0008928571428571429,False
pb_ewmed,_pct3Y,r3M,25,0.208,0.3191,0.023214285714285715,False,0.0008928571428571429,False
pb_ewmed,_pct3Y,r6M,24,-0.191,0.3705,0.024107142857142858,False,0.0008928571428571429,False
pe_cw,_pct3Y,r12M,23,-0.194,0.3745,0.025,False,0.0008928571428571429,False
pe_cap10,_pctE,r12M,22,0.198,0.3766,0.025892857142857145,False,0.0008928571428571429,False
pe_ewmed,_pctE,mdd12M,25,0.177,0.3975,0.026785714285714284,False,0.0008928571428571429,False
eveb_cap10,_pct3Y,mdd12M,20,0.195,0.4088,0.02767857142857143,False,0.0008928571428571429,False
pe_cw,_pctE,r12M,22,0.17,0.4495,0.028571428571428574,False,0.0008928571428571429,False
eveb_cap10,_pctE,r6M,23,0.165,0.4513,0.029464285714285717,False,0.0008928571428571429,False
pb_cw,_pctE,r3M,24,-0.154,0.4727,0.03035714285714286,False,0.0008928571428571429,False
eveb_cap10,_pct3Y,r12M,17,-0.169,0.5164,0.03125,False,0.0008928571428571429,False
eveb_cap10,_pct3Y,r3M,19,0.158,0.5185,0.03214285714285715,False,0.0008928571428571429,False
pe_cap10,_pct3Y,r12M,23,-0.136,0.5364,0.033035714285714286,False,0.0008928571428571429,False
pe_cw,_pctE,r6M,23,-0.124,0.5745,0.03392857142857143,False,0.0008928571428571429,False
pb_ewmed,_pctE,r3M,24,0.114,0.5961,0.03482142857142857,False,0.0008928571428571429,False
pb_cap10,_pctE,r12M,22,-0.118,0.6009,0.03571428571428571,False,0.0008928571428571429,False
pe_ewmed,_pctE,r12M,22,0.115,0.6115,0.03660714285714286,False,0.0008928571428571429,False
pb_cap10,_pctE,mdd12M,25,-0.101,0.6317,0.0375,False,0.0008928571428571429,False
pe_cap10,_pctE,r6M,23,-0.103,0.6408,0.03839285714285714,False,0.0008928571428571429,False
pb_cap10,_pct3Y,r3M,25,0.089,0.6727,0.03928571428571429,False,0.0008928571428571429,False
pe_ewmed,_pct3Y,r12M,23,-0.091,0.68,0.04017857142857143,False,0.0008928571428571429,False
pb_ewmed,_pctE,mdd12M,25,0.078,0.7093,0.04107142857142858,False,0.0008928571428571429,False
pb_cap10,_pct3Y,mdd12M,26,0.071,0.7299,0.04196428571428572,False,0.0008928571428571429,False
pe_cap10,_pct3Y,r6M,24,0.07,0.7466,0.042857142857142864,False,0.0008928571428571429,False
eveb_cap10,_pct3Y,r6M,18,0.063,0.804,0.043750000000000004,False,0.0008928571428571429,False
pb_cw,_pct3Y,mdd12M,26,-0.05,0.8098,0.044642857142857144,False,0.0008928571428571429,False
pb_ewmed,_pctE,r12M,22,-0.043,0.8477,0.04553571428571429,False,0.0008928571428571429,False
pb_cap10,_pctE,r3M,24,-0.025,0.9069,0.04642857142857143,False,0.0008928571428571429,False
pe_ewmed,_pctE,r6M,23,-0.026,0.9074,0.04732142857142858,False,0.0008928571428571429,False
pb_cw,_pct3Y,r3M,25,-0.008,0.968,0.048214285714285716,False,0.0008928571428571429,False
pe_ewmed,_pct3Y,r6M,24,0.007,0.9743,0.049107142857142856,False,0.0008928571428571429,False
pe_cw,_pct3Y,r6M,24,0.002,0.9936,0.05,False,0.0008928571428571429,False
