window,metric,N,cur,pctile,p05,p50,p95,first
full,pe_cap10,4834,11.586,23.1,8.72,13.58,22.55,2007-03-14
full,pe_cw,4834,12.928,39.0,9.3,13.79,22.56,2007-03-14
full,pb_cap10,4834,1.838,33.6,1.48,1.99,3.58,2007-03-14
full,pb_cw,4834,2.028,48.3,1.62,2.05,3.58,2007-03-14
full,pb_ewmed,4834,1.511,33.8,0.98,1.66,2.87,2007-03-14
full,eveb_cap10,4119,11.487,24.4,7.52,13.89,30.89,2009-05-04
full,eveb_cw,4119,13.587,45.9,8.48,14.05,39.15,2009-05-04
full,eveb_ewmed,4119,10.564,28.4,6.84,13.3,35.53,2009-05-04
full,cape5,3710,15.63,59.9,7.74,14.49,22.69,2011-09-16
full,cape7,3260,16.975,60.1,9.95,15.73,23.31,2013-07-08
full,cape10,2585,18.837,70.7,11.93,17.14,23.92,2016-03-25
full,cape5_cw,3710,15.784,59.8,7.98,14.62,22.75,2011-09-16
full,ey,4834,8.631,76.9,4.44,7.37,11.46,2007-03-14
full,erp,3882,1.831,70.1,-2.56,0.79,2.91,2011-01-04
full,erp_cw,3882,0.935,56.5,-3.31,0.7,2.86,2011-01-04
10Y,pe_cap10,2499,11.586,7.8,10.98,15.13,19.37,2016-07-28
10Y,pe_cw,2499,12.928,20.0,10.98,15.31,19.39,2016-07-28
10Y,pb_cap10,2499,1.838,17.6,1.71,2.21,3.02,2016-07-28
10Y,pb_cw,2499,2.028,36.2,1.71,2.25,3.03,2016-07-28
10Y,pb_ewmed,2499,1.511,10.2,1.44,1.79,2.58,2016-07-28
10Y,eveb_cap10,2499,11.487,14.9,10.3,13.59,16.82,2016-07-28
10Y,eveb_cw,2499,13.587,50.9,10.87,13.53,17.08,2016-07-28
10Y,eveb_ewmed,2499,10.564,24.6,9.62,12.44,16.5,2016-07-28
10Y,cape5,2499,15.63,40.4,13.63,16.93,23.21,2016-07-28
10Y,cape7,2499,16.975,47.9,13.29,17.53,23.65,2016-07-28
10Y,cape10,2499,18.837,69.7,12.32,17.22,23.99,2016-07-28
10Y,cape5_cw,2499,15.784,40.3,13.67,17.06,23.27,2016-07-28
10Y,ey,2499,8.631,92.2,5.16,6.61,9.11,2016-07-28
10Y,erp,2499,1.831,68.8,-1.47,0.91,2.88,2016-07-28
10Y,erp_cw,2499,0.935,53.5,-1.48,0.78,2.88,2016-07-28
5Y,pe_cap10,1247,11.586,14.4,10.68,13.59,17.08,2021-07-28
5Y,pe_cw,1247,12.928,36.5,10.68,13.93,17.12,2021-07-28
5Y,pb_cap10,1247,1.838,31.8,1.69,1.91,2.94,2021-07-28
5Y,pb_cw,1247,2.028,56.7,1.69,1.91,2.94,2021-07-28
5Y,pb_ewmed,1247,1.511,5.5,1.5,1.86,2.71,2021-07-28
5Y,eveb_cap10,1247,11.487,16.6,10.2,13.79,16.04,2021-07-28
5Y,eveb_cw,1247,13.587,40.1,10.76,14.31,16.56,2021-07-28
5Y,eveb_ewmed,1247,10.564,9.5,9.93,13.92,16.58,2021-07-28
5Y,cape5,1247,15.63,56.0,13.47,14.93,23.24,2021-07-28
5Y,cape7,1247,16.975,56.4,14.59,16.16,24.27,2021-07-28
5Y,cape10,1247,18.837,57.1,15.67,17.51,24.97,2021-07-28
5Y,cape5_cw,1247,15.784,56.4,13.48,14.95,23.27,2021-07-28
5Y,ey,1247,8.631,85.6,5.85,7.36,9.37,2021-07-28
5Y,erp,1247,1.831,40.1,0.31,2.03,3.14,2021-07-28
5Y,erp_cw,1247,0.935,23.5,0.25,2.03,3.13,2021-07-28
3Y,pe_cap10,747,11.586,1.3,11.94,13.86,15.56,2023-07-28
3Y,pe_cw,747,12.928,21.8,12.02,14.12,15.7,2023-07-28
3Y,pb_cap10,747,1.838,27.0,1.69,1.88,2.26,2023-07-28
3Y,pb_cw,747,2.028,66.8,1.69,1.89,2.34,2023-07-28
3Y,pb_ewmed,747,1.511,0.4,1.65,1.85,2.02,2023-07-28
3Y,eveb_cap10,747,11.487,2.0,11.68,14.23,15.97,2023-07-28
3Y,eveb_cw,747,13.587,25.6,11.88,14.84,17.08,2023-07-28
3Y,eveb_ewmed,747,10.564,0.3,12.44,14.06,15.62,2023-07-28
3Y,cape5,747,15.63,66.0,13.37,14.67,18.07,2023-07-28
3Y,cape7,747,16.975,66.5,14.47,15.87,19.56,2023-07-28
3Y,cape10,747,18.837,66.9,15.69,17.25,21.6,2023-07-28
3Y,cape5_cw,747,15.784,66.7,13.38,14.68,18.11,2023-07-28
3Y,ey,747,8.631,98.5,6.43,7.21,8.38,2023-07-28
3Y,erp,747,1.831,34.8,0.73,2.24,3.16,2023-07-28
3Y,erp_cw,747,0.935,15.3,0.23,2.24,3.16,2023-07-28
