time,n_rows,n_pb_pos,n_pb_lt1,n_pe,n_pe_pos,mcap_pb,book_pb,mcap_pe,earn_all,n_pb_bank,mcap_pb_bank,book_pb_bank,mcap_pe_bank,earn_bank
2008-01-02,157,157,0,57,57,288450349156564.1,60046175471775.82,148859965186284.3,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-03,157,157,0,57,57,284713452376080.5,60046175471775.82,146939878645531.62,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-04,157,157,0,57,57,282636589668990.5,60046175471775.82,145864473840479.3,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-07,157,157,0,57,57,277184360621983.22,60046175471775.82,144006898797381.5,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-08,157,157,0,57,57,278917710738531.03,60046175471775.82,144914633643690.88,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-09,158,158,0,57,57,275220458178896.8,60274978099079.82,142184740025867.22,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-10,158,158,0,57,57,266211988098465.25,60274978099079.82,137182460321565.28,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-11,158,158,0,57,57,268685317489794.72,60274978099079.82,139002079922170.62,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-14,158,158,0,57,57,261734596270988.8,60274978099079.82,135894680745374.69,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-15,158,158,0,57,57,251500810076245.6,60274978099079.82,131015265782162.38,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-16,158,158,0,57,57,264360942161603.06,60274978099079.82,137382001133396.14,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-17,158,158,0,57,57,260314539145229.75,60274978099079.82,135348536346132.25,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-18,159,159,0,57,57,269662581378627.8,60847927319412.82,137369758822402.56,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-21,159,159,0,57,57,265262721292714.75,60847927319412.82,134940934932354.12,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-22,160,160,0,57,57,264480012981836.56,62577546938206.82,130479112888218.62,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-23,160,160,0,57,57,253257086978565.03,62577546938206.82,124041312596066.77,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-24,161,161,0,57,57,249463791654597.06,62803219136623.82,121575583982099.36,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-25,161,161,0,57,57,253540738554199.6,62803219136623.82,124665293697015.05,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-28,161,161,0,57,57,256053155640624.34,62803219136623.82,126623048008619.44,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-29,161,161,0,57,57,264630427192513.75,62803219136623.82,131318798093308.72,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-30,161,161,0,57,57,276966114450004.44,63333696912532.0,136502015446304.25,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-01-31,161,161,0,57,57,276874571263172.8,63333696912532.0,136958645689486.34,5433669558092.0,0,0.0,0.0,0.0,0.0
2008-02-01,185,185,0,135,135,346156492649393.5,80795459343029.33,265680285350693.47,11658957342609.0,0,0.0,0.0,0.0,0.0
2008-02-12,185,185,0,135,135,338326841241534.2,80795459343029.33,259530799087334.22,11658957342609.0,0,0.0,0.0,0.0,0.0
2008-02-13,185,185,0,135,135,328404591216334.5,80795459343029.33,251295041093334.56,11658957342609.0,0,0.0,0.0,0.0,0.0
2008-02-14,185,185,0,135,135,330395049135905.06,80795459343029.33,253046911947705.06,11658957342609.0,0,0.0,0.0,0.0,0.0
2008-02-15,186,186,0,136,136,327501745679157.9,81028553797461.33,251255639175157.88,11685960252110.0,0,0.0,0.0,0.0,0.0
2008-02-18,187,187,0,137,137,314323609434311.4,81694687012331.0,241318844088811.3,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-02-19,187,187,0,137,137,311805933251581.44,81694687012331.0,239395251592181.38,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-02-20,187,187,0,137,137,298005300308499.7,81694687012331.0,228882554790199.7,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-02-21,188,188,0,137,137,286384108501527.1,82389365874997.0,217253241911427.12,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-02-22,189,189,0,137,137,277755841863809.84,82405566292387.0,209993961937409.84,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-02-25,190,190,0,137,137,291958900367436.5,84016145752282.0,218038760846136.5,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-02-26,191,191,0,137,137,281621372978776.6,84120461293775.0,210826775568376.62,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-02-27,191,191,0,137,137,279187913939133.53,84120461293775.0,208986037254533.53,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-02-28,191,191,0,137,137,275810590485267.53,84120461293775.0,205923975827467.56,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-02-29,191,191,0,137,137,269317610822379.16,84120461293775.0,201007526446979.16,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-03,191,191,0,137,137,256394670524148.56,84120461293775.0,191684565154048.53,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-04,191,191,4,137,137,244415827708455.88,84120461293775.0,183117821512555.88,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-05,191,191,5,137,137,233365744607716.78,84120461293775.0,174587395465216.78,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-06,191,191,3,137,137,245115795861949.53,84120461293775.0,183375298245349.5,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-07,191,191,0,137,137,258200542540188.62,84120461293775.0,192957698573988.6,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-10,191,191,0,137,137,266325758376166.9,84120461293775.0,199326771971166.9,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-11,191,191,1,137,137,257322407188574.1,84120461293775.0,192777947170074.1,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-12,191,191,2,137,137,260439214445518.88,84120461293775.0,194955430096718.88,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-13,191,191,2,137,137,261946258549478.34,84120461293775.0,196283122869878.34,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-14,191,191,3,137,137,260297445496329.66,84120461293775.0,195139899890529.6,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-17,192,192,4,137,137,247402379082790.53,84182663958681.0,185278266326690.5,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-18,193,193,5,137,137,235374279297010.94,84323033883120.0,176247236084110.94,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-19,193,193,5,137,137,230467984753709.03,84323033883120.0,172623831643609.0,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-20,193,193,7,137,137,227559959395841.16,84323033883120.0,170463682430241.16,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-21,193,193,9,137,137,219356535629498.16,84323033883120.0,164130039884998.12,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-24,193,193,18,137,137,208293929612930.28,84323033883120.0,156093148649730.3,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-25,193,193,24,137,137,197470585204262.47,84323033883120.0,148190788425362.44,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-26,193,193,19,137,137,200902965918200.8,84323033883120.0,150278649862600.8,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-27,193,193,19,137,137,202495088029536.44,84323033883120.0,151488297567636.44,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-28,193,193,16,137,137,204305954003772.1,84323033883120.0,152802611664172.06,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-03-31,193,193,14,137,137,206213712276307.66,84323033883120.0,154208346460207.66,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-01,193,193,14,137,137,208105122048843.28,84323033883120.0,155586787756243.3,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-02,193,193,11,137,137,210021157721578.9,84323033883120.0,156988301793078.9,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-03,193,193,11,137,137,211946561740914.53,84323033883120.0,158405515760114.53,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-04,193,193,11,137,137,213736126558150.16,84323033883120.0,159753276725450.2,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-07,193,193,10,137,137,217783606291527.78,84323033883120.0,162692007391727.78,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-08,193,193,10,137,137,220031134699832.38,84323033883120.0,164183521510932.38,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-09,193,193,10,137,137,220323374757737.06,84323033883120.0,164340278288737.1,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-10,193,193,10,137,137,217691857123515.38,84323033883120.0,162503113975515.38,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-11,194,194,11,137,137,215127896914850.5,84382884968622.0,160685934358750.5,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-16,194,194,12,137,137,211907699556172.88,84382884968622.0,158226170793772.88,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-17,194,194,11,137,137,214493763888074.1,84382884968622.0,160121744165274.1,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-18,194,194,12,137,137,214129644930999.62,84382884968622.0,159955616418499.62,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-21,194,194,15,137,137,213395442871054.28,84382884968622.0,159760262560354.28,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-22,194,194,16,137,137,211816808130957.22,84382884968622.0,158736283388657.25,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-23,194,194,18,137,137,208162803424860.16,84382884968622.0,156066115832960.16,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-24,194,194,19,137,137,206890864091239.47,84382884968622.0,154982654848639.5,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-25,194,194,19,137,137,206214398821657.03,84382884968622.0,154416470966757.03,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-28,194,194,19,137,137,208062616671514.62,84382884968622.0,155609412978014.62,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-04-29,194,194,19,137,137,209173594354982.56,84382884968622.0,156326497433882.56,11738204834079.0,0,0.0,0.0,0.0,0.0
2008-05-05,198,198,24,148,148,223148885604883.44,94020220307931.75,166980050932269.88,12540997807374.0,0,0.0,0.0,0.0,0.0
2008-05-06,198,198,27,148,148,221536838226868.44,94020220307931.75,166080948163086.28,12540997807374.0,0,0.0,0.0,0.0,0.0
2008-05-07,198,198,31,148,148,219612671777925.5,94020220307931.75,164505028822680.53,12540997807374.0,0,0.0,0.0,0.0,0.0
2008-05-08,198,198,34,148,148,214030409863093.47,94020220307931.75,159584894120417.1,12540997807374.0,0,0.0,0.0,0.0,0.0
2008-05-09,198,198,37,148,148,210416567312058.28,94020220307931.75,157039346835553.7,12540997807374.0,0,0.0,0.0,0.0,0.0
2008-05-12,198,198,41,148,148,206644993627794.88,94020220307931.75,154307145224790.25,12540997807374.0,0,0.0,0.0,0.0,0.0
2008-05-13,198,198,45,148,148,202800947312759.7,94020220307931.75,151499604675926.8,12540997807374.0,0,0.0,0.0,0.0,0.0
2008-05-14,198,198,51,148,148,198958596606924.5,94020220307931.75,148724970334063.38,12540997807374.0,0,0.0,0.0,0.0,0.0
2008-05-15,198,198,53,148,148,195751052331786.22,94544295515671.53,146486654914799.94,12540997807374.0,0,0.0,0.0,0.0,0.0
2008-05-16,198,198,56,148,148,192944810762628.44,94544295515671.53,144525527878917.06,12540997807374.0,0,0.0,0.0,0.0,0.0
2008-05-19,198,198,56,148,148,190547751830205.75,94544295515671.53,142807695037272.38,12540997807374.0,0,0.0,0.0,0.0,0.0
