window,metric,cur,pctile,N,p05,p50,p95
full_2008+,pe_agg_all,13.282,37.1,4633,9.57,14.24,19.69
full_2008+,pe_agg_pos,13.282,44.3,4633,9.54,13.67,18.54
full_2008+,pe_capw_ratios,47.31,97.9,4633,15.04,25.75,41.75
full_2008+,pe_agg_pos_exvic,10.823,20.5,4633,8.96,13.07,17.58
full_2008+,pe_agg_pos_extop1,10.823,19.9,4633,8.71,13.27,17.78
full_2008+,pe_cap10,11.928,27.4,4633,8.79,13.48,18.54
full_2008+,pe_trim,11.007,19.6,4633,8.48,13.63,18.2
full_2008+,pe_ewmed,12.573,49.8,4633,6.37,12.58,18.28
full_2008+,pe_ewmean,39.096,92.0,4633,10.81,24.3,41.89
last_10Y,pe_agg_all,13.282,15.4,2499,11.41,16.02,20.42
last_10Y,pe_agg_pos,13.282,22.9,2499,10.98,15.33,19.42
last_10Y,pe_capw_ratios,47.31,96.1,2499,20.71,29.25,44.62
last_10Y,pe_agg_pos_exvic,10.823,6.4,2499,10.63,14.43,18.24
last_10Y,pe_agg_pos_extop1,10.823,6.2,2499,10.64,14.52,18.69
last_10Y,pe_cap10,11.928,10.6,2499,10.98,15.18,19.39
last_10Y,pe_trim,11.007,3.7,2499,11.2,15.03,18.79
last_10Y,pe_ewmed,12.573,14.6,2499,11.53,14.85,19.35
last_10Y,pe_ewmean,39.096,85.8,2499,19.54,26.57,45.18
last_5Y,pe_agg_all,13.282,27.5,1247,11.02,14.35,18.73
last_5Y,pe_agg_pos,13.282,41.5,1247,10.67,13.89,17.1
last_5Y,pe_capw_ratios,47.31,93.1,1247,17.97,31.97,48.97
last_5Y,pe_agg_pos_exvic,10.823,11.3,1247,10.31,13.15,16.3
last_5Y,pe_agg_pos_extop1,10.823,11.1,1247,10.41,13.11,16.71
last_5Y,pe_cap10,11.928,19.2,1247,10.67,13.59,17.1
last_5Y,pe_trim,11.007,6.3,1247,10.72,14.07,17.75
last_5Y,pe_ewmed,12.573,6.7,1247,12.05,16.73,20.08
last_5Y,pe_ewmean,39.096,77.1,1247,22.23,32.35,47.14
last_3Y,pe_agg_all,13.282,11.1,748,12.98,14.49,16.04
last_3Y,pe_agg_pos,13.282,28.5,748,11.96,14.1,15.7
last_3Y,pe_capw_ratios,47.31,96.4,748,21.57,29.57,46.1
last_3Y,pe_agg_pos_exvic,10.823,0.8,748,11.53,13.34,14.96
last_3Y,pe_agg_pos_extop1,10.823,0.8,748,11.57,13.31,15.17
last_3Y,pe_cap10,11.928,5.6,748,11.85,13.83,15.56
last_3Y,pe_trim,11.007,0.8,748,12.21,14.29,15.8
last_3Y,pe_ewmed,12.573,0.5,748,14.55,16.9,18.99
last_3Y,pe_ewmean,39.096,74.9,748,23.0,33.72,45.77
