d,state,n,beta,ic
2014-08-29,3,42,37.31857234588991,0.44484966951168287
2014-09-30,3,54,1.1229097626831628,0.05391698998364118
2014-10-31,3,49,-5.76734039689287,-0.13307140891591762
2014-11-28,3,43,-6.83081905480662,-0.13390733446206524
2014-12-31,3,41,-3.1006911671927764,-0.1233503202528994
2015-01-30,3,43,-0.36115045191132233,0.029221882453717932
2015-02-27,3,48,3.2951717930493367,-0.034258104308005966
2015-03-31,3,52,-3.3022910129098206,-0.0510127852243157
2015-04-27,2,41,-33.66677639638053,-0.5934927485049462
2015-05-29,3,45,-24.5230594322891,-0.39093484504100995
2015-06-30,3,48,-12.556002680408945,-0.3080847831351425
2015-07-31,3,50,-16.595643339561466,-0.33385366164851416
2015-08-31,3,48,-5.45142295129308,0.04136246451490658
2015-09-30,3,27,9.566170962565232,0.10899099501124306
2015-10-30,3,62,-25.478955545707937,-0.4378345082535301
2015-11-30,3,55,-19.372850775746436,-0.46027021731626205
2015-12-31,2,44,-7.455029994863506,-0.16821145468464163
2016-01-29,3,56,-13.049946595090548,-0.19133555568440888
2016-02-29,3,56,3.4834315693887485,0.010663932363975628
2016-03-31,3,70,-16.853652344542315,-0.22374465284615017
2016-04-29,3,80,-23.149760575341062,-0.32720325383769117
2016-05-31,3,55,-7.69315434133299,-0.11688733367395773
2016-06-30,3,81,-14.69969928348353,-0.23871175423915977
2016-07-29,3,79,-2.0785609660444444,-0.13800910489275953
2016-08-31,1,74,-11.63759062316711,-0.2806303038714532
2016-09-30,1,72,-3.984229170916072,-0.2006737371271292
2016-10-31,1,61,-11.001203510391466,-0.2099000478899079
2016-11-30,1,55,1.0456562625266974,0.06493740755438507
2016-12-30,1,50,10.268237908876534,0.03956877717292196
2017-01-25,3,47,3.0204078453669876,-0.13900373003221456
2017-02-28,3,58,-12.397044055599988,-0.2033747102749097
2017-03-31,3,60,-4.485898373636751,-0.14281347463979793
2017-04-28,3,55,-10.480736494751675,-0.1547425771608001
2017-05-31,3,60,-3.839019006461207,-0.11587194979089424
2017-06-30,3,57,1.6243218293615327,-0.042587671055960105
2017-07-31,3,60,1.0157863782350987,0.019675958463633084
2017-08-31,3,59,-21.05595785733587,-0.3911804673191876
2017-09-29,3,59,-6.229022389694993,-0.1785609915961386
2017-10-31,3,57,7.152420679174671,0.03734379388213256
2017-11-30,3,70,-0.800730537227256,-0.02894163566889647
2017-12-29,4,76,-2.0668935033894025,-0.030009707149721232
2018-01-31,4,81,-6.265281648161601,-0.0754309991285106
2018-02-28,3,80,-9.673647486034968,-0.10553214499764088
2018-03-30,4,79,-1.1543554703404224,-0.0004625403209832167
2018-04-27,4,79,5.683640123685891,0.08349109383618472
2018-05-31,1,63,1.423612133199856,0.009914776368739933
2018-06-29,3,62,6.510328442518695,0.1976474787572451
2018-07-31,3,64,1.0547183483100218,0.09728555025561897
2018-08-31,3,64,0.36645812796494814,0.01790621022899125
2018-09-28,3,77,-4.21540274355318,-0.12779805131036742
2018-10-31,3,77,0.8618829221064122,-0.06306917011996824
2018-11-30,2,67,6.958960902604275,0.08787963450347587
2018-12-28,3,77,4.4368090673291745,0.07534021719055542
2019-01-31,3,77,-4.254096313385785,-0.06463956128579429
2019-02-28,3,90,-4.11819782959701,-0.02805781204550657
2019-03-29,3,101,-2.854979320832378,-0.08884345696883665
2019-04-26,1,89,1.1366238653557021,-0.07350500113063499
2019-05-31,1,85,-8.481308621830367,-0.20604450317813824
2019-06-28,3,78,-0.24689232131549144,-0.051016795019820635
2019-07-31,3,90,-2.279708150597336,-0.055590312666155786
2019-08-30,3,94,-10.208354321349734,-0.25247124459891146
2019-09-30,3,81,-5.485908113360557,-0.150114066623617
2019-10-31,3,81,-18.782779599480882,-0.271159645353877
2019-11-29,3,77,1.7934791879287926,-0.10001446495498988
2019-12-31,2,71,10.321496154280428,0.006657164440268263
2020-01-31,3,72,21.427542635652564,0.14374376956977253
2020-02-28,2,85,8.138014666343771,0.10266181988742965
2020-03-31,1,87,18.882873902272035,0.3010216657567068
2020-04-29,1,101,-0.36956656730285176,0.08612791360527494
2020-05-29,3,101,2.7793600887696193,0.05482475943317768
2020-06-30,3,108,7.124553043683996,0.17189866917963148
2020-07-31,3,91,9.06627219149443,0.17548498108431432
2020-08-31,3,105,0.36004473057418795,-0.010310721311094765
2020-09-30,3,115,9.152419325715698,0.06582189595801509
2020-10-30,4,125,18.283280915503898,0.15159368159181413
2020-11-30,4,128,7.367430255878153,0.06133789660742061
2020-12-31,5,150,-6.742668154387927,-0.02528176293064573
2021-01-29,5,163,-4.329653787919233,0.04146128734043791
2021-02-26,3,150,-7.785775684148436,-0.05923888553783254
2021-03-31,4,169,-6.220059852873841,-0.059152343518123984
2021-04-29,4,176,-2.3534136674119703,-0.009396120158296597
2021-05-31,4,161,3.2541409040153915,0.050684654804334386
2021-06-30,4,176,6.967850717081377,0.13899288392958636
2021-07-30,3,161,16.439271690130465,0.17373624447202743
2021-08-31,4,180,-12.90481295675449,-0.10128160745618348
2021-09-30,3,202,-13.856810567168282,-0.05583684289881091
2021-10-29,4,205,-11.127215904549171,-0.05711426065587535
2021-11-30,4,235,-5.047528917252048,-0.03915489201784611
2021-12-31,1,197,-7.423873667116145,-0.1219463861603993
2022-01-28,1,196,-1.678763720907005,-0.01456342401575007
2022-02-28,1,188,-1.836705806867835,-0.002611581444220366
2022-03-31,1,215,-3.9535416938574612,-0.02560430544647217
2022-04-29,1,204,-7.091404037162874,-0.15944554454934423
2022-05-31,1,165,-6.463789584556865,-0.16806132268168197
2022-06-30,2,151,-1.164269522258645,-0.0506813611202117
2022-07-29,2,144,-6.677961370458683,-0.12567835475311756
2022-08-31,3,159,-12.837647152532695,-0.19539614773877556
2022-09-30,2,137,-7.420848230884261,-0.13841017860942517
2022-10-31,2,134,2.8987109020042356,0.012569283824653377
2022-11-30,1,136,-3.498488547625516,-0.05440620619413319
2022-12-30,2,130,-3.9387140377387526,-0.05234752687866255
2023-01-31,2,106,1.6490029213875084,0.04831212453496571
