ticker,time,Close,Price
VN30,2018-01-31,1095.9,1095.9
SKH,2018-01-31,13620.0,24800.0
VNINDEX,2018-01-31,1110.36,1110.36
E1VFVN30,2018-01-31,18000.0,
SD3,2018-01-31,2610.0,2700.0
VLF,2018-01-31,500.0,500.0
VHD,2018-01-31,7400.0,9000.0
VC5,2018-01-31,1300.0,1300.0
YTC,2018-01-31,16250.0,37900.0
MTG,2018-01-31,2990.0,3500.0
DGT,2018-01-31,14600.0,14600.0
BMN,2018-01-31,3850.0,
ILA,2018-01-31,9860.0,13500.0
DXL,2018-01-31,2670.0,2700.0
VNI,2018-01-31,7300.0,7300.0
PVO,2018-01-31,8990.0,10000.0
BEL,2018-01-31,4570.0,7100.0
S12,2018-01-31,800.0,800.0
SCC,2018-01-31,2000.0,2000.0
TSG,2018-01-31,3900.0,9700.0
CID,2018-01-31,2180.0,2500.0
TAW,2018-01-31,11040.0,39200.0
NHV,2018-01-31,8200.0,14300.0
EFI,2018-01-31,3500.0,3500.0
SRB,2018-01-31,1300.0,1300.0
FSO,2018-01-31,11420.0,11800.0
BTH,2018-01-31,3240.0,6000.0
SDV,2018-01-31,6980.0,15200.0
MTV,2018-01-31,7120.0,12100.0
PRO,2018-01-31,7700.0,7700.0
L12,2018-01-31,4050.0,5700.0
VHH,2018-01-31,2600.0,2600.0
QCC,2018-01-31,4080.0,7500.0
SEP,2018-01-31,3160.0,8500.0
DTI,2018-01-31,11110.0,12900.0
PTM,2018-01-31,5500.0,7200.0
DCF,2018-01-31,5370.0,9800.0
SHG,2018-01-31,2200.0,2400.0
QNW,2018-01-31,7500.0,9200.0
BTG,2018-01-31,5500.0,6000.0
AG1,2018-01-31,6820.0,12000.0
PAI,2018-01-31,6450.0,10000.0
DPH,2018-01-31,12740.0,19200.0
SBD,2018-01-31,8710.0,15000.0
TS3,2018-01-31,9200.0,10000.0
TVM,2018-01-31,3420.0,5000.0
HBD,2018-01-31,5930.0,14000.0
PND,2018-01-31,7050.0,9000.0
BTU,2018-01-31,2680.0,5800.0
CDG,2018-01-31,2320.0,15000.0
MQB,2018-01-31,8050.000000000001,10000.0
ANT,2018-01-31,4590.0,9200.0
V11,2018-01-31,400.0,400.0
MIC,2018-01-31,2840.0,4400.0
DC1,2018-01-31,5010.0,13300.0
UEM,2018-01-31,25530.0,46500.0
VMA,2018-01-31,3460.0,16100.000000000002
EPH,2018-01-31,4330.0,
DBM,2018-01-31,11640.0,18000.0
TPS,2018-01-31,10010.0,22500.0
DTG,2018-01-31,8470.0,20500.0
SJM,2018-01-31,800.0,800.0
SCO,2018-01-31,2900.0,2900.0
SHC,2018-01-31,5050.0,5600.0
DSG,2018-01-31,10000.0,10000.0
VES,2018-01-31,1100.0,1100.0
BMJ,2018-01-31,1670.0,13300.0
KCE,2018-01-31,11710.0,21000.0
SSG,2018-01-31,610.0,1600.0
RCD,2018-01-31,21430.0,28500.0
VSG,2018-01-31,1200.0,1100.0
XMD,2018-01-31,2170.0,4100.0
VNH,2018-01-31,1000.0,1000.0
HNB,2018-01-31,9990.0,14700.0
VIH,2018-01-31,9800.0,17500.0
DHD,2018-01-31,4160.0,29000.0
DNE,2018-01-31,3910.0,8000.0
VBG,2018-01-31,8200.0,10600.0
BHC,2018-01-31,3400.0,3400.0
DND,2018-01-31,14360.0,17000.0
YBC,2018-01-31,19500.0,19500.0
QHW,2018-01-31,16800.0,26000.0
BRS,2018-01-31,4320.0,7200.0
HES,2018-01-31,10760.0,13000.0
