code,type,tradingDate,floor,buyVal,sellVal,netVal,buyVol,sellVol,netVol
VNINDEX,INDEX,2018-08-30,HOSE,921889902278.0,936574944578.0,-14685042299.999975,19568728.0,22128708.0,-2559980.0
VNINDEX,INDEX,2018-08-31,HOSE,1099770530050.0,1126797888150.0,-27027358100.0,15810220.0,15065260.0,744960.0
VNINDEX,INDEX,2018-09-04,HOSE,351323000620.0,357621007720.0,-6298007100.0,7203290.0,11300999.0,-4097709.0
VNINDEX,INDEX,2018-09-05,HOSE,337845269600.0,567306617800.0,-229461348200.0,6943020.0,10708880.0,-3765860.0
VNINDEX,INDEX,2018-09-06,HOSE,417476029060.0,495557028360.0,-78080999300.0,8433510.0,9952912.0,-1519402.0
VNINDEX,INDEX,2018-09-07,HOSE,497022612099.99994,345051165900.0,151971446199.99994,11149190.0,7768730.0,3380460.0
VNINDEX,INDEX,2018-09-10,HOSE,712961701580.0,582170184280.0,130791517300.00005,15675352.0,13598622.0,2076730.0
VNINDEX,INDEX,2018-09-11,HOSE,1232601323630.0002,749191966530.0,483409357100.0002,24070472.0,16581882.0,7488590.0
VNINDEX,INDEX,2018-09-12,HOSE,599916061640.0,424925599140.0,174990462500.0,11791750.0,8287360.0,3504390.0
VNINDEX,INDEX,2018-09-13,HOSE,526156784800.0,622998119400.0,-96841334600.0,11399340.0,13418536.0,-2019196.0
VNINDEX,INDEX,2018-09-14,HOSE,693400431730.0,733347921030.0,-39947489300.00005,14033660.0,12764990.0,1268670.0
VNINDEX,INDEX,2018-09-17,HOSE,737120490642.0,674411813642.0,62708677000.0,11265978.0,10567208.0,698770.0
VNINDEX,INDEX,2018-09-18,HOSE,731800744273.0,814122330773.0,-82321586499.99995,11375739.0,15701379.0,-4325640.0
VNINDEX,INDEX,2018-09-19,HOSE,589248270260.0,546701040579.99994,42547229680.0,15242044.0,12965770.0,2276274.0
VNINDEX,INDEX,2018-09-20,HOSE,912288600080.0,904494655850.0,7793944230.000026,15330710.0,15085530.0,245180.0
VNINDEX,INDEX,2018-09-21,HOSE,3004547592300.0005,3740416562800.0,-735868970499.9998,47284510.0,65047491.0,-17762981.0
VNINDEX,INDEX,2018-09-24,HOSE,530688647800.0,463485806899.99994,67202840900.00005,9006360.0,9083320.0,-76960.0
VNINDEX,INDEX,2018-09-25,HOSE,337072253650.0,325425867600.0,11646386049.999975,8271650.0,6768250.0,1503400.0
VNINDEX,INDEX,2018-09-26,HOSE,278546968400.0,248943693900.0,29603274500.0,6301990.0,7047630.0,-745640.0
VNINDEX,INDEX,2018-09-27,HOSE,777413720200.0,689683807300.0,87729912900.00005,19361910.0,15135905.0,4226005.0
VNINDEX,INDEX,2018-09-28,HOSE,1397905298900.0,1177284608000.0,220620690900.0,33637162.0,18981732.0,14655430.0
VNINDEX,INDEX,2018-10-01,HOSE,806306609420.0,716758548120.0,89548061300.00005,22020183.0,14741553.0,7278630.0
VNINDEX,INDEX,2018-10-02,HOSE,12029328916300.002,905996863300.0,11123332053000.002,130428812.0,21135010.0,109293802.0
