date,pool,sel,div_nonnull,div_pos,names
2014-05-08,3,3,3,2,"PVS,PVD,HPG"
2015-05-18,2,2,2,2,"DPM,PVS"
2015-08-24,9,3,3,3,"HPG,PVS,DPM"
2016-01-18,5,5,5,5,"NNC,LIX,DPM,DRC,VNM"
2018-05-28,4,3,3,3,"VSC,FMC,TCM"
2018-07-05,3,3,3,3,"GAS,FMC,TCM"
2020-02-03,10,5,5,5,"CVT,SAB,VSC,BMP,NT2"
2020-03-11,9,6,6,6,"CVT,SCS,SAB,VSC,BMP,NT2"
2020-07-27,10,8,8,5,"KSB,DPG,SCS,VSC,GIL,MWG,BMP,NT2"
2022-04-19,22,5,5,5,"C32,NHH,SAB,TLG,VCS"
2022-06-17,14,5,5,5,"HPG,DHG,VCS,SAB,NHH"
2022-09-28,14,7,7,7,"SAB,CSV,TLG,GAS,NTP,PTB,DPG"
2023-10-30,7,4,4,4,"SLS,VCS,QNS,MCH"
2024-04-17,7,6,6,6,"MSH,TLG,VNM,QNS,VCS,HDG"
2024-08-05,12,5,5,4,"RAL,SAB,TLG,VCS,VNM"
2025-04-03,17,5,5,5,"FMC,DGW,SCS,TNG,CTR"
2025-10-20,8,3,3,3,"DHC,DGW,GAS"
2026-03-09,11,6,6,6,"CTR,NCT,NTC,VCS,VGC,VNM"
