book,ticker,play_type,ta,close_bq_stale_DO_NOT_USE_AS_REFPRICE,sector,weight_pct,status
PARK,CTG,CUSTOM30V_8L,1.0,,,10.0,PARK_ADVISORY
PARK,BID,CUSTOM30V_8L,3.0,,,10.0,PARK_ADVISORY
PARK,VHM,CUSTOM30V_8L,3.0,,,10.0,PARK_ADVISORY
PARK,VCB,CUSTOM30V_8L,1.0,,,10.0,PARK_ADVISORY
PARK,TCB,CUSTOM30V_8L,2.0,,,8.9339,PARK_ADVISORY
PARK,VPB,CUSTOM30V_8L,3.0,,,8.4383,PARK_ADVISORY
PARK,MBB,CUSTOM30V_8L,2.0,,,7.7698,PARK_ADVISORY
PARK,LPB,CUSTOM30V_8L,3.0,,,5.2491,PARK_ADVISORY
PARK,HDB,CUSTOM30V_8L,3.0,,,5.1087,PARK_ADVISORY
PARK,ACB,CUSTOM30V_8L,2.0,,,3.8665,PARK_ADVISORY
PARK,VRE,CUSTOM30V_8L,3.0,,,2.9869,PARK_ADVISORY
PARK,SHB,CUSTOM30V_8L,3.0,,,2.8923,PARK_ADVISORY
PARK,VIB,CUSTOM30V_8L,3.0,,,2.0991,PARK_ADVISORY
PARK,TPB,CUSTOM30V_8L,3.0,,,1.7428,PARK_ADVISORY
PARK,VIX,CUSTOM30V_8L,2.0,,,1.5583,PARK_ADVISORY
PARK,MSB,CUSTOM30V_8L,3.0,,,1.5319,PARK_ADVISORY
PARK,VND,CUSTOM30V_8L,3.0,,,0.9152,PARK_ADVISORY
PARK,DCM,CUSTOM30V_8L,3.0,,,0.8242,PARK_ADVISORY
PARK,PVS,CUSTOM30V_8L,3.0,,,0.7988,PARK_ADVISORY
PARK,DGC,CUSTOM30V_8L,2.0,,,0.7782,PARK_ADVISORY
PARK,MBS,CUSTOM30V_8L,2.0,,,0.743,PARK_ADVISORY
PARK,IDC,CUSTOM30V_8L,2.0,,,0.6573,PARK_ADVISORY
PARK,SHS,CUSTOM30V_8L,3.0,,,0.5807,PARK_ADVISORY
PARK,VHC,CUSTOM30V_8L,2.0,,,0.5053,PARK_ADVISORY
PARK,PVT,CUSTOM30V_8L,2.0,,,0.3922,PARK_ADVISORY
PARK,HAH,CUSTOM30V_8L,2.0,,,0.3914,PARK_ADVISORY
PARK,EVF,CUSTOM30V_8L,3.0,,,0.3793,PARK_ADVISORY
PARK,PC1,CUSTOM30V_8L,3.0,,,0.3045,PARK_ADVISORY
PARK,DBC,CUSTOM30V_8L,3.0,,,0.2985,PARK_ADVISORY
PARK,HHV,CUSTOM30V_8L,3.0,,,0.2538,PARK_ADVISORY
