quarter,rebal_date,ticker,qmult,rating,liq_rank,score
2014-07-01,2014-08-05,HLD,1.0,2.0,1,1.8644067796610169
2014-07-01,2014-08-05,DCL,1.0,3.0,2,1.847457627118644
2014-07-01,2014-08-05,PGS,1.0,2.0,3,1.728813559322034
2014-07-01,2014-08-05,SRC,1.0,3.0,4,1.728813559322034
2014-07-01,2014-08-05,DPR,1.0,2.0,5,1.694915254237288
2014-07-01,2014-08-05,CSM,1.0,2.0,6,1.6779661016949152
2014-07-01,2014-08-05,C32,1.0,2.0,7,1.6779661016949152
2014-07-01,2014-08-05,TDC,1.0,3.0,8,1.6610169491525424
2014-07-01,2014-08-05,MBB,1.0,3.0,9,1.576271186440678
2014-07-01,2014-08-05,LAS,1.0,2.0,10,1.542372881355932
2014-07-01,2014-08-05,PPC,1.0,3.0,11,1.5254237288135593
2014-07-01,2014-08-05,BMC,1.0,1.0,12,1.4915254237288136
2014-07-01,2014-08-05,SVC,1.0,3.0,13,1.457627118644068
2014-07-01,2014-08-05,AAA,1.0,3.0,14,1.4067796610169492
2014-07-01,2014-08-05,KMR,1.0,3.0,15,1.3898305084745763
2014-07-01,2014-08-05,VIC,1.0,3.0,16,1.3220338983050848
2014-07-01,2014-08-05,DPM,1.0,2.0,17,1.2711864406779663
2014-07-01,2014-08-05,PXS,1.0,3.0,18,1.2542372881355932
2014-07-01,2014-08-05,VSC,1.0,1.0,19,1.2372881355932204
2014-07-01,2014-08-05,PGD,1.0,2.0,20,1.2372881355932204
2014-07-01,2014-08-05,TCM,1.0,3.0,21,1.2203389830508473
2014-07-01,2014-08-05,PVS,1.0,1.0,22,1.2033898305084745
2014-07-01,2014-08-05,MHC,1.0,3.0,23,1.2033898305084745
2014-07-01,2014-08-05,CNG,1.0,2.0,24,1.2033898305084745
2014-07-01,2014-08-05,CMI,1.0,3.0,25,1.2033898305084745
2014-07-01,2014-08-05,HDG,1.0,2.0,26,1.1864406779661016
2014-07-01,2014-08-05,KHP,1.0,3.0,27,1.1186440677966103
2014-07-01,2014-08-05,BTP,1.0,3.0,28,1.11864406779661
2014-07-01,2014-08-05,NDN,1.0,3.0,29,1.0847457627118644
2014-07-01,2014-08-05,VHG,1.0,3.0,30,1.0169491525423728
2014-10-01,2014-11-05,DCL,1.0,3.0,1,1.8166666666666667
2014-10-01,2014-11-05,MBB,1.0,2.0,2,1.7977011494252872
2014-10-01,2014-11-05,DPR,1.0,2.0,3,1.793103448275862
2014-10-01,2014-11-05,SRC,1.0,2.0,4,1.7603448275862068
2014-10-01,2014-11-05,TDC,1.0,2.0,5,1.7488505747126437
2014-10-01,2014-11-05,DHC,1.0,3.0,6,1.6948275862068964
2014-10-01,2014-11-05,SD9,1.0,3.0,7,1.6557471264367816
2014-10-01,2014-11-05,PGS,1.0,2.0,8,1.6482758620689655
2014-10-01,2014-11-05,CSM,1.0,2.0,9,1.6304597701149426
2014-10-01,2014-11-05,CMI,1.0,3.0,10,1.5551724137931036
2014-10-01,2014-11-05,KMR,1.0,3.0,11,1.4994252873563219
2014-10-01,2014-11-05,SVC,1.0,3.0,12,1.4632183908045977
2014-10-01,2014-11-05,LAS,1.0,2.0,13,1.4166666666666665
2014-10-01,2014-11-05,LAF,1.0,3.0,14,1.3833333333333333
2014-10-01,2014-11-05,VCS,1.0,3.0,15,1.375287356321839
2014-10-01,2014-11-05,MHC,1.0,3.0,16,1.3643678160919541
2014-10-01,2014-11-05,CNG,1.0,1.0,17,1.3402298850574712
2014-10-01,2014-11-05,FMC,1.0,3.0,18,1.2770114942528736
2014-10-01,2014-11-05,PVB,1.0,3.0,19,1.2695402298850573
2014-10-01,2014-11-05,VSC,1.0,1.0,20,1.2494252873563219
2014-10-01,2014-11-05,VTO,1.0,3.0,21,1.1942528735632183
2014-10-01,2014-11-05,DBC,1.0,3.0,22,1.1620689655172414
2014-10-01,2014-11-05,VSH,1.0,3.0,23,1.1126436781609195
2014-10-01,2014-11-05,PXS,1.0,3.0,24,1.0913793103448275
2014-10-01,2014-11-05,PVS,1.0,1.0,25,1.0833333333333335
2014-10-01,2014-11-05,STB,1.0,2.0,26,1.067241379310345
2014-10-01,2014-11-05,BMC,1.0,2.0,27,1.0574712643678161
2014-10-01,2014-11-05,HDG,1.0,2.0,28,1.0454022988505747
2014-10-01,2014-11-05,DPM,1.0,2.0,29,1.043103448275862
2014-10-01,2014-11-05,TCM,1.0,3.0,30,1.0350574712643679
2015-01-01,2015-02-05,MBB,1.0,2.0,1,1.8937651331719128
2015-01-01,2015-02-05,TDC,1.0,3.0,2,1.8589588377723971
2015-01-01,2015-02-05,PGS,1.0,2.0,3,1.8286924939467313
2015-01-01,2015-02-05,DQC,1.0,3.0,4,1.7705811138014527
2015-01-01,2015-02-05,SHS,1.0,3.0,5,1.7448547215496366
2015-01-01,2015-02-05,STB,1.0,3.0,6,1.708232445520581
2015-01-01,2015-02-05,VSC,1.0,2.0,7,1.6670702179176755
2015-01-01,2015-02-05,CSM,1.0,2.0,8,1.6340799031476998
2015-01-01,2015-02-05,PVB,1.0,2.0,9,1.612590799031477
2015-01-01,2015-02-05,NDN,1.0,2.0,10,1.610774818401937
2015-01-01,2015-02-05,DCL,1.0,3.0,11,1.576271186440678
2015-01-01,2015-02-05,PVS,1.0,2.0,12,1.4082929782082325
2015-01-01,2015-02-05,SRC,1.0,2.0,13,1.4064769975786926
2015-01-01,2015-02-05,VNE,1.0,3.0,14,1.313861985472155
2015-01-01,2015-02-05,BID,1.0,2.0,15,1.3135593220338984
2015-01-01,2015-02-05,HPG,1.0,2.0,16,1.2966101694915255
2015-01-01,2015-02-05,DBC,1.0,3.0,17,1.2851089588377724
2015-01-01,2015-02-05,NT2,1.0,3.0,18,1.2745157384987893
2015-01-01,2015-02-05,PET,1.0,2.0,19,1.2690677966101696
2015-01-01,2015-02-05,HHS,1.0,2.0,20,1.2648305084745763
2015-01-01,2015-02-05,FMC,1.0,3.0,21,1.2545399515738498
2015-01-01,2015-02-05,MCG,1.0,3.0,22,1.25
2015-01-01,2015-02-05,VND,1.0,3.0,23,1.2345641646489103
2015-01-01,2015-02-05,CVT,1.0,3.0,24,1.2288135593220337
2015-01-01,2015-02-05,MHC,1.0,3.0,25,1.1785714285714286
2015-01-01,2015-02-05,VCS,1.0,3.0,26,1.1449757869249395
2015-01-01,2015-02-05,PVD,1.0,3.0,27,1.0950363196125907
2015-01-01,2015-02-05,DPM,1.0,2.0,28,1.087772397094431
2015-01-01,2015-02-05,TCM,1.0,2.0,29,1.0450968523002422
2015-01-01,2015-02-05,VSH,1.0,2.0,30,1.026634382566586
2015-04-01,2015-05-05,MBB,1.0,2.0,1,1.7742424242424242
2015-04-01,2015-05-05,PVB,1.0,2.0,2,1.746969696969697
2015-04-01,2015-05-05,PGS,1.0,2.0,3,1.6893939393939394
