quarter,rebal_date,ticker,qmult,rating,liq_rank,score
2014-07-01,2014-08-05,HLD,1.0,2.0,1,1.8813559322033897
2014-07-01,2014-08-05,PGS,1.0,2.0,2,1.7627118644067796
2014-07-01,2014-08-05,SRC,1.0,3.0,3,1.7457627118644068
2014-07-01,2014-08-05,CSM,1.0,2.0,4,1.711864406779661
2014-07-01,2014-08-05,DPR,1.0,2.0,5,1.711864406779661
2014-07-01,2014-08-05,TDC,1.0,3.0,6,1.694915254237288
2014-07-01,2014-08-05,C32,1.0,2.0,7,1.694915254237288
2014-07-01,2014-08-05,MBB,1.0,3.0,8,1.6101694915254239
2014-07-01,2014-08-05,LAS,1.0,2.0,9,1.576271186440678
2014-07-01,2014-08-05,PPC,1.0,3.0,10,1.5254237288135593
2014-07-01,2014-08-05,SVC,1.0,3.0,11,1.4915254237288136
2014-07-01,2014-08-05,BMC,1.0,1.0,12,1.4915254237288136
2014-07-01,2014-08-05,AAA,1.0,3.0,13,1.423728813559322
2014-07-01,2014-08-05,KMR,1.0,3.0,14,1.423728813559322
2014-07-01,2014-08-05,VIC,1.0,3.0,15,1.3389830508474576
2014-07-01,2014-08-05,SBA,1.0,3.0,16,1.3220338983050848
2014-07-01,2014-08-05,PXS,1.0,3.0,17,1.2881355932203389
2014-07-01,2014-08-05,DPM,1.0,2.0,18,1.2711864406779663
2014-07-01,2014-08-05,PGD,1.0,2.0,19,1.271186440677966
2014-07-01,2014-08-05,TCM,1.0,3.0,20,1.2542372881355932
2014-07-01,2014-08-05,VSC,1.0,1.0,21,1.2542372881355932
2014-07-01,2014-08-05,PVS,1.0,1.0,22,1.2203389830508475
2014-07-01,2014-08-05,HDG,1.0,2.0,23,1.2203389830508475
2014-07-01,2014-08-05,MHC,1.0,3.0,24,1.2203389830508475
2014-07-01,2014-08-05,CNG,1.0,2.0,25,1.2203389830508473
2014-07-01,2014-08-05,BTP,1.0,3.0,26,1.152542372881356
2014-07-01,2014-08-05,KHP,1.0,3.0,27,1.152542372881356
2014-07-01,2014-08-05,NDN,1.0,3.0,28,1.0847457627118644
2014-07-01,2014-08-05,VHG,1.0,3.0,29,1.0169491525423728
2014-07-01,2014-08-05,VSH,1.0,3.0,30,1.0
2014-10-01,2014-11-05,DCL,1.0,3.0,1,1.8333333333333335
2014-10-01,2014-11-05,DPR,1.0,2.0,2,1.8103448275862069
2014-10-01,2014-11-05,MBB,1.0,2.0,3,1.7977011494252872
2014-10-01,2014-11-05,SRC,1.0,2.0,4,1.7775862068965518
2014-10-01,2014-11-05,TDC,1.0,2.0,5,1.7655172413793103
2014-10-01,2014-11-05,SD9,1.0,3.0,6,1.6729885057471265
2014-10-01,2014-11-05,PGS,1.0,2.0,7,1.664942528735632
2014-10-01,2014-11-05,CSM,1.0,2.0,8,1.6471264367816092
2014-10-01,2014-11-05,CMI,1.0,3.0,9,1.5724137931034483
2014-10-01,2014-11-05,KMR,1.0,3.0,10,1.5160919540229885
2014-10-01,2014-11-05,SVC,1.0,3.0,11,1.4798850574712645
2014-10-01,2014-11-05,LAS,1.0,2.0,12,1.4166666666666665
2014-10-01,2014-11-05,VCS,1.0,3.0,13,1.4091954022988507
2014-10-01,2014-11-05,LAF,1.0,3.0,14,1.3833333333333333
2014-10-01,2014-11-05,CNG,1.0,1.0,15,1.3741379310344828
2014-10-01,2014-11-05,MHC,1.0,3.0,16,1.3643678160919541
2014-10-01,2014-11-05,PVB,1.0,3.0,17,1.303448275862069
2014-10-01,2014-11-05,VSC,1.0,1.0,18,1.2833333333333332
2014-10-01,2014-11-05,FMC,1.0,3.0,19,1.2770114942528736
2014-10-01,2014-11-05,VTO,1.0,3.0,20,1.2281609195402299
2014-10-01,2014-11-05,DBC,1.0,3.0,21,1.178735632183908
2014-10-01,2014-11-05,VSH,1.0,3.0,22,1.1293103448275863
2014-10-01,2014-11-05,PXS,1.0,3.0,23,1.125287356321839
2014-10-01,2014-11-05,PVS,1.0,1.0,24,1.1172413793103448
2014-10-01,2014-11-05,STB,1.0,2.0,25,1.1011494252873564
