quarter,rebal_date,ticker,qmult,rating,liq_rank,score
2014-07-01,2014-08-05,VNH,1.0,3.0,1,1.9473365617433416
2014-07-01,2014-08-05,FDC,1.0,2.0,2,1.9285714285714286
2014-07-01,2014-08-05,LAF,1.0,3.0,3,1.87681598062954
2014-07-01,2014-08-05,DCL,1.0,3.0,4,1.7966101694915255
2014-07-01,2014-08-05,PGS,1.0,2.0,5,1.6725181598062955
2014-07-01,2014-08-05,SRC,1.0,3.0,6,1.6510290556900726
2014-07-01,2014-08-05,CSM,1.0,2.0,7,1.6413438256658597
2014-07-01,2014-08-05,DPR,1.0,2.0,8,1.5938256658595642
2014-07-01,2014-08-05,C32,1.0,2.0,9,1.5750605326876514
2014-07-01,2014-08-05,DHC,1.0,3.0,10,1.569007263922518
2014-07-01,2014-08-05,GSP,1.0,3.0,11,1.4993946731234866
2014-07-01,2014-08-05,MBB,1.0,3.0,12,1.4948547215496366
2014-07-01,2014-08-05,KSB,1.0,1.0,13,1.4697336561743342
2014-07-01,2014-08-05,LAS,1.0,2.0,14,1.460048426150121
2014-07-01,2014-08-05,TRC,1.0,3.0,15,1.4491525423728815
2014-07-01,2014-08-05,PPC,1.0,3.0,16,1.4179782082324457
2014-07-01,2014-08-05,SVC,1.0,3.0,17,1.3834745762711864
2014-07-01,2014-08-05,BMC,1.0,1.0,18,1.363498789346247
2014-07-01,2014-08-05,KMR,1.0,3.0,19,1.3211259079903148
2014-07-01,2014-08-05,DQC,1.0,3.0,20,1.306598062953995
2014-07-01,2014-08-05,SBA,1.0,3.0,21,1.167372881355932
2014-07-01,2014-08-05,PGD,1.0,2.0,22,1.1416464891041163
2014-07-01,2014-08-05,DPM,1.0,2.0,23,1.1349878934624698
2014-07-01,2014-08-05,TCM,1.0,3.0,24,1.1183414043583535
2014-07-01,2014-08-05,CMI,1.0,3.0,25,1.1110774818401938
2014-07-01,2014-08-05,PVS,1.0,1.0,26,1.090496368038741
2014-07-01,2014-08-05,MHC,1.0,3.0,27,1.085956416464891
2014-07-01,2014-08-05,CNG,1.0,2.0,28,1.080811138014528
2014-07-01,2014-08-05,BTP,1.0,3.0,29,1.0596246973365617
2014-07-01,2014-08-05,KHP,1.0,3.0,30,1.0048426150121066
2014-10-01,2014-11-05,NDN,1.0,3.0,1,1.7726190476190475
