date,nav
2013-12-23,1000.0
2013-12-24,1000.0
2013-12-25,1000.0
2013-12-26,1000.0
2013-12-27,1000.0
2013-12-30,1000.0
2013-12-31,1000.0
2014-01-02,1000.0
2014-01-03,1000.0
2014-01-06,1000.0
2014-01-07,1000.0
2014-01-08,1000.0
2014-01-09,1000.0
2014-01-10,1000.0
2014-01-13,1000.0
2014-01-14,1000.0
2014-01-15,1000.0
2014-01-16,1000.0
2014-01-17,1000.0
2014-01-20,1000.0
2014-01-21,1000.0
2014-01-22,1000.0
2014-01-23,1000.0
2014-01-24,1000.0
2014-01-27,1000.0
2014-02-06,1000.0
2014-02-07,1000.0
2014-02-10,1000.0
2014-02-11,1000.0
2014-02-12,1000.0
2014-02-13,1000.0
2014-02-14,1000.0
2014-02-17,1000.0
2014-02-18,1000.0
2014-02-19,1000.0
2014-02-20,1000.0
2014-02-21,1000.0
2014-02-24,1000.0
2014-02-25,1000.0
2014-02-26,1000.0
2014-02-27,1000.0
2014-02-28,1000.0
2014-03-03,1000.0
2014-03-04,1000.0
2014-03-05,1000.0
2014-03-06,1000.0
2014-03-07,1000.0
2014-03-10,1000.0
2014-03-11,1000.0
2014-03-12,1000.0
2014-03-13,1000.0
2014-03-14,1000.0
2014-03-17,1000.0
2014-03-18,1000.0
2014-03-19,1000.0
2014-03-20,1000.0
2014-03-21,1000.0
2014-03-24,1000.0
2014-03-25,1000.0
2014-03-26,1000.0
2014-03-27,1000.0
2014-03-28,1000.0
2014-03-31,1000.0
2014-04-01,1000.0
2014-04-02,1000.0
2014-04-03,1000.0
2014-04-04,1000.0
2014-04-07,1000.0
2014-04-08,1000.0
2014-04-10,1000.0
2014-04-11,1000.0
2014-04-14,1000.0
2014-04-15,1000.0
2014-04-16,1000.0
2014-04-17,1000.0
2014-04-18,1000.0
2014-04-21,1000.0
2014-04-22,1000.0
2014-04-23,1000.0
2014-04-24,1000.0
2014-04-25,1000.0
2014-04-28,1000.0
2014-04-29,1000.0
2014-05-05,1000.0
2014-05-06,1000.0
2014-05-07,1000.0
2014-05-08,1000.0
2014-05-09,1000.0
2014-05-12,1000.0
2014-05-13,1000.0
2014-05-14,1000.0
2014-05-15,1000.0
2014-05-16,1000.0
2014-05-19,1000.0
2014-05-20,1000.0
2014-05-21,1000.0
2014-05-22,1000.0
2014-05-23,1000.0
2014-05-26,1000.0
2014-05-27,1000.0
2014-05-28,1000.0
2014-05-29,1000.0
2014-05-30,1000.0
2014-06-02,1000.0
2014-06-03,1000.0
2014-06-04,1000.0
2014-06-05,1000.0
2014-06-06,1000.0
2014-06-09,1000.0
2014-06-10,1000.0
2014-06-11,1000.0
2014-06-12,1000.0
2014-06-13,1000.0
2014-06-16,1000.0
2014-06-17,1000.0
2014-06-18,1000.0
2014-06-19,1000.0
2014-06-20,1000.0
2014-06-23,1000.0
2014-06-24,1000.0
2014-06-25,1000.0
2014-06-26,1000.0
2014-06-27,1000.0
2014-06-30,1000.0
2014-07-01,1000.0
2014-07-02,1000.0
2014-07-03,1000.0
2014-07-04,1000.0
2014-07-07,1000.0
2014-07-08,1000.0
2014-07-09,1000.0
2014-07-10,1000.0
2014-07-11,1000.0
2014-07-14,1000.0
2014-07-15,1000.0
2014-07-16,1000.0
2014-07-17,1000.0
2014-07-18,1000.0
2014-07-21,1000.0
2014-07-22,1000.0
2014-07-23,1000.0
2014-07-24,1000.0
2014-07-25,1000.0
2014-07-28,1000.0
2014-07-29,1000.0
2014-07-30,1000.0
2014-07-31,1000.0
2014-08-01,1000.0
2014-08-04,1000.0
2014-08-05,1011.8892188576302
2014-08-06,1014.5494777679443
2014-08-07,1019.8111985699159
2014-08-08,1012.0707205632165
2014-08-11,1006.3130380501783
2014-08-12,1007.069764272758
2014-08-13,1016.7685111108291
2014-08-14,1026.2417493889466
2014-08-15,1022.886991991292
2014-08-18,1028.0554073657277
2014-08-19,1022.540687763875
2014-08-20,1027.7056587370776
2014-08-21,1034.6144668666195
2014-08-22,1047.0388464325777
2014-08-25,1065.4117246122173
2014-08-26,1085.9489175050676
2014-08-27,1085.698462136137
2014-08-28,1092.5675261434737
2014-08-29,1099.0899526964595
2014-09-03,1101.898521193623
2014-09-04,1105.6251912953555
2014-09-05,1119.384042110292
2014-09-08,1133.9368613745837
2014-09-09,1095.192664781466
2014-09-10,1108.3281862703157
2014-09-11,1111.5328358793674
2014-09-12,1126.6469610529887
2014-09-15,1135.3085072716428
2014-09-16,1150.888286722737
2014-09-17,1141.1757188991564
2014-09-18,1119.6024861390665
2014-09-19,1120.1203055100173
2014-09-22,1113.0855921567409
2014-09-23,1109.2906275059672
2014-09-24,1102.788630324147
2014-09-25,1109.4860473633876
2014-09-26,1107.544528253922
2014-09-29,1095.6645864542766
2014-09-30,1097.8483301561935
2014-10-01,1114.3620065821706
2014-10-02,1114.2904246320688
2014-10-03,1123.754385914106
2014-10-06,1136.475363258638
2014-10-07,1130.5936935124769
2014-10-08,1130.6524823938691
2014-10-09,1124.7680431523925
2014-10-10,1121.219376236664
2014-10-13,1124.141157514928
2014-10-14,1107.8167904715015
2014-10-15,1108.5646565811421
2014-10-16,1081.0436478296776
2014-10-17,1079.1670998809811
2014-10-20,1084.9455927583908
2014-10-21,1086.8966983226442
2014-10-22,1098.9065635882894
2014-10-23,1087.8399988948595
2014-10-24,1088.382940251914
2014-10-27,1056.928916310727
2014-10-28,1063.6309504286273
2014-10-29,1085.74480166961
2014-10-30,1081.6303482038297
2014-10-31,1098.7715883663057
2014-11-03,1191.882794818609
2014-11-04,1187.4913476810877
2014-11-05,1184.3827534902343
2014-11-06,1188.6405869937741
2014-11-07,1191.8796129635332
2014-11-10,1193.0302687029039
2014-11-11,1192.5584591277654
2014-11-12,1198.5910812381985
2014-11-13,1201.9056237570423
2014-11-14,1199.3789517591824
2014-11-17,1199.1119660646195
2014-11-18,1187.3002028475385
2014-11-19,1178.356259364048
2014-11-20,1186.2117571395695
2014-11-21,1172.6152261101556
2014-11-24,1158.9593033712388
2014-11-25,1166.7055041989677
2014-11-26,1150.1666400492363
2014-11-27,1149.1374212416797
2014-11-28,1141.2815326041666
2014-12-01,1149.7698105150596
2014-12-02,1155.8017104705916
2014-12-03,1173.0078829390015
2014-12-04,1179.659815448727
2014-12-05,1178.459385107022
2014-12-08,1153.9968915042384
2014-12-09,1108.5586656799935
2014-12-10,1129.8008855577107
2014-12-11,1114.4854233986314
2014-12-12,1124.1711878004317
2014-12-15,1120.421736251203
2014-12-16,1088.967469581892
2014-12-17,1050.9854168489044
2014-12-18,1075.6121498026703
2014-12-19,1054.3144101294658
2014-12-22,1085.5529364664565
2014-12-23,1087.608618042472
2014-12-24,1087.0278081045324
2014-12-25,1079.7388869583622
2014-12-26,1075.074458928176
2014-12-29,1060.0004501932408
2014-12-30,1076.7261406212629
2014-12-31,1105.1233303120202
2015-01-05,1094.0414990760014
2015-01-06,1102.2574518047131
2015-01-07,1108.9099255753854
2015-01-08,1104.4350042686597
2015-01-09,1129.2209932897028
2015-01-12,1121.3940560645933
2015-01-13,1131.0786465821643
2015-01-14,1128.4385574415678
2015-01-15,1141.230220810127
2015-01-16,1128.5502436900792
2015-01-19,1121.7624136176812
2015-01-20,1117.9274100478594
2015-01-21,1115.4156786219855
2015-01-22,1126.2638939007788
2015-01-23,1131.2446701922456
2015-01-26,1129.0634553813504
2015-01-27,1121.4332363631888
2015-01-28,1134.9532708214956
2015-01-29,1135.5371568697733
2015-01-30,1121.8128502108862
2015-02-02,1115.5142795733714
2015-02-03,1089.143422313641
2015-02-04,1099.724807574191
2015-02-05,1102.5362845700206
2015-02-06,1123.2389002695625
2015-02-09,1119.6156399262456
2015-02-10,1126.5568231050474
2015-02-11,1143.3973544136363
2015-02-12,1148.3812093732179
2015-02-13,1149.7438660860146
2015-02-24,1159.189072209859
2015-02-25,1150.2272507075531
2015-02-26,1159.607765319543
2015-02-27,1150.9132921026437
2015-03-02,1144.0239018305163
2015-03-03,1156.9708635455736
2015-03-04,1161.2118648672051
2015-03-05,1161.7061244482336
2015-03-06,1166.3091156708547
2015-03-09,1159.8616828608835
2015-03-10,1156.1968353864693
2015-03-11,1154.8621118448175
2015-03-12,1153.3648033964246
2015-03-13,1147.3000693126653
2015-03-16,1127.1630303626114
2015-03-17,1127.8958534374178
2015-03-18,1115.8253806685916
2015-03-19,1106.9573251125564
2015-03-20,1116.9062998950665
2015-03-23,1100.4616558654961
2015-03-24,1086.3737732438476
2015-03-25,1073.5485493377143
2015-03-26,1082.3809122191662
2015-03-27,1075.288513451169
2015-03-30,1059.3312081074748
2015-03-31,1068.7412745172585
2015-04-01,1044.834577452021
2015-04-02,1061.64449131862
2015-04-03,1069.9424498757269
2015-04-06,1064.1672010637415
2015-04-07,1078.3821877668884
2015-04-08,1075.5151810578782
2015-04-09,1086.6769497590951
2015-04-10,1088.7783920817226
2015-04-13,1088.9654456021335
2015-04-14,1090.3072302364028
2015-04-15,1112.3671634831267
2015-04-16,1127.8055144542118
2015-04-17,1125.5527156461892
2015-04-20,1121.9376165092615
2015-04-21,1119.6930212585353
2015-04-22,1118.6381359404695
2015-04-23,1115.0066158663706
2015-04-24,1127.8654385736006
2015-04-27,1122.5242672273432
2015-05-04,1096.799926102814
2015-05-05,1114.4568986499937
2015-05-06,1108.2202502194812
2015-05-07,1117.0613548748847
2015-05-08,1118.6726955886058
2015-05-11,1108.0167646749837
2015-05-12,1096.9330200260088
2015-05-13,1096.4099766181314
2015-05-14,1099.7933418444172
2015-05-15,1077.95643649538
2015-05-18,1055.295264687085
2015-05-19,1069.5629918131847
2015-05-20,1100.2530040043634
2015-05-21,1114.2270241927376
2015-05-22,1128.6045768390632
2015-05-25,1133.281243086733
2015-05-26,1142.8479985691188
2015-05-27,1137.7928471663017
2015-05-28,1152.213842938118
2015-05-29,1141.376258227174
2015-06-01,1151.4911900472046
2015-06-02,1142.8142451319964
2015-06-03,1149.928061722997
2015-06-04,1149.9042280936765
2015-06-05,1165.294412162766
2015-06-08,1179.047821241158
2015-06-09,1170.0463241057098
2015-06-10,1179.3684452947455
2015-06-11,1191.6554550033118
2015-06-12,1194.864551636993
2015-06-15,1202.317748957869
2015-06-16,1195.010983515812
2015-06-17,1187.9944891058622
2015-06-18,1187.1964706417623
2015-06-19,1188.8914797221778
2015-06-22,1203.3493424729745
2015-06-23,1206.385220122881
2015-06-24,1200.4022531504136
2015-06-25,1192.3033961745284
2015-06-26,1179.3355807264304
2015-06-29,1197.725530086097
2015-06-30,1188.5042326707305
2015-07-01,1186.304528845458
2015-07-02,1206.1536407698213
2015-07-03,1219.829205706567
2015-07-06,1249.858410818246
2015-07-07,1258.8637048063968
2015-07-08,1240.0800250566997
2015-07-09,1237.8945348812981
2015-07-10,1244.814102672101
2015-07-13,1249.1637882972477
2015-07-14,1247.822899403018
2015-07-15,1233.5829436068584
2015-07-16,1234.7292930673393
2015-07-17,1232.6545867830548
2015-07-20,1280.7076629469561
2015-07-21,1280.2171228266225
2015-07-22,1308.5970803824998
2015-07-23,1306.6051031385311
2015-07-24,1317.5204985560476
2015-07-27,1341.7027615670784
2015-07-28,1329.31785241313
2015-07-29,1320.5686942472364
2015-07-30,1328.4250780825666
2015-07-31,1322.9178414553285
2015-08-03,1357.3510044719792
2015-08-04,1351.6194934311807
2015-08-05,1378.3614080357875
2015-08-06,1369.8387602264008
2015-08-07,1373.4294070502929
2015-08-10,1388.893174227433
2015-08-11,1385.4649509791448
2015-08-12,1365.2044744599941
2015-08-13,1336.1948659894372
2015-08-14,1331.6368251572153
2015-08-17,1292.006671955557
2015-08-18,1307.1454787594134
2015-08-19,1303.1561948688854
2015-08-20,1268.341380360625
2015-08-21,1245.2681853686577
2015-08-24,1163.6977942476374
2015-08-25,1177.1608604091145
2015-08-26,1240.9605378918875
2015-08-27,1258.2271677740237
2015-08-28,1296.2559217818434
2015-08-31,1271.7725394207077
2015-09-01,1276.1856431768683
2015-09-03,1253.1625481283106
2015-09-04,1254.945573922947
2015-09-07,1246.730841538403
2015-09-08,1275.2705778947138
2015-09-09,1294.8426258609302
