ticker,n_rebals,pct_rebals,avg_liq_rank,avg_rating,first_selected,last_selected
HSG,13,27.083333333333332,9.76923076923077,2.8461538461538463,2016-02-05,2025-11-05
NKG,5,10.416666666666666,15.6,3.0,2021-08-05,2024-02-05
HVN,4,8.333333333333334,24.5,3.0,2018-08-06,2025-08-05
PC1,2,4.166666666666667,26.0,3.0,2025-11-05,2026-05-05
DMC,1,2.0833333333333335,30.0,1.0,2016-05-05,2016-05-05
BAF,1,2.0833333333333335,28.0,3.0,2023-11-06,2023-11-06
SBA,1,2.0833333333333335,16.0,3.0,2014-08-05,2014-08-05
KSF,0,0.0,,,,
NVL,0,0.0,,,,
VJC,0,0.0,,,,
VVS,0,0.0,,,,
GEG,0,0.0,,,,
IMP,0,0.0,,,,
TRA,0,0.0,,,,
TOS,0,0.0,,,,
VTP,0,0.0,,,,
