quarter,rebal_date,ticker,qmult,rating,liq_rank,score
2014-07-01,2014-08-05,VNH,1.0,3.0,1,1.9473365617433416
2014-07-01,2014-08-05,FDC,1.0,2.0,2,1.9285714285714286
2014-07-01,2014-08-05,LAF,1.0,3.0,3,1.87681598062954
2014-07-01,2014-08-05,DCL,1.0,3.0,4,1.8135593220338984
2014-07-01,2014-08-05,PGS,1.0,2.0,5,1.6894673123486683
2014-07-01,2014-08-05,SRC,1.0,3.0,6,1.6679782082324457
2014-07-01,2014-08-05,CSM,1.0,2.0,7,1.6582929782082325
2014-07-01,2014-08-05,DHC,1.0,3.0,8,1.585956416464891
2014-07-01,2014-08-05,DPR,1.0,2.0,9,1.5759685230024214
2014-07-01,2014-08-05,C32,1.0,2.0,10,1.5572033898305084
2014-07-01,2014-08-05,GSP,1.0,3.0,11,1.5163438256658597
2014-07-01,2014-08-05,MBB,1.0,3.0,12,1.4939467312348669
2014-07-01,2014-08-05,LAS,1.0,2.0,13,1.459140435835351
2014-07-01,2014-08-05,TRC,1.0,3.0,14,1.4491525423728815
2014-07-01,2014-08-05,PPC,1.0,3.0,15,1.4349273607748185
2014-07-01,2014-08-05,SVC,1.0,3.0,16,1.4004237288135593
2014-07-01,2014-08-05,BMC,1.0,1.0,17,1.38044794188862
2014-07-01,2014-08-05,KMR,1.0,3.0,18,1.3380750605326877
2014-07-01,2014-08-05,DQC,1.0,3.0,19,1.305690072639225
2014-07-01,2014-08-05,SBA,1.0,3.0,20,1.1664648910411621
2014-07-01,2014-08-05,PGD,1.0,2.0,21,1.158595641646489
2014-07-01,2014-08-05,DPM,1.0,2.0,22,1.1519370460048426
2014-07-01,2014-08-05,CMI,1.0,3.0,23,1.1280266343825667
2014-07-01,2014-08-05,TCM,1.0,3.0,24,1.1174334140435835
2014-07-01,2014-08-05,PVS,1.0,1.0,25,1.1074455205811138
2014-07-01,2014-08-05,MHC,1.0,3.0,26,1.102905569007264
2014-07-01,2014-08-05,CNG,1.0,2.0,27,1.0799031476997578
2014-07-01,2014-08-05,BTP,1.0,3.0,28,1.0765738498789346
2014-07-01,2014-08-05,KHP,1.0,3.0,29,1.0217917675544794
2014-07-01,2014-08-05,NDN,1.0,3.0,30,0.972457627118644
2014-10-01,2014-11-05,NDN,1.0,3.0,1,1.774561403508772
