date,nav
2013-12-23,1000.0
2013-12-24,1000.0
2013-12-25,1000.0
2013-12-26,1000.0
2013-12-27,1000.0
2013-12-30,1000.0
2013-12-31,1000.0
2014-01-02,1000.0
2014-01-03,1000.0
2014-01-06,1000.0
2014-01-07,1000.0
2014-01-08,1000.0
2014-01-09,1000.0
2014-01-10,1000.0
2014-01-13,1000.0
2014-01-14,1000.0
2014-01-15,1000.0
2014-01-16,1000.0
2014-01-17,1000.0
2014-01-20,1000.0
2014-01-21,1000.0
2014-01-22,1000.0
2014-01-23,1000.0
2014-01-24,1000.0
2014-01-27,1000.0
2014-02-06,1000.0
2014-02-07,1000.0
2014-02-10,1000.0
2014-02-11,1000.0
2014-02-12,1000.0
2014-02-13,1000.0
2014-02-14,1000.0
2014-02-17,1000.0
2014-02-18,1000.0
2014-02-19,1000.0
2014-02-20,1000.0
2014-02-21,1000.0
2014-02-24,1000.0
2014-02-25,1000.0
2014-02-26,1000.0
2014-02-27,1000.0
2014-02-28,1000.0
2014-03-03,1000.0
2014-03-04,1000.0
2014-03-05,1000.0
2014-03-06,1000.0
2014-03-07,1000.0
2014-03-10,1000.0
2014-03-11,1000.0
2014-03-12,1000.0
2014-03-13,1000.0
2014-03-14,1000.0
2014-03-17,1000.0
2014-03-18,1000.0
2014-03-19,1000.0
2014-03-20,1000.0
2014-03-21,1000.0
2014-03-24,1000.0
2014-03-25,1000.0
2014-03-26,1000.0
2014-03-27,1000.0
2014-03-28,1000.0
2014-03-31,1000.0
2014-04-01,1000.0
2014-04-02,1000.0
2014-04-03,1000.0
2014-04-04,1000.0
2014-04-07,1000.0
2014-04-08,1000.0
2014-04-10,1000.0
2014-04-11,1000.0
2014-04-14,1000.0
2014-04-15,1000.0
2014-04-16,1000.0
2014-04-17,1000.0
2014-04-18,1000.0
2014-04-21,1000.0
2014-04-22,1000.0
2014-04-23,1000.0
2014-04-24,1000.0
2014-04-25,1000.0
2014-04-28,1000.0
2014-04-29,1000.0
2014-05-05,1000.0
2014-05-06,1000.0
2014-05-07,1000.0
2014-05-08,1000.0
2014-05-09,1000.0
2014-05-12,1000.0
2014-05-13,1000.0
2014-05-14,1000.0
2014-05-15,1000.0
2014-05-16,1000.0
2014-05-19,1000.0
2014-05-20,1000.0
2014-05-21,1000.0
2014-05-22,1000.0
2014-05-23,1000.0
2014-05-26,1000.0
2014-05-27,1000.0
2014-05-28,1000.0
2014-05-29,1000.0
2014-05-30,1000.0
2014-06-02,1000.0
2014-06-03,1000.0
2014-06-04,1000.0
2014-06-05,1000.0
2014-06-06,1000.0
2014-06-09,1000.0
2014-06-10,1000.0
2014-06-11,1000.0
2014-06-12,1000.0
2014-06-13,1000.0
2014-06-16,1000.0
2014-06-17,1000.0
2014-06-18,1000.0
2014-06-19,1000.0
2014-06-20,1000.0
2014-06-23,1000.0
2014-06-24,1000.0
2014-06-25,1000.0
2014-06-26,1000.0
2014-06-27,1000.0
2014-06-30,1000.0
2014-07-01,1000.0
2014-07-02,1000.0
2014-07-03,1000.0
2014-07-04,1000.0
2014-07-07,1000.0
2014-07-08,1000.0
2014-07-09,1000.0
2014-07-10,1000.0
2014-07-11,1000.0
2014-07-14,1000.0
2014-07-15,1000.0
2014-07-16,1000.0
2014-07-17,1000.0
2014-07-18,1000.0
2014-07-21,1000.0
2014-07-22,1000.0
2014-07-23,1000.0
2014-07-24,1000.0
2014-07-25,1000.0
2014-07-28,1000.0
2014-07-29,1000.0
2014-07-30,1000.0
2014-07-31,1000.0
2014-08-01,1000.0
2014-08-04,1000.0
2014-08-05,1009.8462673498765
2014-08-06,1009.1719306079143
2014-08-07,1014.0166154053054
2014-08-08,1008.1583297508106
2014-08-11,1000.9670160454533
2014-08-12,998.7621764918144
2014-08-13,1007.4574624843353
2014-08-14,1015.0794157676577
2014-08-15,1016.2006135039235
2014-08-18,1024.1270558086883
2014-08-19,1020.1988693870256
2014-08-20,1027.4062967221582
2014-08-21,1034.7348024869598
2014-08-22,1044.8735191237517
2014-08-25,1059.8349110229424
2014-08-26,1073.834939290776
2014-08-27,1075.6425974848444
2014-08-28,1087.0574295471226
2014-08-29,1089.3606297433446
2014-09-03,1093.2841758334807
2014-09-04,1096.2061383598718
2014-09-05,1116.5614511006813
2014-09-08,1126.7675457779965
2014-09-09,1084.4241496408313
2014-09-10,1096.3284162980513
2014-09-11,1098.981401337022
2014-09-12,1109.0552387501768
2014-09-15,1125.11401026364
2014-09-16,1144.3081769403352
2014-09-17,1137.6195258911089
2014-09-18,1112.9705466186815
2014-09-19,1114.8693806616927
2014-09-22,1107.686344386151
2014-09-23,1101.518939619826
2014-09-24,1099.9340193742378
2014-09-25,1113.3393172223637
2014-09-26,1108.5134838933577
2014-09-29,1103.6234005921133
2014-09-30,1106.432187272109
2014-10-01,1120.726105448665
2014-10-02,1126.5471435962663
2014-10-03,1135.4450156753978
2014-10-06,1143.095143970323
2014-10-07,1137.5697635529837
2014-10-08,1138.3272411637836
2014-10-09,1132.0625695229674
2014-10-10,1129.879173923917
2014-10-13,1131.8814490473403
2014-10-14,1117.111882758083
2014-10-15,1121.2584996064074
2014-10-16,1094.5957840076048
2014-10-17,1092.2461056712061
2014-10-20,1098.4291356245276
2014-10-21,1094.6060661110655
2014-10-22,1105.3684391327793
2014-10-23,1095.2195302180523
2014-10-24,1097.0837053718367
2014-10-27,1064.5873198669367
2014-10-28,1076.0134379247645
2014-10-29,1097.5155257001402
2014-10-30,1094.9868448472098
2014-10-31,1110.3660967476796
2014-11-03,1125.5180893482386
2014-11-04,1121.3672586617256
2014-11-05,1123.9021832140843
2014-11-06,1131.6126057740496
2014-11-07,1136.313368853047
2014-11-10,1136.0002625174227
2014-11-11,1135.2221453184645
2014-11-12,1139.6810316309156
2014-11-13,1148.510499615687
2014-11-14,1143.6208254159624
2014-11-17,1150.5287238032308
2014-11-18,1147.470698277888
2014-11-19,1138.1750293172322
2014-11-20,1143.4142745779602
2014-11-21,1131.1908582244569
2014-11-24,1125.9928281662749
2014-11-25,1132.6138216904335
2014-11-26,1116.443644779143
2014-11-27,1123.7782285404926
2014-11-28,1124.508867232943
2014-12-01,1128.1733699618567
2014-12-02,1127.8940756991706
2014-12-03,1148.6279989280304
2014-12-04,1157.0579864090441
2014-12-05,1161.7823234398893
2014-12-08,1142.5588447135171
2014-12-09,1103.2711309012238
2014-12-10,1120.8035280817855
2014-12-11,1112.7503367150864
2014-12-12,1122.1582361561948
2014-12-15,1122.2785206529513
2014-12-16,1094.7204734482657
2014-12-17,1056.4196513341926
2014-12-18,1076.3546979784555
2014-12-19,1054.5865328268155
2014-12-22,1073.042851094299
2014-12-23,1075.6978421637834
2014-12-24,1077.6260481691252
2014-12-25,1073.2665426357294
2014-12-26,1064.612731300391
2014-12-29,1051.641062181136
2014-12-30,1066.23607881381
2014-12-31,1092.6196991028658
2015-01-05,1087.8664767904133
2015-01-06,1093.5517323314302
2015-01-07,1095.6405412349266
2015-01-08,1089.0175197649623
2015-01-09,1104.2455793440613
2015-01-12,1092.439037948861
2015-01-13,1107.2536085250126
2015-01-14,1103.800795570786
2015-01-15,1111.999663483442
2015-01-16,1101.8574149508686
2015-01-19,1108.727961421622
2015-01-20,1105.2109696225477
2015-01-21,1102.2420089297584
2015-01-22,1111.765404986879
2015-01-23,1113.6184248747638
2015-01-26,1117.6340015919052
2015-01-27,1113.426975613701
2015-01-28,1116.0488005246507
2015-01-29,1121.831321015936
2015-01-30,1111.9169364818922
2015-02-02,1125.0030905459341
2015-02-03,1103.2865631085012
2015-02-04,1108.3717875323575
2015-02-05,1110.3577333439348
2015-02-06,1129.7694434421742
2015-02-09,1127.3240171258603
2015-02-10,1131.7734164337394
2015-02-11,1147.6855781919576
2015-02-12,1148.5726087259713
2015-02-13,1148.1396676778381
2015-02-24,1159.1547138006897
2015-02-25,1153.7050657106302
2015-02-26,1161.109150832895
2015-02-27,1153.6186220487016
2015-03-02,1149.3215136262388
2015-03-03,1160.13918581325
2015-03-04,1170.1024678769172
2015-03-05,1170.7098712883837
2015-03-06,1177.889504524187
2015-03-09,1165.6477204544008
2015-03-10,1162.709199459568
2015-03-11,1166.0951385255005
2015-03-12,1170.3528504800215
2015-03-13,1164.552624388517
2015-03-16,1154.995801206918
2015-03-17,1155.1490264734232
2015-03-18,1146.5358002186945
2015-03-19,1141.122084236994
2015-03-20,1147.0004962678902
2015-03-23,1134.0350667885746
2015-03-24,1124.791875356067
2015-03-25,1118.4470227347026
2015-03-26,1124.354453236248
2015-03-27,1119.7718472296503
2015-03-30,1103.5096498586656
2015-03-31,1112.1511961547355
2015-04-01,1089.8777983914456
2015-04-02,1103.7199038391611
2015-04-03,1109.1439490348712
2015-04-06,1105.3164060375939
2015-04-07,1119.2171421491742
2015-04-08,1121.5121506397127
2015-04-09,1131.620688015683
2015-04-10,1137.9981352927343
2015-04-13,1133.1175039554228
2015-04-14,1132.2943775706408
2015-04-15,1145.5491650412646
2015-04-16,1152.587961413392
2015-04-17,1149.1309764058478
2015-04-20,1145.634838127695
2015-04-21,1143.4106145853411
2015-04-22,1140.5304629320535
2015-04-23,1140.5203951840774
2015-04-24,1151.3450522379921
2015-04-27,1154.2050750972674
2015-05-04,1113.621150575523
2015-05-05,1126.566572948581
2015-05-06,1121.4659715633118
2015-05-07,1127.5997521102456
2015-05-08,1128.7767521005983
2015-05-11,1119.316867878608
2015-05-12,1111.8029705618007
2015-05-13,1116.5179747984157
2015-05-14,1117.7093450791965
2015-05-15,1095.2875274264109
2015-05-18,1074.573250826698
2015-05-19,1088.6724416102832
2015-05-20,1111.8675274751865
2015-05-21,1126.6608169362603
2015-05-22,1138.7443361911091
2015-05-25,1141.3432654361134
2015-05-26,1145.4816116727727
2015-05-27,1140.588893848977
2015-05-28,1153.7209467734872
2015-05-29,1148.1331262744757
2015-06-01,1150.5358305089244
2015-06-02,1143.1867248779795
2015-06-03,1156.67539026118
2015-06-04,1152.9580434641355
2015-06-05,1166.469008891801
2015-06-08,1177.5404532794519
2015-06-09,1170.555014534846
2015-06-10,1179.034105862885
2015-06-11,1188.4406729381997
2015-06-12,1196.408356430119
2015-06-15,1198.1443975963448
2015-06-16,1190.0720555534156
2015-06-17,1182.1368350578193
2015-06-18,1184.4627240783616
2015-06-19,1188.1903114353784
2015-06-22,1193.6511366046145
2015-06-23,1193.232359323651
2015-06-24,1189.4794040136612
2015-06-25,1183.201650222495
2015-06-26,1174.5005855912034
2015-06-29,1186.967674847226
2015-06-30,1174.1366069051132
2015-07-01,1178.3440629973543
2015-07-02,1193.7786827927798
2015-07-03,1201.098517202317
2015-07-06,1225.6571557586378
2015-07-07,1219.2882641722672
2015-07-08,1204.384194702385
2015-07-09,1210.6405142702663
2015-07-10,1216.8316205583253
2015-07-13,1224.7856084489913
2015-07-14,1218.6733622947295
2015-07-15,1208.504803797669
2015-07-16,1203.6188937825898
2015-07-17,1200.2467097860533
2015-07-20,1186.6817904120287
2015-07-21,1185.6874665171022
2015-07-22,1199.0704932109193
2015-07-23,1198.923783922901
2015-07-24,1206.9777973086066
2015-07-27,1221.918122288906
2015-07-28,1211.3295444498513
2015-07-29,1206.6299702977199
2015-07-30,1212.7916813502347
2015-07-31,1213.5860162274603
2015-08-03,1245.7654910990402
2015-08-04,1243.0786301048472
2015-08-05,1262.0624501148347
2015-08-06,1255.142886322499
2015-08-07,1255.1835303184866
2015-08-10,1267.1291639633516
2015-08-11,1266.7178829674715
2015-08-12,1253.7645002113659
2015-08-13,1228.4694729962025
2015-08-14,1218.877833072307
2015-08-17,1183.557518071096
2015-08-18,1194.7719659319005
2015-08-19,1191.6429248827499
2015-08-20,1156.6646034545663
2015-08-21,1134.4963973412923
2015-08-24,1063.0701917527413
2015-08-25,1067.216735373677
2015-08-26,1123.1015498289842
2015-08-27,1145.4230540926737
2015-08-28,1183.633154908511
2015-08-31,1167.561098857424
2015-09-01,1165.1688992950742
2015-09-03,1143.2788700158753
2015-09-04,1148.3934908029357
2015-09-07,1143.6665772075332
2015-09-08,1164.8645771934289
2015-09-09,1184.9453463627572
2015-09-10,1177.6142052464504
