quarter,rebal_date,ticker,qmult,rating,liq_rank,score
2014-07-01,2014-08-05,VNH,1.0,3.0,1,1.9655172413793105
2014-07-01,2014-08-05,LAF,1.0,3.0,2,1.896843950905903
2014-07-01,2014-08-05,DCL,1.0,3.0,3,1.8135593220338984
2014-07-01,2014-08-05,HLD,1.0,2.0,4,1.8109292811221507
2014-07-01,2014-08-05,PGS,1.0,2.0,5,1.6759205143191116
2014-07-01,2014-08-05,CSM,1.0,2.0,6,1.6601402688486266
2014-07-01,2014-08-05,SRC,1.0,3.0,7,1.657510227936879
2014-07-01,2014-08-05,DPR,1.0,2.0,8,1.5876680303915838
2014-07-01,2014-08-05,C32,1.0,2.0,9,1.570134424313267
2014-07-01,2014-08-05,GSP,1.0,3.0,10,1.505260081823495
2014-07-01,2014-08-05,MBB,1.0,3.0,11,1.5037989479836353
2014-07-01,2014-08-05,LAS,1.0,2.0,12,1.4696084161309175
2014-07-01,2014-08-05,TRC,1.0,3.0,13,1.4491525423728815
2014-07-01,2014-08-05,PPC,1.0,3.0,14,1.4158386908240794
2014-07-01,2014-08-05,SVC,1.0,3.0,15,1.4044418468731736
2014-07-01,2014-08-05,BMC,1.0,1.0,16,1.363822326125073
2014-07-01,2014-08-05,KMR,1.0,3.0,17,1.3386908240794857
2014-07-01,2014-08-05,DQC,1.0,3.0,18,1.3337229690239627
2014-07-01,2014-08-05,AAA,1.0,3.0,19,1.2974868497954413
2014-07-01,2014-08-05,VIC,1.0,3.0,20,1.2305669199298657
2014-07-01,2014-08-05,SBA,1.0,3.0,21,1.196960841613092
2014-07-01,2014-08-05,PXS,1.0,3.0,22,1.1846873173582702
2014-07-01,2014-08-05,HDG,1.0,2.0,23,1.151373465809468
2014-07-01,2014-08-05,PGD,1.0,2.0,24,1.1487434248977206
2014-07-01,2014-08-05,DPM,1.0,2.0,25,1.140853302162478
2014-07-01,2014-08-05,TCM,1.0,3.0,26,1.1297486849795442
2014-07-01,2014-08-05,CMI,1.0,3.0,27,1.1101694915254239
2014-07-01,2014-08-05,PVS,1.0,1.0,28,1.1090005844535358
2014-07-01,2014-08-05,CNG,1.0,2.0,29,1.0943892460549387
2014-07-01,2014-08-05,MHC,1.0,3.0,30,1.0736411455289305
2014-10-01,2014-11-05,NDN,1.0,3.0,1,1.7380952380952381
2014-10-01,2014-11-05,DCL,1.0,3.0,2,1.7321428571428572
2014-10-01,2014-11-05,MBB,1.0,2.0,3,1.7273809523809525
2014-10-01,2014-11-05,DPR,1.0,2.0,4,1.7154761904761904
2014-10-01,2014-11-05,SRC,1.0,2.0,5,1.6833333333333333
2014-10-01,2014-11-05,TDC,1.0,2.0,6,1.663095238095238
2014-10-01,2014-11-05,PGS,1.0,2.0,7,1.5952380952380953
2014-10-01,2014-11-05,SD9,1.0,3.0,8,1.5916666666666668
2014-10-01,2014-11-05,DHC,1.0,3.0,9,1.5857142857142859
2014-10-01,2014-11-05,CSM,1.0,2.0,10,1.5761904761904764
2014-10-01,2014-11-05,HLD,1.0,2.0,11,1.5
2014-10-01,2014-11-05,CMI,1.0,3.0,12,1.457142857142857
2014-10-01,2014-11-05,KMR,1.0,3.0,13,1.430952380952381
2014-10-01,2014-11-05,SVC,1.0,3.0,14,1.3916666666666666
2014-10-01,2014-11-05,LAS,1.0,2.0,15,1.3833333333333333
2014-10-01,2014-11-05,SBA,1.0,3.0,16,1.355952380952381
2014-10-01,2014-11-05,LAF,1.0,3.0,17,1.3333333333333335
2014-10-01,2014-11-05,SJD,1.0,3.0,18,1.2952380952380953
2014-10-01,2014-11-05,VCS,1.0,3.0,19,1.263095238095238
2014-10-01,2014-11-05,MHC,1.0,3.0,20,1.2571428571428571
2014-10-01,2014-11-05,VKC,1.0,3.0,21,1.25
2014-10-01,2014-11-05,CNG,1.0,1.0,22,1.2261904761904763
2014-10-01,2014-11-05,PVB,1.0,3.0,23,1.1857142857142857
2014-10-01,2014-11-05,FMC,1.0,3.0,24,1.1821428571428572
2014-10-01,2014-11-05,VTO,1.0,3.0,25,1.1178571428571429
2014-10-01,2014-11-05,PGD,1.0,2.0,26,1.105952380952381
2014-10-01,2014-11-05,VSH,1.0,3.0,27,1.0738095238095238
2014-10-01,2014-11-05,DBC,1.0,3.0,28,1.019047619047619
2014-10-01,2014-11-05,PXS,1.0,3.0,29,1.0119047619047619
2014-10-01,2014-11-05,PVS,1.0,1.0,30,0.9797619047619048
2015-01-01,2015-02-05,MBB,1.0,2.0,1,1.8564263322884011
2015-01-01,2015-02-05,TDC,1.0,3.0,2,1.8037617554858933
2015-01-01,2015-02-05,PGS,1.0,2.0,3,1.7902821316614421
2015-01-01,2015-02-05,DQC,1.0,3.0,4,1.7319749216300941
2015-01-01,2015-02-05,CMI,1.0,3.0,5,1.6736677115987462
2015-01-01,2015-02-05,SHS,1.0,3.0,6,1.6532915360501568
2015-01-01,2015-02-05,VSC,1.0,2.0,7,1.6438871473354233
2015-01-01,2015-02-05,STB,1.0,3.0,8,1.615987460815047
2015-01-01,2015-02-05,CSM,1.0,2.0,9,1.5758620689655172
2015-01-01,2015-02-05,PVB,1.0,2.0,10,1.5338557993730406
2015-01-01,2015-02-05,DHC,1.0,3.0,11,1.4830721003134797
2015-01-01,2015-02-05,DCL,1.0,3.0,12,1.4827586206896552
2015-01-01,2015-02-05,LAS,1.0,2.0,13,1.4482758620689655
2015-01-01,2015-02-05,CNG,1.0,2.0,14,1.4294670846394983
2015-01-01,2015-02-05,PGD,1.0,2.0,15,1.2749216300940438
2015-01-01,2015-02-05,SRC,1.0,2.0,16,1.25423197492163
2015-01-01,2015-02-05,ITC,1.0,3.0,17,1.2454545454545456
2015-01-01,2015-02-05,BID,1.0,2.0,18,1.2413793103448276
2015-01-01,2015-02-05,PVS,1.0,2.0,19,1.2379310344827585
2015-01-01,2015-02-05,MCG,1.0,3.0,20,1.2272727272727273
2015-01-01,2015-02-05,VNE,1.0,3.0,21,1.2156739811912225
2015-01-01,2015-02-05,FMC,1.0,3.0,22,1.1692789968652038
2015-01-01,2015-02-05,VND,1.0,3.0,23,1.1686520376175549
2015-01-01,2015-02-05,HPG,1.0,2.0,24,1.1605015673981192
2015-01-01,2015-02-05,NT2,1.0,3.0,25,1.1573667711598747
2015-01-01,2015-02-05,CVT,1.0,3.0,26,1.1551724137931034
2015-01-01,2015-02-05,DBC,1.0,3.0,27,1.1489028213166144
2015-01-01,2015-02-05,MHC,1.0,3.0,28,1.1454545454545455
2015-01-01,2015-02-05,PET,1.0,2.0,29,1.132601880877743
2015-01-01,2015-02-05,SVC,1.0,3.0,30,1.1181818181818182
2015-04-01,2015-05-05,MBB,1.0,2.0,1,1.7907407407407407
2015-04-01,2015-05-05,PVB,1.0,2.0,2,1.7240740740740739
2015-04-01,2015-05-05,PGS,1.0,2.0,3,1.6870370370370371
2015-04-01,2015-05-05,TDC,1.0,3.0,4,1.662962962962963
2015-04-01,2015-05-05,DQC,1.0,3.0,5,1.6555555555555554
2015-04-01,2015-05-05,PVS,1.0,1.0,6,1.6444444444444444
