ticker,time,quarter,Release_Date,Debt_Eq_P0,IntCov_P0,EBITDA_P0,EBITM_P0,Revenue_P0,NP_P0,StDebt_P0,LtDebt_P0,Cash_P0,LtInvest_P0,BVPS,OShares
AAA,2010-07-15,2010Q1,2010-07-16,2.045581758803625,-1.0954259041535734,1.2175217024999998E10,0.0509261599989944,1.22307997211E11,1.1890107966E10,1.5019098106200003E11,1.2538873474E11,2.2041343583E10,0.0,20412.042791515152,6600000.0
AAA,2010-08-02,2010Q2,2010-08-02,0.6943259148886893,-1.4272252698663488,1.6156652542E10,0.0635945046620065,1.58883023419E11,1.7169559358E10,6.5193041444E10,1.1953973474E11,4.0864651488E10,0.0,26874.809051616165,9900000.0
AAA,2010-10-27,2010Q3,2010-10-27,0.6574822108709522,-9.461275238792489,,0.216013687334824,2.01591882748E11,4.189040299400001E10,1.00160808905E11,1.0365073474E11,5.983480955E10,0.0,31311.911212525258,9900000.0
AAA,2011-02-08,2010Q4,2011-02-08,0.7894561849164948,-2.8561800504004675,1.774989354E10,0.0851780276002422,2.00561048884E11,1.9918177716E10,1.46974824132E11,1.08151401407E11,2.0198710391E10,1.0610787183E10,32643.13625555556,9900000.0
AAA,2011-05-04,2011Q1,2011-05-04,0.9538795910405508,-1.7824186923566878,,0.0630042233917071,1.94872832232E11,1.6764629125000002E10,1.86136038354E11,1.0265273474E11,7.851110788000001E9,1.1054521263E10,30580.990949797982,9900000.0
AAA,2011-08-01,2011Q2,2011-08-01,1.4,2.8,1.1435951535E10,0.112,2.03847189806E11,9.132864137E9,2.56990324509E11,9.702685474E10,1.9514488129E10,7.7879572784E10,31465.621725252524,9900000.0
AAA,2011-11-01,2011Q3,2011-11-01,1.4,3.3,2.1204831738000004E10,0.144,2.23147266894E11,1.8820372745E10,2.52917925968E11,1.2712785474E11,4.273097754400001E10,7.330000000000002E10,33311.47709151515,9900000.0
AAA,2012-02-01,2011Q4,2012-02-01,1.3,3.6,2.3777489622000004E10,0.128,2.89397787725E11,2.0756830239000004E10,2.63748994814E11,1.2222885474E11,3.2921082097000004E10,7.910000000000002E10,35389.41903565657,9900000.0
AAA,2012-05-02,2012Q1,2012-05-02,1.2,3.0,2.0889509992E10,0.102,2.64816767562E11,1.5316719417000002E10,2.4894146102E11,1.0732985474E11,1.5684040462E10,7.910000000000002E10,37075.92101666667,9900000.0
AAA,2012-08-01,2012Q2,2012-08-01,1.0,2.4,1.5621886759999998E10,0.094,2.16970872766E11,1.0620020413E10,2.26010484619E11,7.833085474E10,2.4421087757E10,2.91E10,36915.64541373737,9900000.0
AAA,2012-11-01,2012Q3,2012-11-01,0.9,2.9,1.8531396219E10,0.077,2.45126917503E11,1.1148925911E10,1.98866740742E11,7.401E10,1.2946450723E10,2.96E10,38148.38551020202,9900000.0
AAA,2013-02-01,2012Q4,2013-02-01,0.7,5.1,2.8851066231E10,0.095,2.8655063984400006E11,1.8056112158E10,2.291711323470001E11,1.6611E10,1.0342104548E11,3.06E10,26189.730063484847,1.98E7
AAA,2013-05-02,2013Q1,2013-05-02,0.6222587853,-4.575622648423982,1.4213290369E11,0.0979704899279436,2.44127568184E11,1.7213203559E10,2.60875797874E11,1.2562E10,9.6503117149E10,3.06E10,27014.257124495,1.98E7
AAA,2013-08-01,2013Q2,2013-08-01,0.8237037583,-4.328308891439238,1.41952125819E11,0.0751917661976394,2.7650752018E11,1.3141742046E10,2.85441761848E11,4.721924E10,4.5884372462E10,6.394543708E10,26142.4119569697,1.98E7
AAA,2013-11-01,2013Q3,2013-11-01,0.7724154258,-4.345141203748336,1.43888235962E11,0.0599228439922321,3.09420233314E11,1.3189249293E10,1.96660739668E11,7.678688845E10,3.8081355707E10,3.63360664E10,26808.5356586364,1.98E7
AAA,2014-02-06,2013Q4,2014-02-06,1.1013985147,-5.543904620287735,1.36941183028E11,0.0477055264879538,3.28621274434E11,1.1391621343E10,3.34296710948E11,8.3082921652E10,1.30266723762E11,3.9255796179E10,27446.7929658586,1.98E7
AAA,2014-05-05,2014Q1,2014-05-05,0.8975385814,-5.87177777379059,1.32053678539E11,0.055046338934524,3.23341713842E11,1.4663044984E10,2.8917320232E11,9.0759085352E10,5.0406413396E10,4.0989575712E10,28187.3507933333,1.98E7
AAA,2014-08-01,2014Q2,2014-08-01,0.9355308182,-9.648495692742936,1.30498543642E11,0.0607387833386252,3.8412430987E11,1.5297841769E10,2.6910431374E11,1.04731010652E11,5.7789248387E10,3.7536174745E10,19780.8451635606,1.98E7
AAA,2014-11-03,2014Q3,2014-11-03,1.0176958217,-3.921086350819292,1.41114639839E11,0.054424293469547,4.09562169408E11,1.636133156E10,3.1829230463E11,1.31316054182E11,1.04024469754E11,3.9172771967E10,14185.0502650758,3.96E7
AAA,2015-02-02,2014Q4,2015-02-02,0.8177303087,-0.7339571615810646,1.38587586797E11,0.010010778989683,4.47735206783E11,6.41342778E8,3.29022191692E11,1.27650991402E11,3.66807716067E11,3.9205453451E10,19619.6205569444,3.96E7
AAA,2015-05-04,2015Q1,2015-05-04,0.8,0.8689092831389944,8.284609155999998E9,-0.0150980708929691,3.18452069305E11,-6.652369012E9,3.92790172173E11,1.03326415222E11,2.4688265799E11,4.1202585521E10,19489.7627536111,3.96E7
AAA,2015-08-03,2015Q2,2015-08-03,0.9473480471,-2.339942156182641,1.03366468594E11,0.034988426629381,3.69473524831E11,5.637025332E9,4.23558698483E11,1.69542123792E11,2.62136929527E11,3.8905726444E10,19682.381832601,3.96E7
AAA,2015-10-23,2015Q3,2015-10-23,0.9,-4.55081633350997,3.701923969000001E10,0.0636806173904047,4.68150054175E11,1.9854016189E10,4.14566095373E11,1.65508214279E11,2.37200512276E11,4.067983408E10,20139.6170489899,4.9499988E7
AAA,2016-02-01,2015Q4,2016-02-01,1.4,-5.421287063733842,4.2066212166E10,0.0763560506554942,4.59973169805E11,2.1177198476E10,4.38769898696E11,1.71262661266E11,4.7006171812E11,4.2587327201E10,16354.8216703608,4.9499988E7
AAA,2016-04-25,2016Q1,2016-04-25,1.2537889167,-5.451605667014523,1.97425963595E11,0.0810085806918242,4.24294778325E11,2.8358077594E10,4.20501508904E11,1.63620914212E11,2.52813635649E11,4.5011150808E10,16871.6501372283,5.1899988E7
AAA,2016-08-01,2016Q2,2016-08-01,1.4623799948,-5.59532518640897,2.25365107125E11,0.0766930832402524,5.17208434394E11,3.3658682426E10,5.34058945739E11,1.78828905358E11,2.42817838333E11,4.0715842055E10,16564.3522026826,5.1899988E7
AAA,2016-10-28,2016Q3,2016-10-28,1.7014497873,-6.765119607001185,2.43815794747E11,0.0838358586235726,5.36306787098E11,3.8673855843E10,6.10554606825E11,3.40420219844E11,2.15527556511E11,4.3010288529E10,17308.6912067109,5.1899988E7
AAA,2017-02-02,2016Q4,2017-02-02,2.2234712773,-9.449726825164992,2.80489270485E11,0.1028561941810965,6.6768674963E11,4.1294860102E10,8.00794847498E11,9.82579138038E11,4.06676809154E11,4.4338667E10,16569.6650169048,5.6964988E7
AAA,2017-05-03,2017Q1,2017-05-03,2.0388864886,-3.5868834104662977,3.22133834242E11,0.0828572493934642,7.33501156775E11,6.6894667573E10,8.99752598924E11,9.6863418572E11,4.8002932477E11,0.0,17323.7304540115,5.9249988E7
AAA,2017-08-01,2017Q2,2017-08-01,1.8753111119,-5.47583758122735,3.96412844595E11,0.1138280927786939,8.53825654192E11,3.9129314217E10,7.09887032138E11,1.122526031426E12,3.65304877872E11,0.0,17149.6685908021,5.9249988E7
AAA,2017-11-01,2017Q3,2017-11-01,2.0897542919,-5.658712821682098,4.66990358535E11,0.090960159553161,1.062929005862E12,5.2029043164E10,9.84503523001E11,1.072475064714E12,3.89827520161E11,0.0,17320.8671053064,5.9249988E7
AAA,2018-02-01,2017Q4,2018-02-01,1.8161481849,-3.841976545635498,5.33366719067E11,0.0780155245060324,1.426507835174E12,6.5289636792E10,1.417686392234E12,9.59926578352E11,5.59577636533E11,0.0,16469.537142613,8.3599988E7
AAA,2018-05-02,2018Q1,2018-05-02,2.1639090878,4.127005568500971,5.85616201981E11,0.0850041821,1.298291954567E12,4.9238222361E10,1.646054232499E12,1.138477401698E12,4.27747817583E11,0.0,9048.702266027838,1.67199976E8
AAA,2018-08-01,2018Q2,2018-08-01,1.246065696,2.303938418164325,6.16143324896E11,0.0661814983,2.321958210748E12,3.6613161825E10,2.184523275095E12,7.73364886697E11,6.10736511767E11,4.0E10,16877.123158405117,1.71199976E8
AAA,2018-10-29,2018Q3,2018-10-29,1.283971334,2.4443348718252533,6.2665674483E11,0.0547702475,2.18861458353E12,4.2906658795E10,2.379470258877E12,7.1158370891E11,6.55415995968E11,4.0E10,17097.63247585385,1.71199976E8
AAA,2019-01-30,2018Q4,2019-01-30,1.5263539457,4.727417462718526,6.37706331892E11,0.0490234527,2.20996239699E12,5.1502432019E10,2.492406692801E12,1.342803889822E12,6.45474843425E11,5.838E10,17408.005645345416,1.71199976E8
AAA,2019-05-02,2019Q1,2019-05-02,1.5548577292,6.937758997040944,8.26135249402E11,0.0620860117,2.61664319514E12,2.1403746844E11,2.62737527118E12,1.320454387728E12,4.82425462169E11,3.838E10,18249.26011174792,1.71199976E8
AAA,2019-08-01,2019Q2,2019-08-01,1.5917858375,3.043622812309302,9.23981485314E11,0.0715033272,2.438667426222E12,1.3169904339E11,2.629631283217E12,1.561978272487E12,2.71392032211E11,4.318E10,18821.38914712231,1.71199976E8
AAA,2019-10-28,2019Q3,2019-10-28,1.4725650746,2.57707891385377,9.41150320858E11,0.0715022986,2.367421386693E12,6.3700407693E10,2.334836538044E12,1.443516244552E12,2.32025439569E11,4.618E10,18752.670594299616,1.71199976E8
AAA,2020-01-30,2019Q4,2020-01-30,1.4537234096,2.519494200784343,9.37131510118E11,0.073287087,1.837237323176E12,5.8905123997E10,2.397086597833E12,1.374510124549E12,4.09365700985E11,1.23559449802E11,19076.704764099966,1.71199976E8
AAA,2020-05-04,2020Q1,2020-05-04,1.3969033827,2.428002652136956,7.46926059718E11,0.0589708583,1.573567523917E12,5.8484466803E10,2.422782999176E12,1.331854827553E12,2.88449896598E11,8.7418469641E10,15345.384660195226,2.11199976E8
AAA,2020-07-29,2020Q2,2020-07-29,1.4020819468,2.386794776437192,6.41571854688E11,0.0492603468,1.813708066994E12,6.7684300148E10,2.459494332797E12,1.225279196361E12,2.67894557509E11,1.8249670183E11,14617.598823798564,2.11199976E8
AAA,2020-10-30,2020Q3,2020-10-30,1.0687022269,2.988629072426381,6.59548055348E11,0.0533882448,1.929838085125E12,7.8565203153E10,2.170404392079E12,1.297214944627E12,2.38982685166E11,4.17733256928E11,17887.91445792648,2.21759974E8
AAA,2021-02-01,2020Q4,2021-02-01,1.1295960112,2.3992236086709307,6.41253883704E11,0.0476707398,2.121135981877E12,5.7706672925E10,2.943359269628E12,6.17146847843E11,9.64717122052E11,5.33377809163E11,18146.475682243723,2.21759974E8
AAA,2021-05-04,2021Q1,2021-05-04,1.2238738536834717,3.696585183078732,6.66442858496E11,0.0454611219465732,2.284373757361E12,7.5141819491E10,3.1415428778E12,8.23370791373E11,9.677693743E11,4.91199417821E11,13909.070471077071,2.96759974E8
AAA,2021-08-02,2021Q2,2021-08-02,0.8488060981,3.525460311156557,7.14092959035E11,0.0391808894415475,3.269796291844E12,8.632656308E10,2.790701013738E12,6.14304967906E11,2.214209755238E12,4.78552084639E11,14585.1813611543,2.96759974E8
AAA,2021-10-29,2021Q3,2021-10-29,0.879508836,3.6833659186514858,6.80285723454E11,0.0333283957,3.409264544303E12,6.2514754147E10,2.445966609318E12,7.66558966756E11,1.439605995924E12,4.87167006719E11,16229.0505989416,3.26434496E8
AAA,2022-01-27,2021Q4,2022-01-27,0.879508836,3.397343931308622,6.80285723454E11,0.0333283957,4.201845098822E12,6.0517570104E10,2.172872598928E12,1.175997845832E12,1.987170712682E12,5.69909270071E11,16721.217896361664,3.26434496E8
AAA,2022-04-26,2022Q1,2022-04-26,0.8351349645,3.972967301794255,6.84020714649E11,0.0280059838,4.027853795475E12,8.8086043638E10,2.408188617527E12,1.164711621851E12,1.549911273413E12,9.43436624332E11,16462.410335962166,3.26434496E8
AAA,2022-08-01,2022Q2,2022-08-01,0.9547278508,4.0484756552229015,6.86887597908E11,0.0229436183,4.578733575653E12,8.5425095236E10,2.390694768419E12,1.15964220737E12,1.020615568519E12,1.328019487262E12,14624.065636620446,3.82274496E8
AAA,2022-10-28,2022Q3,2022-10-28,0.7635524937,3.500819924081327,7.21645643183E11,0.0253921604,3.291406943915E12,7.9866172011E10,2.021311451391E12,1.38577314028E12,1.353251366894E12,1.399487037545E12,16728.931369188176,3.82274496E8
AAA,2023-01-30,2022Q4,2023-01-30,0.7493936661,-1.6171617601376025,4.83535643419E11,0.0112839582,3.415845425613E12,-9.7726483611E10,1.887821444978E12,1.242368724012E12,1.655456757815E12,1.494090455165E12,16133.965191389592,3.82274496E8
AAA,2023-04-27,2023Q1,2023-04-27,0.749597588,2.679490232437021,4.27606433421E11,0.007759154,3.617596915511E12,5.3895480338E10,2.166459218015E12,1.22896219345E12,1.827056484454E12,1.582738207943E12,16300.14760292039,3.82274496E8
AAA,2023-08-01,2023Q2,2023-08-01,0.770105311,2.3157158299953884,3.81443590873E11,0.0051046681,2.79225799009E12,4.2275112576E10,2.10398686752E12,1.143790699303E12,1.36749621537E12,1.306032417107E12,16596.124224583375,3.82274496E8
AAA,2023-10-30,2023Q3,2023-10-30,0.8006526423,3.609873461191949,3.79353225628E11,0.0044140887,3.531352090707E12,9.9049764272E10,2.055450182038E12,1.099098717329E12,1.689712971535E12,1.317954806265E12,16866.957372633617,3.82274496E8
AAA,2024-01-29,2023Q4,2024-01-29,0.942269647,2.7236663825819347,6.43326368221E11,0.0247478704,2.68715422491E12,9.3772934728E10,2.625493361173E12,3.58670895783E11,2.435058282465E12,1.328045371157E12,15487.002965484258,3.82274496E8
AAA,2024-04-26,2024Q1,2024-04-26,0.9273408861,5.488307196830405,7.19686619945E11,0.0314692966,2.964878299224E12,1.34706559842E11,2.382591097052E12,3.29579423872E11,2.017366509375E12,1.353097235679E12,15861.892052984356,3.82274496E8
AAA,2024-07-29,2024Q2,2024-07-29,0.9908038709,5.176695250354297,7.78707316856E11,0.0358790747,2.784044828229E12,1.35887872408E11,2.510129835339E12,5.47451539393E11,2.188093990715E12,1.343884550537E12,16119.993416542233,3.82274496E8
AAA,2024-10-29,2024Q3,2024-10-29,1.144684687,0.2326113858748633,6.46871298097E11,0.0256678068,3.194720984754E12,2.1799597923E10,2.801596271811E12,7.79984342981E11,1.94553201998E12,2.73912623253E11,15895.722973742408,3.82274496E8
AAA,2025-01-24,2024Q4,2025-01-24,1.2077631111,2.896896149573002,7.87385870513E11,0.0302719273,3.844069138022E12,7.6186464918E10,2.554855324899E12,1.339620732954E12,2.419517905105E12,2.54217998561E11,16313.601923367652,3.82274496E8
AAA,2025-04-29,2025Q1,2025-04-29,1.0182521315,2.694900301745074,8.76438014568E11,0.0318577455,3.857615161473E12,4.5239813399E10,2.043921126528E12,1.351917515112E12,2.106077190958E12,5.60680486783E11,15793.049596076116,3.82274496E8
AAA,2025-07-30,2025Q2,2025-07-30,1.0804341818,5.559050125550813,9.31990058633E11,0.0343472902,2.310908388011E12,1.31689030063E11,1.85711859779E12,1.049114542787E12,1.706426051965E12,4.71212967601E11,14843.974158362238,3.9374273E8
AAA,2025-10-29,2025Q3,2025-10-29,1.0342265424,7.022055011931918,1.142435055402E12,0.050267891,2.3717551719E12,1.17554438469E11,1.837584426517E12,1.030799788482E12,1.741373916584E12,4.90734695546E11,15283.795010356129,3.9374273E8
AAA,2026-01-29,2025Q4,2026-01-29,1.1205981631,3.67309902746824,1.076803126223E12,0.053328346,2.193500753373E12,7.8429315431E10,1.901174752227E12,1.129878560761E12,1.617746098453E12,4.95965434449E11,15439.600268335113,3.9374273E8
