horizon,signal,asof,P_regime_shift,P_max_last6,cusum_last_alarm,incumbent_label,ic_recent12,ic_full,n_gt_breaks
fwd_3m,pb_z,2026-06,0.109,0.109,2024-02,WEAK,-0.0216,-0.0069,1
fwd_3m,PB,2026-06,0.065,0.169,2024-02,WEAK,0.0385,-0.0203,0
fwd_3m,PE,2026-06,0.053,0.054,2025-08,STRENGTH,-0.075,-0.0533,0
fwd_3m,ROIC5Y,2026-06,0.058,0.222,2024-02,STRENGTH,0.0602,0.0307,0
fwd_3m,FSCORE,2026-06,0.065,0.098,2023-06,FADING,0.0158,0.0465,0
fwd_3m,ROE_Min5Y,2026-06,0.04,0.105,2021-01,STRENGTH,0.1455,0.0503,0
fwd_3m,mom_200,2026-06,0.292,0.292,2023-06,FLIPPED,-0.0205,0.061,0
fwd_3m,D_RSI,2026-06,0.091,0.174,2018-07,FLIPPED,-0.0395,0.0612,2
fwd_3m,D_CMF,2026-06,0.135,0.135,2023-05,WEAK,-0.0307,0.0199,0
fwd_3m,C_L1M,2026-06,0.07,0.071,2022-03,WEAK,-0.1104,0.0134,0
fwd_1m,pb_z,2026-06,0.05,0.065,,WEAK,-0.0257,-0.0074,0
fwd_1m,PB,2026-06,0.056,0.072,2022-02,WEAK,0.0009,-0.0113,0
fwd_1m,PE,2026-06,0.053,0.053,2018-01,STRENGTH,-0.0476,-0.0354,0
fwd_1m,ROIC5Y,2026-06,0.056,0.068,,WEAK,0.0334,0.0185,0
fwd_1m,FSCORE,2026-06,0.062,0.062,2023-07,DECAYED,0.0046,0.0408,0
fwd_1m,ROE_Min5Y,2026-06,0.056,0.062,,STRENGTH,0.0651,0.0341,0
fwd_1m,mom_200,2026-06,0.055,0.067,2018-09,FLIPPED,-0.0179,0.0363,0
fwd_1m,D_RSI,2026-06,0.066,0.081,2021-02,FLIPPED,-0.0313,0.0356,0
fwd_1m,D_CMF,2026-06,0.067,0.067,,WEAK,-0.0186,0.0055,0
fwd_1m,C_L1M,2026-06,0.062,0.065,,WEAK,-0.0924,0.0064,1
