feature,window,n,ic,t,p,p_BH
prox52,FULL,150,0.07209517980398672,3.7511850106160196,0.00017600076534285414,0.0029920130108285203
prox52,OOS,78,0.034691922545909595,1.2128621365654193,0.2251825340003477,0.6380171796676518
idiovol_ann,FULL,150,-0.05930464948038903,-3.233031881835925,0.0012248389248277203,0.006940753907357082
idiovol_ann,OOS,78,-0.05734708581018015,-2.026838036210621,0.0426789791504909,0.18138566138958634
ey,FULL,150,0.04127006280047968,3.5615679312349324,0.00036864669707670217,0.0031334969251519684
ey,OOS,78,0.0746664380409778,4.807777162463455,1.5261774584107712e-06,2.594501679298311e-05
mom12_1,FULL,150,0.02001094866979388,1.309554888240828,0.1903464579195131,0.2663867030276371
mom12_1,OOS,78,-0.01019075427107198,-0.5065779449161752,0.6124509865957091,0.8498466048387084
trend_atr,FULL,150,0.02466914883415603,1.7148487995909012,0.08637295185786642,0.1663492346095906
trend_atr,OOS,78,-0.0023741290535726858,-0.13261822160815132,0.8944953209538247,0.8944953209538247
eff_ratio60,FULL,150,0.018613491695802474,1.9160080795201924,0.05536406728875276,0.134455591986971
eff_ratio60,OOS,78,0.01179863626424564,1.0002855718307078,0.3171723275503766,0.6739911960445503
bb_pctb_centered,FULL,150,0.03017802652231189,2.4395497423058363,0.014705577966670491,0.06249870635834959
bb_pctb_centered,OOS,78,0.004199535867810948,0.23754936954739608,0.8122306236613757,0.8629950376402117
rsi,FULL,150,0.030615711497544485,2.298539710418149,0.021531090459244284,0.07152517233693667
rsi,OOS,78,0.005581961664440969,0.31403498801834506,0.7534944653624511,0.8539603940774446
fip,FULL,150,0.004102181708822016,0.4627895784828755,0.6435152019637795,0.6435152019637795
fip,OOS,78,-0.0048976453927563205,-0.4390972843593195,0.6605910467392588,0.8498466048387084
cmf,FULL,150,-0.011418205820549822,-1.0254972386515708,0.3051286276759406,0.34581244469939937
cmf,OOS,78,-0.03573032722932046,-2.1342286712411114,0.032824066816637076,0.18138566138958634
volratio,FULL,150,-0.011175006408344408,-1.2281856485962899,0.21937728484628938,0.2663867030276371
volratio,OOS,78,-0.021833415494593198,-1.7043868669485362,0.0883088358291646,0.30025004181915965
residmom_scaled,FULL,150,0.014620162621241025,0.9643457975758649,0.3348725871657945,0.3558021238636566
residmom_scaled,OOS,78,-0.020125221116175415,-1.0441319119184687,0.29642436325355925,0.6739911960445503
mom3m,FULL,150,0.034564057479439726,2.2376455527783956,0.02524417847186,0.07152517233693667
mom3m,OOS,78,-0.007080615093990557,-0.385490998153719,0.699873674573054,0.8498466048387084
macddiff,FULL,150,0.013274031446825844,1.2441523934255685,0.2134434811278454,0.2663867030276371
macddiff,OOS,78,0.007285496816178414,0.4683857640958924,0.6395087465623117,0.8498466048387084
px_ma50,FULL,150,0.025215857868428473,1.7056823271048083,0.08806724185213621,0.1663492346095906
px_ma50,OOS,78,-0.008057360131640027,-0.4050795562983542,0.6854190332758936,0.8498466048387084
pe_z,FULL,150,-0.013311537364777793,-1.353514001242765,0.17589148014268785,0.2663867030276371
pe_z,OOS,78,-0.031398647911616104,-3.474862820673718,0.0005111146535734523,0.004344474555374345
relmom12_1,FULL,150,0.02001094866979388,1.309554888240828,0.1903464579195131,0.2663867030276371
relmom12_1,OOS,78,-0.01019075427107198,-0.5065779449161752,0.6124509865957091,0.8498466048387084
