feature,regime,n_months,ic,t,hit
prox52,BULL/EXBULL (state 4-5),24,0.08529669560632007,2.575864216990242,0.6666666666666666
idiovol_ann,BULL/EXBULL (state 4-5),24,-0.06772950470432583,-1.8320380013373045,0.4166666666666667
ey,BULL/EXBULL (state 4-5),24,0.07386294590295624,2.3087192642430616,0.7916666666666666
pe_z,BULL/EXBULL (state 4-5),24,-0.040603112235313835,-2.24384261879963,0.3333333333333333
mom12_1,BULL/EXBULL (state 4-5),24,0.017143750871492263,0.6226182697292164,0.5
trend_atr,BULL/EXBULL (state 4-5),24,0.04068336275800394,1.3687892160323187,0.6666666666666666
eff_ratio60,BULL/EXBULL (state 4-5),24,0.0369873476573504,2.5214897001142527,0.625
bb_pctb_centered,BULL/EXBULL (state 4-5),24,0.046555906628368365,1.6022959689451182,0.5833333333333334
rsi,BULL/EXBULL (state 4-5),24,0.046652337897294664,1.5123877897598024,0.625
fip,BULL/EXBULL (state 4-5),24,-0.017452275777483945,-1.1538369497051066,0.5416666666666666
cmf,BULL/EXBULL (state 4-5),24,-0.0060221455636993255,-0.29961505932525684,0.375
volratio,BULL/EXBULL (state 4-5),24,-0.02955713978293792,-1.6694480827485356,0.4583333333333333
residmom_scaled,BULL/EXBULL (state 4-5),24,0.005115563747797013,0.16911538846070923,0.4583333333333333
mom3m,BULL/EXBULL (state 4-5),24,0.048409202974856236,1.7288038003619979,0.6666666666666666
macddiff,BULL/EXBULL (state 4-5),24,0.008457328228507135,0.29795526232093955,0.5
px_ma50,BULL/EXBULL (state 4-5),24,0.04041450060100529,1.3612609193269585,0.625
prox52,NEUTRAL (state 3),89,0.07869425568759356,3.9908104086528278,0.7191011235955056
idiovol_ann,NEUTRAL (state 3),89,-0.048824016276203454,-2.1958980761264213,0.38202247191011235
ey,NEUTRAL (state 3),89,0.03187052329412344,2.2017113877294405,0.6292134831460674
pe_z,NEUTRAL (state 3),89,-0.0072411820049699096,-0.5981498014554957,0.4606741573033708
mom12_1,NEUTRAL (state 3),89,0.030485712638241038,1.7691887834436575,0.6067415730337079
trend_atr,NEUTRAL (state 3),89,0.040929460852841965,2.7426456407360282,0.6404494382022472
eff_ratio60,NEUTRAL (state 3),89,0.017293133136120558,1.3438565536211515,0.6292134831460674
bb_pctb_centered,NEUTRAL (state 3),89,0.04055099756037932,3.27509490247825,0.5842696629213483
rsi,NEUTRAL (state 3),89,0.04327457366122777,3.288745269736382,0.6404494382022472
fip,NEUTRAL (state 3),89,0.01139452466350643,0.9798116499636041,0.5617977528089888
cmf,NEUTRAL (state 3),89,0.0010831148585737367,0.091774686015895,0.48314606741573035
volratio,NEUTRAL (state 3),89,-0.007978725959495806,-0.6388056786341555,0.48314606741573035
residmom_scaled,NEUTRAL (state 3),89,0.024315859599875013,1.4043501886163785,0.5730337078651685
mom3m,NEUTRAL (state 3),89,0.05189574210406937,3.1886396772847245,0.6629213483146067
macddiff,NEUTRAL (state 3),89,0.020832030375241083,1.4997171266737932,0.5842696629213483
px_ma50,NEUTRAL (state 3),89,0.04381930075127554,3.0819781556302313,0.651685393258427
