feature,new,window,fwd,n_months,ic_mean,ic_med,ic_std,t_nw,hit
prox52,True,FULL 2014-2026,profit_1M,150,0.07209517980398672,0.09773649358363926,0.22495911862149862,3.7511850106160196,0.68
mom12_1,True,FULL 2014-2026,profit_1M,150,0.02001094866979388,0.012646381812793376,0.17907244307445647,1.309554888240828,0.5733333333333334
mom3m,True,FULL 2014-2026,profit_1M,150,0.034564057479439726,0.0446523683688277,0.1784614041575016,2.2376455527783956,0.64
relmom12_1,True,FULL 2014-2026,profit_1M,150,0.02001094866979388,0.012646381812793376,0.17907244307445647,1.309554888240828,0.5733333333333334
residmom_scaled,True,FULL 2014-2026,profit_1M,150,0.014620162621241025,0.013841935449365916,0.1734188636615411,0.9643457975758649,0.54
trend_atr,True,FULL 2014-2026,profit_1M,150,0.02466914883415603,0.047791050611339314,0.1635563813007112,1.7148487995909012,0.62
bb_pctb_centered,True,FULL 2014-2026,profit_1M,150,0.03017802652231189,0.026851816170328707,0.14366268657848763,2.4395497423058363,0.5733333333333334
eff_ratio60,True,FULL 2014-2026,profit_1M,150,0.018613491695802474,0.02780450414810967,0.11719042078416732,1.9160080795201924,0.6
fip,True,FULL 2014-2026,profit_1M,150,0.004102181708822016,0.012100964584053218,0.10240238946158352,0.4627895784828755,0.5533333333333333
idiovol_ann,True,FULL 2014-2026,profit_1M,150,-0.05930464948038903,-0.07250250072458678,0.23337377186029895,-3.233031881835925,0.38666666666666666
volratio,True,FULL 2014-2026,profit_1M,150,-0.011175006408344408,-0.0009143668530786611,0.11889654291834789,-1.2281856485962899,0.5
cmf,True,FULL 2014-2026,profit_1M,150,-0.011418205820549822,-0.007384923062904013,0.13995881068923505,-1.0254972386515708,0.46
rsi,False,FULL 2014-2026,profit_1M,150,0.030615711497544485,0.04686771418576827,0.15479649207995427,2.298539710418149,0.6133333333333333
macddiff,False,FULL 2014-2026,profit_1M,150,0.013274031446825844,0.017977549078933116,0.13396818920475007,1.2441523934255685,0.5533333333333333
px_ma50,False,FULL 2014-2026,profit_1M,150,0.025215857868428473,0.05154352914709236,0.17613891996669256,1.7056823271048083,0.6133333333333333
pe_z,False,FULL 2014-2026,profit_1M,150,-0.013311537364777793,-0.015618819792454513,0.11116505284230274,-1.353514001242765,0.4533333333333333
ey,False,FULL 2014-2026,profit_1M,150,0.04127006280047968,0.04011579930671956,0.13529698235087861,3.5615679312349324,0.6533333333333333
prox52,True,IS 2014-2019,profit_1M,72,0.11261537516690362,0.1255900213469397,0.18241453592545684,4.774990839684846,0.7361111111111112
mom12_1,True,IS 2014-2019,profit_1M,72,0.052729460189065235,0.054620064502220365,0.18582947552236576,2.4060879171138314,0.6527777777777778
mom3m,True,IS 2014-2019,profit_1M,72,0.0796791194339892,0.08978527120196794,0.1795844175285741,3.4562827983653945,0.7361111111111112
relmom12_1,True,IS 2014-2019,profit_1M,72,0.052729460189065235,0.054620064502220365,0.18582947552236576,2.4060879171138314,0.6527777777777778
residmom_scaled,True,IS 2014-2019,profit_1M,72,0.05226099500344217,0.04905807963379871,0.18243629789031854,2.373326814765374,0.625
trend_atr,True,IS 2014-2019,profit_1M,72,0.053966033212528804,0.06943765185618977,0.16244408741290664,2.488112255520403,0.7083333333333334
bb_pctb_centered,True,IS 2014-2019,profit_1M,72,0.05832139139802125,0.05331706192209619,0.1323863155351989,3.683318781824581,0.625
eff_ratio60,True,IS 2014-2019,profit_1M,72,0.025996251746655707,0.03524462618432543,0.1257793944986824,1.6742636949542467,0.6388888888888888
fip,True,IS 2014-2019,profit_1M,72,0.013851994402198546,0.030554976276038006,0.1153623654485243,0.9991864115654686,0.5555555555555556
idiovol_ann,True,IS 2014-2019,profit_1M,72,-0.06142534345644864,-0.06163863819964317,0.19414917605065424,-2.6822071514338237,0.3333333333333333
volratio,True,IS 2014-2019,profit_1M,72,0.0003716034350917817,0.008828241393705423,0.11642925449110805,0.029474769759247333,0.5416666666666666
cmf,True,IS 2014-2019,profit_1M,72,0.014919925705618363,0.007881407253124442,0.1107457969740458,1.1471397746726697,0.5138888888888888
rsi,False,IS 2014-2019,profit_1M,72,0.05773560715007328,0.06888528721832525,0.1491723652870056,3.0688299292617907,0.6805555555555556
macddiff,False,IS 2014-2019,profit_1M,72,0.019761610630027224,0.02312052708161172,0.13645870839121738,1.376799569392971,0.5694444444444444
px_ma50,False,IS 2014-2019,profit_1M,72,0.06126184403516935,0.07541610515531418,0.1612937824867993,3.026134139410731,0.7083333333333334
pe_z,False,IS 2014-2019,profit_1M,72,0.006282832394297046,0.0253432868565861,0.13481643150980122,0.3611564404440272,0.5833333333333334
ey,False,IS 2014-2019,profit_1M,72,0.005090656289940037,0.02074791579885604,0.12422552376853865,0.3325868862821623,0.5555555555555556
prox52,True,OOS 2020-2026,profit_1M,78,0.034691922545909595,0.06456790403178983,0.25355950636900937,1.2128621365654193,0.6282051282051282
mom12_1,True,OOS 2020-2026,profit_1M,78,-0.01019075427107198,-0.0030987217607032413,0.16818112737198143,-0.5065779449161752,0.5
mom3m,True,OOS 2020-2026,profit_1M,78,-0.007080615093990557,0.015176791509289633,0.16802180484144633,-0.385490998153719,0.5512820512820513
relmom12_1,True,OOS 2020-2026,profit_1M,78,-0.01019075427107198,-0.0030987217607032413,0.16818112737198143,-0.5065779449161752,0.5
residmom_scaled,True,OOS 2020-2026,profit_1M,78,-0.020125221116175415,-0.026191687056374903,0.15798122796734407,-1.0441319119184687,0.46153846153846156
trend_atr,True,OOS 2020-2026,profit_1M,78,-0.0023741290535726858,0.025441181904808853,0.1609007289711622,-0.13261822160815132,0.5384615384615384
bb_pctb_centered,True,OOS 2020-2026,profit_1M,78,0.004199535867810948,0.003912778925448132,0.1495092467324972,0.23754936954739608,0.5256410256410257
eff_ratio60,True,OOS 2020-2026,profit_1M,78,0.01179863626424564,0.02030515502770968,0.10903986913735086,1.0002855718307078,0.5641025641025641
fip,True,OOS 2020-2026,profit_1M,78,-0.0048976453927563205,0.006666007530541125,0.08859563845340804,-0.4390972843593195,0.5512820512820513
idiovol_ann,True,OOS 2020-2026,profit_1M,78,-0.05734708581018015,-0.1019927003145073,0.2657541218013458,-2.026838036210621,0.4358974358974359
volratio,True,OOS 2020-2026,profit_1M,78,-0.021833415494593198,-0.01068806800434664,0.12089502603742634,-1.7043868669485362,0.46153846153846156
cmf,True,OOS 2020-2026,profit_1M,78,-0.03573032722932046,-0.02499792177967508,0.1592124537146641,-2.1342286712411114,0.41025641025641024
rsi,False,OOS 2020-2026,profit_1M,78,0.005581961664440969,0.020973822270983135,0.15661078496354572,0.31403498801834506,0.5512820512820513
macddiff,False,OOS 2020-2026,profit_1M,78,0.007285496816178414,0.009271592702490613,0.13222652259675177,0.4683857640958924,0.5384615384615384
px_ma50,False,OOS 2020-2026,profit_1M,78,-0.008057360131640027,0.015355094780305275,0.18360369777679475,-0.4050795562983542,0.5256410256410257
pe_z,False,OOS 2020-2026,profit_1M,78,-0.031398647911616104,-0.03439892661367341,0.08039460008797669,-3.474862820673718,0.3333333333333333
ey,False,OOS 2020-2026,profit_1M,78,0.0746664380409778,0.05607703893761745,0.13725395708055493,4.807777162463455,0.7435897435897436
prox52,True,2025,profit_1M,12,0.04425917826996664,0.07663205035389103,0.17832613390632368,1.0176004746773064,0.6666666666666666
mom12_1,True,2025,profit_1M,12,-0.050167156275737555,-0.08456622952519352,0.13517750394894373,-1.3166571666409603,0.4166666666666667
mom3m,True,2025,profit_1M,12,-0.04975348076098094,-0.06540352201213954,0.1260040531872059,-1.5213634572661923,0.4166666666666667
relmom12_1,True,2025,profit_1M,12,-0.050167156275737555,-0.08456622952519352,0.13517750394894373,-1.3166571666409603,0.4166666666666667
residmom_scaled,True,2025,profit_1M,12,-0.06069272845250099,-0.09439582807387965,0.12099532880053493,-1.8890375793772096,0.3333333333333333
trend_atr,True,2025,profit_1M,12,-0.03289138711825418,-0.034523418857231,0.13385224488658165,-0.9323490646435721,0.4166666666666667
