feature,window,Q1,Q2,Q3,Q4,Q5,spread,t_spread,n_m,monotonic
prox52,FULL,0.4295025404674084,0.6997580051035103,1.0400131600962683,1.471375178756502,2.059362098153802,1.6298595576863932,2.4913733164784926,151,True
prox52,IS,-0.8918860774880363,0.1818562570976182,0.6494811542833714,1.5609076613327828,2.175324458505988,3.067210535994024,4.167672413902487,72,True
prox52,OOS,1.6338060910090795,1.1717697248050827,1.3959410641282757,1.3897759541300183,1.953674883655607,0.31986879264652707,0.31549821772935593,79,False
prox52,2026H1,-3.946558804864462,-3.9142640230644727,-2.521076632023006,-2.575046999473025,-1.1879039408151888,2.758654864049273,1.4260354717530108,6,False
idiovol_ann,FULL,1.0850485484590318,1.5072185116137495,1.3184335877399591,1.4166602617776658,0.5474413455482753,-0.5376072029107561,-0.9160487096562973,151,False
idiovol_ann,IS,1.0059944597977264,0.8028244771236603,0.978658337899956,0.8993447750199982,-0.022210042978056756,-1.0282045027757833,-1.1927660699729532,72,False
idiovol_ann,OOS,1.157097844454145,2.1491978848199067,1.6281021698726204,1.8881376674302233,1.0666172945849322,-0.0904805498692124,-0.11316082775268901,79,False
idiovol_ann,2026H1,-1.3438738158323906,-2.8398649951084356,-2.852905146608771,-3.502738048981776,-3.622479960583867,-2.278606144751476,-4.892544986567132,6,True
ey,FULL,0.7418460559501658,1.0437382914927755,1.0370548660297974,1.440541543633106,1.4610509378663583,0.7192048819161925,1.4525045968926849,151,False
ey,IS,0.34535330782536416,1.1508211315204573,0.556996307217415,0.9302274185969353,0.6632767571963729,0.3179234493710089,0.4511118009767406,72,False
ey,OOS,1.1032065352537825,0.946143804378939,1.474576590517032,1.9056379613875905,2.188136267084573,1.0849297318307902,1.5706045845400014,79,False
ey,2026H1,-3.359803316659528,-4.174984052439191,-2.993869879300705,-1.9790995219054697,-1.5210002309974808,1.8388030856620468,2.2574582260091245,6,False
mom12_1,FULL,0.9468206713175581,1.2053108525812515,1.2156598715421223,1.0411659201765058,1.288017537494948,0.34119686617738976,0.5801793274677614,151,False
mom12_1,IS,0.06381718699166594,0.4731560822165039,1.0107795498339935,0.704758551886151,1.4312714678813256,1.3674542808896595,1.5026793091580746,72,False
mom12_1,OOS,1.751583340576599,1.8725911496225405,1.4023862406938346,1.3477650406436648,1.157456993345338,-0.5941263472312612,-0.8172885933352597,79,False
mom12_1,2026H1,-3.556386478640601,-2.8953865069018323,-1.7179397687391098,-3.1487305831206687,-2.8297128279171777,0.7266736507234236,1.0698950400088927,6,False
