signal,scope,alarm_3m,alarm_1m,lead_months
mom_200,ALL,2020-08,2020-07,1.0
mom_200,ALL,2022-04,2020-07,21.0
mom_200,ALL,2023-07,2022-08,11.0
mom_200,ALL,2026-01,2025-12,1.0
mom_200,CYCLICAL,2018-10,2018-07,3.0
mom_200,CYCLICAL,2020-07,2020-07,0.0
mom_200,CYCLICAL,2022-05,2022-03,2.0
mom_200,CYCLICAL,2023-07,2022-08,11.0
mom_200,CYCLICAL,2025-12,2025-11,1.0
D_RSI,ALL,2019-05,2019-04,1.0
D_RSI,ALL,2020-08,2020-09,-1.0
D_RSI,ALL,2021-02,2020-09,5.0
D_RSI,ALL,2023-08,2023-07,1.0
D_RSI,ALL,2025-12,,
D_RSI,ALL,2026-06,2026-02,4.0
D_RSI,CYCLICAL,2020-07,,
D_RSI,CYCLICAL,2020-11,,
D_RSI,CYCLICAL,2021-02,2021-03,-1.0
D_RSI,CYCLICAL,2023-08,2023-07,1.0
D_RSI,CYCLICAL,2025-12,2025-12,0.0
D_RSI,CYCLICAL,2026-03,2025-12,3.0
D_RSI,CYCLICAL,2026-05,2025-12,5.0
