E,ngay,size,n,deployed_actual_bn,tgt_bn,cap_tot_bn,util,n_binding,binding,k_feasible,missing,names
0,2014-05-08,1.0,3,12.32564054529777,12.5,24.4355994,0.5115487365536039,0,,0.488711988,,"HPG,PVD,PVS"
2,2015-08-24,0.375,3,2.944505674744179,4.6875,22.94627364,0.20428153492551132,0,,1.2238012608,,"DPM,HPG,PVS"
3,2016-01-18,0.75,5,8.935054476521074,9.375,13.9589033,0.6716143667246409,3,"DRC,LIX,NNC",0.3722374213333333,,"DPM,DRC,LIX,NNC,VNM"
4,2018-05-28,1.0,3,14.985139082822887,12.5,2.155617,5.798803776366581,3,"FMC,TCM,VSC",0.04311234,,"FMC,TCM,VSC"
5,2018-07-05,0.375,1,3.70147099982252,4.6875,11.0448806,0.42440476902937274,0,,0.5890602986666666,,GAS
6,2020-02-03,0.75,5,16.278071064695958,9.375,3.0077988,3.116897313743193,5,"BMP,CVT,NT2,SAB,VSC",0.080207968,,"BMP,CVT,NT2,SAB,VSC"
7,2020-03-11,0.25,4,4.208358214797958,3.125,2.97928045,1.0489109878863536,2,"SCS,VSC",0.238342436,,"BMP,CVT,SCS,VSC"
8,2020-07-27,0.375,8,13.435521859713973,4.6875,16.4968969,0.28414434717113374,2,"GIL,SCS",0.8798345013333333,,"BMP,DPG,GIL,KSB,MWG,NT2,SCS,VSC"
10,2022-06-15,0.25,4,70.45461469757097,3.125,134.1012874,0.023303281128679156,1,NHH,10.728102992,,"HPG,NHH,SAB,VCS"
12,2023-10-30,1.0,4,41.441148084112676,12.5,8.75723839,1.4273906274235844,3,"MCH,SLS,VCS",0.1751447678,,"MCH,QNS,SLS,VCS"
13,2024-04-17,0.5,6,31.159034487247535,6.25,81.00224636,0.07715835400691226,2,"MSH,TLG",3.2400898544,,"HDG,MSH,QNS,TLG,VCS,VNM"
14,2024-08-05,0.5,5,83.84014909646278,6.25,61.70676544,0.10128549042287964,2,"RAL,TLG",2.4682706176,,"RAL,SAB,TLG,VCS,VNM"
15,2025-04-03,0.5,5,37.04689669342654,6.25,28.66183085,0.21806004064112325,1,FMC,1.146473234,,"CTR,DGW,FMC,SCS,TNG"
16,2025-10-20,0.75,3,145.8336063549387,9.375,18.3192284,0.5117573620076706,1,DHC,0.4885127573333333,,"DGW,DHC,GAS"
17,2026-03-09,0.75,6,106.34807167770283,9.375,135.75868492,0.06905635544071828,3,"NCT,NTC,VCS",3.620231597866667,,"CTR,NCT,NTC,VCS,VGC,VNM"
