ticker,ex_date,div_vnd,grp,t28,c28,v28,t15,c15,v15,t14,c14,v14,t1,c1,v1,pre_ex_ret,baseline_ret,vnindex_pre_ex_ret,abnormal_return,prior_3y,time_x,deposit_rate_pit,raw_yield,excess,time_y,state,regime
PAN,2014-01-22,1000.0,CASH,2013-12-25,10910.0,504.42,2014-01-07,10860.0,510.12,2014-01-08,10710.0,513.9,2014-01-21,10830.0,559.91,0.011204481792717047,-0.004582951420714965,0.08953103716676392,-0.0737436039533319,3,2014-01-01,7.0,0.09337068160597572,2.337068160597573,2014-01-08,3.0,NEUTRAL
MAS,2014-01-22,2500.0,CASH,2013-12-25,14810.0,504.42,2014-01-07,13020.0,510.12,2014-01-08,13020.0,513.9,2014-01-21,17050.0,559.91,0.30952380952380953,-0.12086428089128964,0.08953103716676392,0.34085705324833526,5,2014-01-01,7.0,0.19201228878648233,12.201228878648234,2014-01-08,3.0,NEUTRAL
ABT,2014-01-23,1500.0,CASH,2013-12-26,15580.0,506.55,2014-01-08,15770.0,513.9,2014-01-09,15770.0,516.98,2014-01-22,16550.0,551.92,0.04946100190234626,0.012195121951219523,0.0675848195288018,-0.030318939577675064,10,2014-01-01,7.0,0.09511731135066583,2.511731135066583,2014-01-09,3.0,NEUTRAL
DSN,2014-02-26,2400.0,CASH,2014-01-27,16460.0,556.52,2014-02-11,16590.0,553.9,2014-02-12,17380.0,564.25,2014-02-25,17640.0,586.2,0.014959723820483273,0.007897934386391192,0.03890119627824551,-0.03183940684415343,7,2014-01-01,7.0,0.1380897583429229,6.808975834292289,2014-02-12,3.0,NEUTRAL
SGC,2014-03-11,1500.0,CASH,2014-02-11,16000.0,553.9,2014-02-24,16180.0,576.58,2014-02-25,16540.0,586.2,2014-03-10,15090.0,583.69,-0.0876662636033857,0.011249999999999982,-0.004281815080177442,-0.09463444852320824,7,2014-01-01,7.0,0.09068923821039904,2.0689238210399044,2014-02-25,3.0,NEUTRAL
RCL,2014-03-19,800.0,CASH,2014-02-19,9220.0,578.12,2014-03-04,9510.0,569.97,2014-03-05,10120.0,574.94,2014-03-18,10160.0,599.85,0.0039525691699604515,0.0314533622559654,0.04332626013149188,-0.07082705321749683,4,2014-01-01,7.0,0.07905138339920949,0.9051383399209492,2014-03-05,3.0,NEUTRAL
BTG,2014-03-28,2500.0,CASH,2014-02-28,11100.0,586.48,2014-03-13,11100.0,595.22,2014-03-14,11100.0,596.83,2014-03-27,15490.0,590.14,0.39549549549549545,0.0,-0.011209222056532075,0.40670471755202753,4,2014-01-01,7.0,0.22522522522522523,15.522522522522522,2014-03-14,3.0,NEUTRAL
FDC,2014-03-31,2100.0,CASH,2014-03-03,19810.0,573.38,2014-03-14,19810.0,596.83,2014-03-17,20140.0,600.36,2014-03-28,19210.0,594.29,-0.046176762661370385,0.0,-0.010110600306482809,-0.036066162354887576,3,2014-01-01,7.0,0.10427010923535253,3.427010923535253,2014-03-17,3.0,NEUTRAL
DNM,2014-04-03,1500.0,CASH,2014-03-06,18560.0,578.56,2014-03-19,18800.0,605.59,2014-03-20,18800.0,600.26,2014-04-02,18660.0,581.67,-0.007446808510638281,0.012931034482758674,-0.030969913037683705,0.01059207004428675,5,2014-01-01,7.0,0.0797872340425532,0.9787234042553195,2014-03-20,3.0,NEUTRAL
ABT,2014-04-18,1500.0,CASH,2014-03-21,19540.0,601.75,2014-04-03,20060.0,589.44,2014-04-04,19980.0,593.04,2014-04-17,21190.0,580.31,0.06056056056056058,0.026612077789150534,-0.0214656684203427,0.05541415119175275,10,2014-01-01,7.0,0.07507507507507508,0.5075075075075075,2014-04-04,1.0,CRISIS
DRL,2014-05-14,1500.0,CASH,2014-04-16,9910.0,574.29,2014-04-29,10290.0,578.0,2014-04-29,10290.0,578.0,2014-05-13,9790.0,513.91,-0.048590864917395504,0.038345105953582204,-0.11088235294117654,0.023946382070198835,4,2014-01-01,7.0,0.1457725947521866,7.577259475218659,2014-04-29,1.0,CRISIS
SGC,2014-05-15,1400.0,CASH,2014-04-17,18180.0,580.31,2014-04-29,17340.0,578.0,2014-04-29,17340.0,578.0,2014-05-14,17340.0,529.53,0.0,-0.04620462046204621,-0.08385813148788934,0.13006275194993555,8,2014-01-01,7.0,0.08073817762399077,1.0738177623990772,2014-04-29,1.0,CRISIS
BMP,2014-05-15,2000.0,CASH,2014-04-17,17350.0,580.31,2014-04-29,16270.0,578.0,2014-04-29,16270.0,578.0,2014-05-14,14530.0,529.53,-0.1069452980946527,-0.06224783861671468,-0.08385813148788934,0.039160672009951325,4,2014-01-01,7.0,0.12292562999385372,5.292562999385371,2014-04-29,1.0,CRISIS
WSB,2014-05-21,1300.0,CASH,2014-04-23,9600.0,569.36,2014-05-06,10800.0,555.11,2014-05-07,11440.0,559.97,2014-05-20,10400.0,537.52,-0.09090909090909094,0.125,-0.04009143346965027,-0.17581765743944067,6,2014-01-01,7.0,0.11363636363636363,4.363636363636363,2014-05-07,1.0,CRISIS
DBM,2014-05-22,2500.0,CASH,2014-04-24,25960.0,570.46,2014-05-07,25960.0,559.97,2014-05-08,25960.0,527.09,2014-05-21,25960.0,543.88,0.0,0.0,0.0318541425562997,-0.0318541425562997,3,2014-01-01,7.0,0.0963020030816641,2.63020030816641,2014-05-08,1.0,CRISIS
HAD,2014-05-22,1500.0,CASH,2014-04-24,13940.0,570.46,2014-05-07,11570.0,559.97,2014-05-08,10790.0,527.09,2014-05-21,10120.0,543.88,-0.062094531974050016,-0.17001434720229558,0.0318541425562997,0.07606567267194586,5,2014-01-01,7.0,0.13901760889712697,6.901760889712698,2014-05-08,1.0,CRISIS
DVP,2014-05-27,2000.0,CASH,2014-04-29,14750.0,578.0,2014-05-12,14180.0,517.05,2014-05-13,13200.0,513.91,2014-05-26,14610.0,544.06,0.10681818181818192,-0.038644067796610115,0.05866786013115144,0.0867943894836406,3,2014-01-01,7.0,0.15151515151515152,8.151515151515152,2014-05-13,1.0,CRISIS
VNS,2014-05-28,1000.0,CASH,2014-04-29,13200.0,578.0,2014-05-13,12890.0,513.91,2014-05-14,13200.0,529.53,2014-05-27,14000.0,552.75,0.06060606060606055,-0.023484848484848442,0.0438502067871509,0.04024070230375809,6,2014-01-01,7.0,0.07575757575757576,0.5757575757575761,2014-05-14,1.0,CRISIS
LDP,2014-05-28,2939.0,CASH,2014-04-29,13230.0,578.0,2014-05-13,14330.0,513.91,2014-05-14,13740.0,529.53,2014-05-27,15710.0,552.75,0.14337700145560417,0.08314436885865462,0.0438502067871509,0.01638242580979865,4,2014-01-01,7.0,0.213901018922853,14.390101892285298,2014-05-14,1.0,CRISIS
CNG,2014-06-06,2000.0,CASH,2014-05-09,12780.0,542.46,2014-05-22,12980.0,541.73,2014-05-23,12650.0,541.49,2014-06-05,12810.0,551.1,0.012648221343873445,0.015649452269170583,0.01774732682044,-0.02074855774573714,6,2014-01-01,7.0,0.15810276679841898,8.810276679841898,2014-05-23,1.0,CRISIS
MAS,2014-06-09,4250.0,CASH,2014-05-12,24680.0,517.05,2014-05-23,24680.0,541.49,2014-05-26,24680.0,544.06,2014-06-06,25130.0,559.04,0.018233387358184805,0.0,0.0275337278976584,-0.009300340539473595,5,2014-01-01,7.0,0.17220421393841168,10.220421393841168,2014-05-26,1.0,CRISIS
KTS,2014-06-10,1500.0,CASH,2014-05-13,11210.0,513.91,2014-05-26,10880.0,544.06,2014-05-27,10820.0,552.75,2014-06-09,11080.0,565.61,0.02402957486136792,-0.02943800178412137,0.023265490728177296,0.030202085917311994,3,2014-01-01,7.0,0.13863216266173753,6.863216266173753,2014-05-27,1.0,CRISIS
PGD,2014-06-12,1000.0,CASH,2014-05-15,8950.0,524.05,2014-05-28,10510.0,557.34,2014-05-29,10450.0,558.45,2014-06-11,10340.0,570.36,-0.010526315789473717,0.17430167597765367,0.02132688691915119,-0.20615487868627858,6,2014-01-01,7.0,0.09569377990430622,2.569377990430622,2014-05-29,1.0,CRISIS
LAS,2014-06-23,3000.0,CASH,2014-05-26,12230.0,544.06,2014-06-06,12710.0,559.04,2014-06-09,12900.0,565.61,2014-06-20,12650.0,560.78,-0.019379844961240345,0.03924775143090753,-0.00853945297996861,-0.050088143412179265,3,2014-01-01,7.0,0.23255813953488372,16.25581395348837,2014-06-09,3.0,NEUTRAL
PVS,2014-07-24,1200.0,CASH,2014-06-26,15790.0,576.4,2014-07-09,16340.0,591.6,2014-07-10,16390.0,584.88,2014-07-23,18970.0,597.5,0.15741305674191586,0.03483217226092461,0.02157707563944733,0.10100380884154392,3,2014-07-01,6.3,0.07321537522879805,1.0215375228798047,2014-07-10,3.0,NEUTRAL
ABT,2014-07-25,1500.0,CASH,2014-06-27,20160.0,578.82,2014-07-10,19330.0,584.88,2014-07-11,19700.0,582.77,2014-07-24,20990.0,602.06,0.06548223350253801,-0.041170634920634885,0.033100537090104076,0.07355233133306882,10,2014-07-01,6.3,0.07614213197969544,1.3142131979695444,2014-07-11,3.0,NEUTRAL
BTT,2014-08-06,1000.0,CASH,2014-07-09,15170.0,591.6,2014-07-22,14350.0,597.98,2014-07-23,14440.0,597.5,2014-08-05,14850.0,607.73,0.028393351800553912,-0.05405405405405406,0.017121338912133854,0.06532606694247411,9,2014-07-01,6.3,0.06925207756232687,0.6252077562326877,2014-07-23,3.0,NEUTRAL
VNM,2014-08-13,2000.0,CASH,2014-07-16,29910.0,589.68,2014-07-29,31530.0,592.24,2014-07-30,31300.0,589.33,2014-08-12,31760.0,601.78,0.014696485623003186,0.054162487462387165,0.021125685100028768,-0.06059168693941275,7,2014-07-01,6.3,0.06389776357827476,0.08977635782747573,2014-07-30,3.0,NEUTRAL
VGP,2014-08-13,800.0,CASH,2014-07-16,12180.0,589.68,2014-07-29,11360.0,592.24,2014-07-30,11860.0,589.33,2014-08-12,11680.0,601.78,-0.015177065767284947,-0.0673234811165846,0.021125685100028768,0.031020730249270878,6,2014-07-01,6.3,0.06745362563237774,0.445362563237774,2014-07-30,3.0,NEUTRAL
TCT,2014-08-26,2500.0,CASH,2014-07-29,36790.0,592.24,2014-08-11,38180.0,602.13,2014-08-12,38180.0,601.78,2014-08-25,39860.0,625.88,0.04400209533787325,0.0377820059798859,0.04004785802120381,-0.03382776866321646,4,2014-07-01,6.3,0.06547930853850184,0.24793085385018454,2014-08-12,3.0,NEUTRAL
MAS,2014-09-08,4000.0,CASH,2014-08-11,30250.0,602.13,2014-08-22,31690.0,620.14,2014-08-25,32310.000000000004,625.88,2014-09-05,36350.0,638.65,0.12503868771278226,0.04760330578512395,0.02040327219275251,0.0570321097349058,6,2014-07-01,6.3,0.12380068090374495,6.080068090374495,2014-08-25,3.0,NEUTRAL
RCL,2014-09-18,800.0,CASH,2014-08-21,10200.0,612.94,2014-09-03,10580.0,640.75,2014-09-04,10620.0,640.22,2014-09-17,10540.0,625.66,-0.007532956685499026,0.0372549019607844,-0.02274218237480874,-0.02204567627147469,5,2014-07-01,6.3,0.07532956685499058,1.2329566854990581,2014-09-04,3.0,NEUTRAL
