ticker,ex_date,div_vnd,grp,t28,c28,v28,t15,c15,v15,t14,c14,v14,t1,c1,v1,pre_ex_ret,baseline_ret,vnindex_pre_ex_ret,abnormal_return,prior_3y,time_x,deposit_rate_pit,raw_yield,excess,time_y,state,regime
ABT,2014-04-18,1500.0,CASH,2014-03-21,19540.0,601.75,2014-04-03,20060.0,589.44,2014-04-04,19980.0,593.04,2014-04-17,21190.0,580.31,0.06056056056056058,0.026612077789150534,-0.0214656684203427,0.05541415119175275,10,2014-01-01,7.0,0.07507507507507508,0.5075075075075075,2014-04-04,1.0,CRISIS
DRL,2014-05-14,1500.0,CASH,2014-04-16,9910.0,574.29,2014-04-29,10290.0,578.0,2014-04-29,10290.0,578.0,2014-05-13,9790.0,513.91,-0.048590864917395504,0.038345105953582204,-0.11088235294117654,0.023946382070198835,4,2014-01-01,7.0,0.1457725947521866,7.577259475218659,2014-04-29,1.0,CRISIS
SGC,2014-05-15,1400.0,CASH,2014-04-17,18180.0,580.31,2014-04-29,17340.0,578.0,2014-04-29,17340.0,578.0,2014-05-14,17340.0,529.53,0.0,-0.04620462046204621,-0.08385813148788934,0.13006275194993555,8,2014-01-01,7.0,0.08073817762399077,1.0738177623990772,2014-04-29,1.0,CRISIS
BMP,2014-05-15,2000.0,CASH,2014-04-17,17350.0,580.31,2014-04-29,16270.0,578.0,2014-04-29,16270.0,578.0,2014-05-14,14530.0,529.53,-0.1069452980946527,-0.06224783861671468,-0.08385813148788934,0.039160672009951325,4,2014-01-01,7.0,0.12292562999385372,5.292562999385371,2014-04-29,1.0,CRISIS
WSB,2014-05-21,1300.0,CASH,2014-04-23,9600.0,569.36,2014-05-06,10800.0,555.11,2014-05-07,11440.0,559.97,2014-05-20,10400.0,537.52,-0.09090909090909094,0.125,-0.04009143346965027,-0.17581765743944067,6,2014-01-01,7.0,0.11363636363636363,4.363636363636363,2014-05-07,1.0,CRISIS
DBM,2014-05-22,2500.0,CASH,2014-04-24,25960.0,570.46,2014-05-07,25960.0,559.97,2014-05-08,25960.0,527.09,2014-05-21,25960.0,543.88,0.0,0.0,0.0318541425562997,-0.0318541425562997,3,2014-01-01,7.0,0.0963020030816641,2.63020030816641,2014-05-08,1.0,CRISIS
HAD,2014-05-22,1500.0,CASH,2014-04-24,13940.0,570.46,2014-05-07,11570.0,559.97,2014-05-08,10790.0,527.09,2014-05-21,10120.0,543.88,-0.062094531974050016,-0.17001434720229558,0.0318541425562997,0.07606567267194586,5,2014-01-01,7.0,0.13901760889712697,6.901760889712698,2014-05-08,1.0,CRISIS
DVP,2014-05-27,2000.0,CASH,2014-04-29,14750.0,578.0,2014-05-12,14180.0,517.05,2014-05-13,13200.0,513.91,2014-05-26,14610.0,544.06,0.10681818181818192,-0.038644067796610115,0.05866786013115144,0.0867943894836406,3,2014-01-01,7.0,0.15151515151515152,8.151515151515152,2014-05-13,1.0,CRISIS
VNS,2014-05-28,1000.0,CASH,2014-04-29,13200.0,578.0,2014-05-13,12890.0,513.91,2014-05-14,13200.0,529.53,2014-05-27,14000.0,552.75,0.06060606060606055,-0.023484848484848442,0.0438502067871509,0.04024070230375809,6,2014-01-01,7.0,0.07575757575757576,0.5757575757575761,2014-05-14,1.0,CRISIS
LDP,2014-05-28,2939.0,CASH,2014-04-29,13230.0,578.0,2014-05-13,14330.0,513.91,2014-05-14,13740.0,529.53,2014-05-27,15710.0,552.75,0.14337700145560417,0.08314436885865462,0.0438502067871509,0.01638242580979865,4,2014-01-01,7.0,0.213901018922853,14.390101892285298,2014-05-14,1.0,CRISIS
CNG,2014-06-06,2000.0,CASH,2014-05-09,12780.0,542.46,2014-05-22,12980.0,541.73,2014-05-23,12650.0,541.49,2014-06-05,12810.0,551.1,0.012648221343873445,0.015649452269170583,0.01774732682044,-0.02074855774573714,6,2014-01-01,7.0,0.15810276679841898,8.810276679841898,2014-05-23,1.0,CRISIS
MAS,2014-06-09,4250.0,CASH,2014-05-12,24680.0,517.05,2014-05-23,24680.0,541.49,2014-05-26,24680.0,544.06,2014-06-06,25130.0,559.04,0.018233387358184805,0.0,0.0275337278976584,-0.009300340539473595,5,2014-01-01,7.0,0.17220421393841168,10.220421393841168,2014-05-26,1.0,CRISIS
