ticker,icb
TMB,1771.0
TIP,8633.0
ST8,9574.0
SGD,5557.0
SGC,3577.0
TCL,2779.0
SFI,2773.0
SEB,7535.0
TRA,4577.0
SLS,3577.0
TV3,2791.0
TTC,2353.0
VNL,2779.0
VNC,2791.0
VNF,2779.0
TTN,6535.0
UIC,7535.0
VC9,2357.0
VRG,8633.0
VFG,1357.0
VNS,5759.0
VGR,2777.0
VCG,2357.0
VHC,3573.0
BHK,3533.0
CLC,3785.0
DHA,2353.0
DP3,4577.0
BMP,2353.0
CNG,7573.0
DHG,4577.0
BDG,3763.0
CVT,2353.0
DCM,1357.0
BED,5557.0
BDT,2353.0
CHP,7535.0
DPM,1357.0
BAX,2357.0
CAP,1737.0
BMI,8536.0
ARM,2797.0
COM,5379.0
NJC,3763.0
RCD,2357.0
KCE,2353.0
MTV,2799.0
NDP,4577.0
MH3,8633.0
HMH,2779.0
HC3,2357.0
GMX,2353.0
PMS,2757.0
HTL,3353.0
GMC,3763.0
SAF,3577.0
FOC,5555.0
MDF,1733.0
OPC,4577.0
SBM,7535.0
LIX,3767.0
NCT,2777.0
PNJ,3767.0
DQC,3726.0
PLX,533.0
QTP,7535.0
GAS,7573.0
LBM,2353.0
IST,2777.0
MTS,2797.0
HVT,1357.0
NSL,7577.0
GHC,7535.0
HTI,2357.0
TSG,2775.0
TPS,5759.0
SEP,1353.0
TOW,7577.0
TLT,2353.0
SSC,3573.0
SKV,3537.0
TIX,8633.0
TMG,1757.0
THG,2353.0
STK,3763.0
TBC,7535.0
TMP,7535.0
VEA,2757.0
VMS,2777.0
VDP,4577.0
VAV,7577.0
VCS,2353.0
DLT,5759.0
DBM,4577.0
DPH,4577.0
BSQ,3533.0
CDN,2777.0
ABI,8536.0
CSM,3357.0
DAD,5557.0
APF,3577.0
CCI,7573.0
AVC,7535.0
BDB,5557.0
DNM,4537.0
HPD,7535.0
NDN,8633.0
EIC,2357.0
LDP,4577.0
NHC,2353.0
SAS,5379.0
INN,2723.0
NSC,3573.0
PLC,1357.0
FMC,3573.0
NTL,8633.0
PVI,8536.0
SBH,7535.0
SCS,5751.0
NT2,7535.0
QNS,3577.0
FOX,6535.0
L10,2757.0
FPT,9537.0
GDW,7577.0
PTB,1733.0
MPC,3573.0
SBA,7535.0
DRC,3357.0
KTS,3577.0
NBT,7577.0
GIL,3763.0
NBC,1771.0
PPH,3763.0
SSI,8777.0
TMC,7573.0
SDV,2799.0
SKG,5759.0
SMB,3533.0
TLG,3724.0
SHP,7535.0
VOC,3577.0
XHC,3726.0
VGL,1757.0
VSI,2357.0
VHL,2353.0
VLW,7577.0
VAF,1357.0
VLB,2353.0
BTU,2799.0
BTD,2353.0
BSP,3533.0
BSA,7535.0
CMD,2353.0
CTT,2757.0
CLL,2777.0
BSH,3533.0
DNC,7535.0
CDP,4577.0
CTB,2757.0
CKV,9578.0
DHT,4577.0
C32,2353.0
LTG,3573.0
SC5,2357.0
HEV,5557.0
ICN,2357.0
NFC,1357.0
DSN,5755.0
DRL,7535.0
HUG,3763.0
PMC,4577.0
HGM,1775.0
HNI,3763.0
PGC,7573.0
DVP,2777.0
PGD,7573.0
PHR,1353.0
RAL,3726.0
PAC,2733.0
PMP,2723.0
PDN,2777.0
LHG,8633.0
KDC,3577.0
PSC,2779.0
GDT,3726.0
IDC,8633.0
MSH,3763.0
PVP,2779.0
ND2,7535.0
SRF,2757.0
SDN,2353.0
THW,7577.0
TAW,7577.0
SFC,7573.0
SZB,8633.0
SIP,8633.0
WCS,2777.0
VMD,4577.0
WSB,3533.0
VIP,2773.0
VPD,7535.0
ACE,2353.0
CLH,2353.0
BDW,7577.0
AMC,1775.0
CPC,1357.0
BFC,1357.0
DPR,1353.0
CSV,1357.0
DNH,7535.0
CAN,3577.0
BTT,5373.0
D2D,8633.0
ABT,3573.0
DPC,2723.0
HBD,2723.0
HNB,2777.0
HCM,8777.0
NAV,2353.0
GLT,3743.0
HAD,3533.0
QHD,2727.0
PHN,2733.0
PJC,7573.0
EID,5557.0
PPC,7535.0
NET,3767.0
PGI,8536.0
ICT,9537.0
PRE,8538.0
IMP,4577.0
HND,7535.0
NTP,2353.0
PGS,7573.0
MAS,5759.0
IDV,8633.0
KHS,3573.0
PNP,2773.0
KHW,7577.0
NCS,3577.0
HLC,1771.0
S55,2357.0
