book,ticker,holding_id,play_type,is_capit_arm,sig_play_type,entry_fill_date,signal_date,sig_signal_date,entry_queue_sessions,last_fill_date,n_fill_days,exit_date,exit_reason,closed,holding_days,holding_sessions,dd52,ey,PE,ey_pct,ey_tercile,rating_8l,rating_asof,rating_src,pct_adv,adv_vnd,sector,vol60,ey_xsec_n,dt5g_state,sessions_since_dt5g_upgrade,breadth_tm1,breadth_pct252_tm1,breadth_tercile_tm1,sig_rank,sig_n_cands,sig_rank_pct,sig_rank_tercile,lag_surprise,lag_surprise_tercile,cost_vnd,proceeds_vnd,contribution_vnd,fee_vnd,ret,r_multiple_stop,r_multiple_vol,entry_px,shares_bought
BAL,HPG,HPG_20140509_1,CAPITB_E0,True,,2014-05-09,2014-05-08,,,2014-05-09,1,2014-08-04,TIME,True,87,61,-0.11458333333333337,0.11166031436269895,8.955733339167978,0.5714285714285714,MID,,,universe_pit_q,0.08502839131997529,24501620000.0,1.0,0.025822449083484657,203,1.0,,0.801762114537445,0.5277777777777778,MID,,,,,,,2083333333.333333,2641979126.897888,558645793.5645552,12393072.972240923,0.26814998091098663,1.3407499045549331,1.3295829066758373,2550.0,815769.80933828
BAL,PVD,PVD_20140509_2,CAPITB_E0,True,,2014-05-09,2014-05-08,,,2014-05-09,1,2014-08-04,TIME,True,87,61,-0.11503322259136217,0.09663612926696849,10.348096592707932,0.458128078817734,MID,,,universe_pit_q,0.07178006827338708,31435250000.0,0.0,0.02503784528568039,203,1.0,,0.801762114537445,0.5277777777777778,MID,,,,,,,2256424391.1909914,2735909561.53223,479485170.3412385,18489542.03925562,0.2124977784379274,1.062488892189637,1.086657107807298,21310.0,105727.11515509426
BAL,PVS,PVS_20140509_3,CAPITB_E0,True,,2014-05-09,2014-05-08,,,2014-05-09,1,2014-08-04,TIME,True,87,61,-0.2835227272727273,0.14795882581887365,6.758637036118192,0.7684729064039408,CHEAP,,,universe_pit_q,0.04003112987739572,61049900500.0,0.0,0.031794173672395114,203,1.0,,0.801762114537445,0.5277777777777778,MID,,,,,,,2443896495.917586,3669728623.5259995,1225832127.6084137,16540277.605406284,0.5015892160965527,2.5079460804827636,2.019927263992698,12610.0,193515.95096788483
BAL,TDH,TDH_20150205_4,RE_BACKLOG_BUY_W,False,RE_BACKLOG_BUY_W,2015-02-05,2015-02-04,2015-02-04,0.0,2015-02-11,5,2015-04-20,TIME,True,74,46,-0.016172506738544423,0.048043272018714944,20.81456899127221,0.20164609053497942,EXPENSIVE,4.0,2015-02-02,universe_pit_q,1.1286230812165674,1685019500.0,8.0,0.01768535545855589,243,3.0,168.0,0.5403225806451613,0.05555555555555555,LOW,1.0,1.0,0.0,TOP,,,1901751899.9999998,1807548960.8474147,-94202939.15258503,16484478.634710608,-0.049534820579164474,-0.24767410289582237,-0.41296941195719894,7300.0,252241.70140790867
BAL,DXG,DXG_20150211_5,RE_BACKLOG_BUY,False,RE_BACKLOG_BUY,2015-02-11,2015-02-10,2015-02-10,0.0,2015-02-11,1,2015-04-24,TIME,True,72,46,-0.012820512820512775,0.09639529803861521,10.373949978342385,0.47950819672131145,MID,2.0,2015-02-02,universe_pit_q,0.21062742031982246,13238565500.0,8.0,0.024298449015681203,244,3.0,172.0,0.5241935483870968,0.051587301587301584,LOW,1.0,1.0,0.0,TOP,,,2788404900.0000005,2619071079.1900744,-169333820.80992603,18641038.076809406,-0.06072784508803797,-0.30363922544018984,-0.3684939835902057,3880.0,717584.6796815087
BAL,DPM,DPM_20150825_6,CAPITB_E2,True,,2015-08-25,2015-08-24,,,2015-08-25,1,2015-11-19,TIME,True,86,61,-0.07994579945799463,0.10658604220819676,9.382091494181564,0.4692982456140351,MID,2.0,2015-08-03,universe_pit_q,0.05252484472226611,20070450000.0,1.0,0.015513939247421471,228,3.0,79.0,0.4219409282700422,0.051587301587301584,LOW,,,,,,,1054197269.7560059,1193820604.1112866,139623334.35528076,4570959.102615356,0.13244516786464122,0.6622258393232061,1.0930728672536114,6570.0,160215.8816198846
BAL,HPG,HPG_20150825_7,CAPITB_E2,True,,2015-08-25,2015-08-24,,,2015-08-25,1,2015-11-19,TIME,True,86,61,-0.29378531073446323,0.15627592270751167,6.398938382028399,0.7280701754385965,CHEAP,2.0,2015-07-20,universe_pit_q,0.024013429630386135,45548695000.0,1.0,0.025234271640596516,228,3.0,79.0,0.4219409282700422,0.051587301587301584,LOW,,,,,,,1093780382.1384208,1186838886.2115936,93058504.07317281,4612746.802730083,0.0850796975268806,0.425398487634403,0.4316882679288939,2460.0,443960.2312541029
BAL,PVS,PVS_20150825_8,CAPITB_E2,True,,2015-08-25,2015-08-24,,,2015-08-25,1,2015-11-19,TIME,True,86,61,-0.5777171795870666,0.2261913963832799,4.421034645833771,0.9166666666666666,CHEAP,2.0,2015-07-24,universe_pit_q,0.05204401998534264,21805574700.0,0.0,0.024158212617848243,228,3.0,79.0,0.4219409282700422,0.051587301587301584,LOW,,,,,,,1134849765.4786818,1390390765.9431791,255541000.46449733,6579684.422381163,0.22517606139409096,1.1258803069704548,1.1934177744249683,9770.0,115982.60393224716
BAL,NLG,NLG_20151104_9,RE_BACKLOG_BUY,False,RE_BACKLOG_BUY,2015-11-04,2015-11-03,2015-11-03,0.0,2015-11-10,5,2016-01-08,TIME,True,65,46,-0.009861932938856066,0.06149349176315858,16.261883515274878,0.2168141592920354,EXPENSIVE,3.0,2015-11-02,universe_pit_q,1.0360857710072118,2468200000.0,8.0,0.011946058287335411,226,3.0,129.0,0.6046511627906976,0.7896825396825397,HIGH,1.0,1.0,0.0,TOP,,,2557266900.0,2569769272.239713,12502372.239713192,10270679.609153032,0.0048889586924669715,0.024444793462334857,0.06034104437126453,10000.0,257620.97967315422
BAL,DXG,DXG_20151217_10,RE_BACKLOG_BUY,False,RE_BACKLOG_BUY,2015-12-17,2015-12-16,2015-12-16,0.0,2015-12-17,1,2016-02-29,TIME,True,74,46,-0.019267822736030782,0.15870240873391026,6.301101589936537,0.8275862068965517,CHEAP,2.0,2015-11-02,universe_pit_q,0.14677117289012062,21243000000.0,8.0,0.017994258960258504,232,3.0,160.0,0.5636363636363636,0.6587301587301587,MID,1.0,1.0,0.0,TOP,,,3117860025.7048326,2805683808.193265,-312176217.5115676,25835823.585573673,-0.10012515473365302,-0.5006257736682651,-0.8204088152141099,5110.0,609234.8806936039
BAL,DRH,DRH_20151221_11,RE_BACKLOG_BUY_W,False,RE_BACKLOG_BUY_W,2015-12-21,2015-12-18,2015-12-18,0.0,2015-12-23,3,2016-03-02,TIME,True,72,46,0.0,0.06008472560382059,16.64316496331662,0.2077922077922078,EXPENSIVE,4.0,2015-10-23,universe_pit_q,0.4791763331312069,3192030000.0,8.0,0.028034044752630067,231,3.0,162.0,0.5555555555555556,0.6507936507936508,MID,1.0,1.0,0.0,TOP,,,1529545230.6448064,3369717914.305702,1840172683.6608958,27711984.918716077,1.2030848429929328,6.015424214964664,6.3274915994611725,9180.0,158799.7669644872
BAL,DPM,DPM_20160119_13,CAPITB_E3,True,,2016-01-19,2016-01-18,,,2016-01-19,1,2016-04-21,TIME,True,93,61,-0.13307493540051685,0.1293628267026496,7.730195957286686,0.5427350427350427,MID,2.0,2015-10-30,universe_pit_q,0.12061271237360224,15302176000.0,1.0,0.012629160021374536,234,3.0,9.0,0.45871559633027525,0.1865079365079365,LOW,,,,,,,1845636952.5782392,2015752594.9715638,170115642.3933246,13896976.268462421,0.09217177958844158,0.4608588979422079,0.9344554235113892,6710.0,274645.6994952042
BAL,LIX,LIX_20160119_12,CAPITB_E3,True,,2016-01-19,2016-01-18,,,2016-01-25,5,2016-04-21,TIME,True,93,61,0.0,0.09499390079310868,10.526991645263028,0.37606837606837606,MID,2.0,2015-11-02,universe_pit_q,1.032960149273624,1162965000.0,3.0,0.01853651913986016,234,3.0,9.0,0.45871559633027525,0.1865079365079365,LOW,,,,,,,1201296500.0000002,1517502139.7585447,316205639.75854445,13247260.159529598,0.26322031218649555,1.3161015609324778,1.8181357164760534,10880.0,109366.96380807555
BAL,VNM,VNM_20160119_14,CAPITB_E3,True,,2016-01-19,2016-01-18,,,2016-01-19,1,2016-04-21,TIME,True,93,61,-0.16426858513189446,0.05417509908737094,18.45866490040469,0.14957264957264957,EXPENSIVE,1.0,2015-10-29,universe_pit_q,0.029438863049419128,66620970000.0,3.0,0.019031659663182047,234,3.0,9.0,0.45871559633027525,0.1865079365079365,LOW,,,,,,,1961245612.0494602,2307250463.61974,346004851.57027984,8720044.840325356,0.17642096912518368,0.8821048456259184,1.1868849507237127,41460.0,47233.674621918064
BAL,LHG,LHG_20160223_15,RE_BACKLOG_BUY,False,RE_BACKLOG_BUY,2016-02-23,2016-02-22,2016-02-22,0.0,2016-02-29,5,2016-04-28,TIME,True,65,46,0.0,0.12515815818749532,7.989890666990584,0.6341463414634146,MID,2.0,2016-01-22,universe_pit_q,0.9891669996142407,3261825000.0,8.0,0.029878826171455018,246,3.0,29.0,0.5339805825242718,0.6507936507936508,MID,1.0,1.0,0.0,TOP,,,3226489648.516721,4151329206.049968,924839557.533247,36150053.46275115,0.28663955514576456,1.4331977757288228,1.414469781360991,9520.0,363392.4217001356
