ticker,time,quarter,Release_Date,quarter_num,release_year,NP_P0,NP_q1,NP_q2,NP_q3,NP_q4,persist_2q,persist_4q,accr_q,slope_gpm,wc_score,Debt_Eq_P0,FinLev_P0,st_debt_ratio,ROE_Min3Y,CF_OA_3Y,in_universe,uni_asof_time
AAA,2010-10-27,2010Q3,2010-10-27,8042,2010,4.189040299400001E10,1.9918177716E10,1.6764629125000002E10,9.132864137E9,1.8820372745E10,0,0,0.08042681926187027,,,0.6574822108709522,1.939069255931568,0.4914383509084285,0.337,5.2E10,true,2010-10-27
AAA,2011-02-08,2010Q4,2011-02-08,8043,2011,1.9918177716E10,1.6764629125000002E10,9.132864137E9,1.8820372745E10,2.0756830239000004E10,0,1,-0.005972568634663466,,,0.7894561849164948,1.9967777571400065,0.5760866952093587,0.0616510117908573,5.1E10,true,2011-02-08
AAA,2011-05-04,2011Q1,2011-05-04,8044,2011,1.6764629125000002E10,9.132864137E9,1.8820372745E10,2.0756830239000004E10,1.5316719417000002E10,1,1,-0.03612743339948641,,-0.7320493404449913,0.9538795910405508,2.164052900598304,0.6445404243378021,0.0616510117908573,5.1E10,true,2011-05-04
AAA,2011-08-01,2011Q2,2011-08-01,8045,2011,9.132864137E9,1.8820372745E10,2.0756830239000004E10,1.5316719417000002E10,1.0620020413E10,1,1,-0.007996500827044955,,-1.0720842391997842,1.4,2.3676833364365075,0.7259261402346929,0.0616510117908573,5.1E10,true,2011-08-01
AAA,2011-11-01,2011Q3,2011-11-01,8046,2011,1.8820372745E10,2.0756830239000004E10,1.5316719417000002E10,1.0620020413E10,1.1148925911E10,1,0,-0.0014002032405734143,,-0.8262775437706228,1.4,2.422747052196446,0.6654933137182335,0.0616510117908573,5.1E10,true,2011-11-01
AAA,2012-02-01,2011Q4,2012-02-01,8047,2012,2.0756830239000004E10,1.5316719417000002E10,1.0620020413E10,1.1148925911E10,1.8056112158E10,0,0,-0.003021538688056208,-0.010288645496304231,-1.1676946937171597,1.3,2.330828434838044,0.6833267637476185,0.0616510117908573,1.07E11,true,2012-02-01
AAA,2012-05-02,2012Q1,2012-05-02,8048,2012,1.5316719417000002E10,1.0620020413E10,1.1148925911E10,1.8056112158E10,1.7213203559E10,0,1,-0.002203733565150563,-0.014113038904356204,-1.0657282039580094,1.2,2.2236667467393145,0.6987412401948685,0.0616510117908573,1.07E11,true,2012-05-02
AAA,2012-08-01,2012Q2,2012-08-01,8049,2012,1.0620020413E10,1.1148925911E10,1.8056112158E10,1.7213203559E10,1.3141742046E10,1,1,-0.02422616154564431,-0.016069798533432017,-0.013532546691261665,1.0,2.0627600239310406,0.742621705927366,0.0616510117908573,1.07E11,true,2012-08-01
AAA,2012-11-01,2012Q3,2012-11-01,8050,2012,1.1148925911E10,1.8056112158E10,1.7213203559E10,1.3141742046E10,1.3189249293E10,1,1,-0.04098198131009044,-0.007983723134745385,0.008644448827415802,0.9,1.9155513929915056,0.7287786426987007,0.0616510117908573,1.07E11,true,2012-11-01
AAA,2013-02-01,2012Q4,2013-02-01,8051,2013,1.8056112158E10,1.7213203559E10,1.3141742046E10,1.3189249293E10,1.1391621343E10,1,0,-0.006961283766153764,-0.007205975863628763,0.349460822731833,0.7,1.7365388733304552,0.9324157543862942,0.0616510117908573,1.66E11,true,2013-02-01
