bucket,n_t,n_c,t_n,t_n_ep,t_win,t_exp,t_exp_cw,t_avg_R,t_med_R,t_mean_hold,t_med_ret,t_med_hold,t_cap_bn,t_years,c_n,c_n_ep,c_win,c_exp,c_exp_cw,c_avg_R,c_med_R,c_mean_hold,c_med_ret,c_med_hold,c_cap_bn,c_years,diff,lo,hi,p_boot,diff_cw,cw_lo,cw_hi,win_diff,feas_pp,feas_pp_vs_ctrl,hypothesis,book,status
H1 BAL PRIMARY,44,270,44,25,0.6363636363636364,0.09823200298479783,0.04486524416935578,0.47140295369324936,0.40267161676029095,52.72727272727273,0.039411030297011845,61.0,325.3742929304787,12,270,57,0.6111111111111112,0.09198741347005532,0.07553069272266721,0.5415889344945607,0.38482604118691,44.855555555555554,0.05730861154016935,46.0,3917.9316704525654,13,0.006244589514742521,-0.08395207408623713,0.09194794949288489,0.9496,-0.030665448553311464,-0.10811971705793344,0.05021093218721621,0.025252525252525193,-0.11569074390714025,-0.11569074390714025,H1,BAL,DESCRIPTIVE (per-book split)
H1 LAG PRIMARY,292,406,292,53,0.565068493150685,0.07301321322705054,0.058533828879677154,0.4277487118650734,0.26844170436345954,29.48972602739726,0.04489445643091145,26.0,4276.9557062007425,13,406,52,0.5615763546798029,0.04790321479936682,0.0295212418995121,0.36378732635855543,0.1932763368829046,27.637931034482758,0.021113262950590198,26.0,5305.791034720305,13,0.025109998427683702,-0.014967034566016559,0.06579710327231708,0.2122,0.029012586980165046,-0.024642984851055736,0.07900784923463615,0.0034921384708820336,1.0513071219623724,1.0513071219623724,H1,LAG,DESCRIPTIVE (per-book split)
H2 BAL PRIMARY,16,295,16,7,0.5625,0.09611848193351094,0.04706585844772149,0.685154236142102,0.3998729468070086,44.5,0.054945806076298453,46.0,296.6492579565282,6,295,59,0.6203389830508474,0.09379388490953852,0.07561649375393027,0.5295410538047477,0.3807376310326341,46.03728813559322,0.0569648453051856,46.0,3903.2748915008865,13,0.002324597023972405,-0.13393581691108764,0.16161414808436256,0.992,-0.028550635306208792,-0.11897148242247026,0.14807188519760123,-0.05783898305084745,-0.05440338819573666,-0.05532263917589037,H2,BAL,DESCRIPTIVE (per-book split)
H2 LAG PRIMARY,33,624,33,12,0.6666666666666666,0.12111453616438506,0.11639841585308305,0.8364801968749421,0.6042847432701409,26.0,0.1072213848727863,26.0,249.88690108690705,9,624,54,0.5769230769230769,0.060310539430994584,0.048491958376678995,0.4012503277126736,0.24542901103395626,28.692307692307693,0.034961478643650803,26.0,8561.854092582686,13,0.06080399673339047,-0.019833478445518405,0.17359167205649445,0.1582,0.06790645747640406,-0.0010076172105724934,0.2070323423780708,0.08974358974358976,0.34662940704464285,0.3100918496961662,H2,LAG,DESCRIPTIVE (per-book split)
H2o BAL PRIMARY,48,263,48,14,0.6041666666666666,0.08903844146887023,0.049701300734569555,0.48334346111246845,0.3998729468070086,45.479166666666664,0.0647816415507568,46.0,636.7341827840542,8,263,60,0.6197718631178707,0.09480321889256375,0.07787053144100814,0.5474395152748126,0.373654965591688,46.045627376425855,0.0567419893103184,46.0,3563.1899666733607,13,-0.005764777423693523,-0.1284514604545064,0.11303921537493718,0.87,-0.028169230706438564,-0.1089957756200161,0.0529287555601319,-0.015605196451204062,-0.13101445908612405,-0.1336052940872366,H2o,BAL,DESCRIPTIVE (per-book split)
H2o LAG PRIMARY,29,628,29,8,0.6551724137931034,0.12700435450824285,0.04977901122045979,0.679613793573113,0.3643270342457845,38.06896551724138,0.059331186732487,26.0,241.4869146590378,7,628,54,0.5780254777070064,0.060425843977111926,0.05043567295605398,0.4113305283094718,0.2666822024081361,28.11783439490446,0.0363127167791739,26.0,8570.254079010554,13,0.06657851053113092,-0.05423821779976572,0.16349858504713682,0.2976,-0.0006566617355941856,-0.04041632490114123,0.06035230429865367,0.07714693608609702,0.019643966563096683,-0.0017204147833298886,H2o,LAG,DESCRIPTIVE (per-book split)
H3 BAL PRIMARY,90,224,90,23,0.6222222222222222,0.08572993670775554,0.12974654127432841,0.4904226274869044,0.4338109661081091,49.233333333333334,0.06143788843445285,46.0,827.7451541118099,11,224,42,0.6116071428571429,0.09572819403816091,0.05947047373718497,0.5483602937598794,0.3547699211094302,44.642857142857146,0.0523204403027269,46.0,3415.5608092712346,12,-0.009998257330405352,-0.09140849520825436,0.08030142086942074,0.874,0.07027606753714344,-0.04837845973149098,0.1587646452867515,0.010615079365079327,0.5407764892700778,0.5407764892700778,H3,BAL,DESCRIPTIVE (per-book split)
H3 LAG PRIMARY,336,362,336,32,0.5565476190476191,0.04213334751191007,0.02546313406338175,0.2627360953638764,0.1954936245867314,28.720238095238095,0.0235352261517546,26.0,4634.879352189127,12,362,35,0.569060773480663,0.07351314559900526,0.058401237749951,0.5091880553783836,0.2606226499991285,28.12707182320442,0.031502649993485454,26.0,4947.867388731919,12,-0.03137979808709519,-0.07554090372539292,0.011888863267130314,0.162,-0.03293810368656924,-0.08974010277095845,0.02888209640929018,-0.012513154433043905,-0.9966877877573128,-0.9966877877573128,H3,LAG,DESCRIPTIVE (per-book split)
H4 LAG PRIMARY,98,511,98,41,0.6632653061224489,0.09392640265040471,0.0767427718864905,0.6357296318191742,0.3222779572825041,26.0,0.05718335792762045,26.0,1117.934680807688,12,511,50,0.5459882583170255,0.045927488941838866,0.03733274185913104,0.3235400849985374,0.19060396590140616,26.0,0.0216570548238823,26.0,7322.313827239314,13,0.04799891370856586,-0.0007301095736320775,0.09733420507880468,0.053,0.03941003002735947,-0.014953450935092762,0.09668000974661853,0.11727704780542347,0.5280524076962384,0.5363682174706992,H4,LAG,DESCRIPTIVE (per-book split)
H5 BAL PRIMARY,133,178,133,17,0.5789473684210527,0.0727006527087666,0.03150063692866513,0.3608182858410995,0.373654965591688,45.721804511278194,0.0567419893103184,46.0,2099.0716621994807,9,178,50,0.6348314606741573,0.10397407855356525,0.11328263094281613,0.6435154100038895,0.3531450782635396,45.88202247191011,0.0425689932372074,46.0,2137.450646963121,11,-0.031273425844798614,-0.11042452937998963,0.05452730402760605,0.4736,-0.08178199401415098,-0.15857317063004792,0.019769086615618856,-0.055884092253104645,-1.1169950245700666,-1.1998454906503557,H5,BAL,DESCRIPTIVE (per-book split)
