book,time,ticker,play_type,ta,sig_rank,sig_n_cands,sig_rank_pct,tercile
BAL,2015-02-04,TDH,RE_BACKLOG_BUY_W,130.0,1,1,0.0,TOP
BAL,2015-02-05,TDH,RE_BACKLOG_BUY_W,130.0,1,1,0.0,TOP
BAL,2015-02-06,TDH,RE_BACKLOG_BUY_W,135.0,1,1,0.0,TOP
BAL,2015-02-09,TDH,RE_BACKLOG_BUY_W,135.0,1,1,0.0,TOP
BAL,2015-02-10,DXG,RE_BACKLOG_BUY,121.0,1,1,0.0,TOP
BAL,2015-02-12,DXG,RE_BACKLOG_BUY,126.0,1,1,0.0,TOP
BAL,2015-02-13,DXG,RE_BACKLOG_BUY,146.0,1,1,0.0,TOP
BAL,2015-02-24,DXG,RE_BACKLOG_BUY,151.0,1,2,0.0,TOP
BAL,2015-02-24,TDH,RE_BACKLOG_BUY_W,135.0,2,2,0.5,MID
BAL,2015-02-25,DXG,RE_BACKLOG_BUY,131.0,1,1,0.0,TOP
BAL,2015-02-26,DXG,RE_BACKLOG_BUY,151.0,1,1,0.0,TOP
BAL,2015-02-27,DXG,RE_BACKLOG_BUY,126.0,1,1,0.0,TOP
BAL,2015-03-02,DXG,RE_BACKLOG_BUY,121.0,1,1,0.0,TOP
BAL,2015-03-03,DXG,RE_BACKLOG_BUY,151.0,1,1,0.0,TOP
BAL,2015-03-04,DXG,RE_BACKLOG_BUY,131.0,1,1,0.0,TOP
BAL,2015-03-05,DXG,RE_BACKLOG_BUY,131.0,1,1,0.0,TOP
BAL,2015-03-06,DXG,RE_BACKLOG_BUY,131.0,1,1,0.0,TOP
BAL,2015-03-09,DXG,RE_BACKLOG_BUY,126.0,1,1,0.0,TOP
BAL,2015-03-10,DXG,RE_BACKLOG_BUY,126.0,1,1,0.0,TOP
BAL,2015-03-25,DXG,RE_BACKLOG_BUY,126.0,1,1,0.0,TOP
BAL,2015-11-03,NLG,RE_BACKLOG_BUY,138.0,1,1,0.0,TOP
BAL,2015-11-13,NLG,RE_BACKLOG_BUY,123.0,1,1,0.0,TOP
BAL,2015-11-16,NLG,RE_BACKLOG_BUY,138.0,1,1,0.0,TOP
BAL,2015-11-19,NLG,RE_BACKLOG_BUY,133.0,1,1,0.0,TOP
BAL,2015-11-20,NLG,RE_BACKLOG_BUY,158.0,1,1,0.0,TOP
BAL,2015-11-23,NLG,RE_BACKLOG_BUY,138.0,1,1,0.0,TOP
BAL,2015-11-24,NLG,RE_BACKLOG_BUY,138.0,1,1,0.0,TOP
BAL,2015-11-25,NLG,RE_BACKLOG_BUY,138.0,1,1,0.0,TOP
BAL,2015-12-16,DXG,RE_BACKLOG_BUY,128.0,1,1,0.0,TOP
BAL,2015-12-18,DRH,RE_BACKLOG_BUY_W,136.0,1,1,0.0,TOP
BAL,2016-02-22,LHG,RE_BACKLOG_BUY,123.0,1,1,0.0,TOP
BAL,2016-03-01,PDR,RE_BACKLOG_BUY,121.0,1,1,0.0,TOP
BAL,2016-03-02,PDR,RE_BACKLOG_BUY,121.0,1,1,0.0,TOP
BAL,2016-03-07,PDR,RE_BACKLOG_BUY,136.0,1,1,0.0,TOP
BAL,2016-03-08,PDR,RE_BACKLOG_BUY,136.0,1,1,0.0,TOP
BAL,2016-03-09,KDH,RE_BACKLOG_BUY_W,121.0,1,1,0.0,TOP
BAL,2016-03-10,PDR,RE_BACKLOG_BUY,131.0,1,2,0.0,TOP
BAL,2016-03-10,KDH,RE_BACKLOG_BUY_W,131.0,2,2,0.5,MID
