record_type,ymd,ticker,action,buy_amount,sell_amount,fee,adj_price,shares,holding_id,play_type,cash_after,reason,book
TX,2014-01-27,DNM,buy,7381535.089972435,0.0,18464.910027565435,17520.0,421.32049600299285,DNM_20140127_1,LAG_HI,24992600000.0,ENTRY_FILL,LAG
TX,2014-02-06,ARM,buy,5502236.156255128,0.0,13763.843744872138,8310.0,662.1222811378012,ARM_20140206_2,LAG_HI,24979284000.0,ENTRY_FILL,LAG
TX,2014-02-06,BKC,buy,6508718.440820289,0.0,16281.559179711156,5630.0,1156.0778758117742,BKC_20140206_4,LAG_LO,24947366000.0,ENTRY_FILL,LAG
TX,2014-02-06,BVS,buy,1809174150.86162,0.0,4525649.138380289,9360.0,193287.83663051494,BVS_20140206_5,LAG_LO,23133666200.0,ENTRY_FILL,LAG
TX,2014-02-06,DAE,buy,7735649.273342732,0.0,19350.72665726673,4740.0,1631.993517582855,DAE_20140206_6,LAG_LO,23125911200.0,ENTRY_FILL,LAG
TX,2014-02-06,DNC,buy,1994629922.3552494,0.0,4989566.7507715225,770.0,2590428.470591233,DNC_20140206_7,LAG_LO,21126291710.89398,ENTRY_FILL,LAG
TX,2014-02-06,DNM,buy,7780536.9867277015,0.0,19463.0132722985,17330.0,448.96347297909415,DNM_20140127_1,LAG_HI,24984800000.0,ENTRY_FILL,LAG
TX,2014-02-06,ECI,buy,6102734.010871804,0.0,15265.98912819568,12060.0,506.03101251009986,ECI_20140206_8,LAG_LO,21120173710.89398,ENTRY_FILL,LAG
TX,2014-02-06,SD4,buy,25329637.910766218,0.0,63362.08923377842,4770.0,5310.196626995014,SD4_20140206_3,LAG_HI,24953891000.0,ENTRY_FILL,LAG
TX,2014-02-06,VBC,buy,1076701379.6364639,0.0,2693368.5011606216,4690.0,229573.85493314796,VBC_20140206_9,LAG_LO,20040778962.756355,ENTRY_FILL,LAG
TX,2014-02-07,ARM,buy,5305727.722103159,0.0,13272.277896841057,8310.0,638.4750568114512,ARM_20140206_2,LAG_HI,20027659962.756355,ENTRY_FILL,LAG
TX,2014-02-07,BKC,buy,6074803.878098937,0.0,15196.12190106418,5630.0,1079.0060174243226,BKC_20140206_4,LAG_LO,19996934962.756355,ENTRY_FILL,LAG
TX,2014-02-07,BVS,buy,185818464.2070101,0.0,464824.8882138133,9570.0,19416.76741975027,BVS_20140206_5,LAG_LO,19810651673.661133,ENTRY_FILL,LAG
TX,2014-02-07,DAE,buy,7876297.441948965,0.0,19702.558051034808,4740.0,1661.6661269934525,DAE_20140206_6,LAG_LO,19802755673.661133,ENTRY_FILL,LAG
TX,2014-02-07,DNM,buy,7780536.986727701,0.0,19463.0132722985,18470.0,421.2526793030699,DNM_20140127_1,LAG_HI,20032978962.756355,ENTRY_FILL,LAG
TX,2014-02-07,ECI,buy,5760589.884404164,0.0,14410.115595836192,11790.0,488.59965092486544,ECI_20140206_8,LAG_LO,19796980673.661133,ENTRY_FILL,LAG
TX,2014-02-07,SD4,buy,24573529.316414993,0.0,61470.68358501047,4700.0,5228.410492854254,SD4_20140206_3,LAG_HI,20003024962.756355,ENTRY_FILL,LAG
TX,2014-02-07,WCS,buy,708228.3667405985,0.0,1771.6332594015403,27910.0,25.37543413617336,WCS_20140207_10,LAG_LO,19796270673.661133,ENTRY_FILL,LAG
TX,2014-02-10,ARM,buy,5305727.72210316,0.0,13272.277896841057,8440.0,628.640725367673,ARM_20140206_2,LAG_HI,19782651673.661133,ENTRY_FILL,LAG
TX,2014-02-10,BKC,buy,5930165.690525152,0.0,14834.30947484821,5630.0,1053.3153979618387,BKC_20140206_4,LAG_LO,19620171873.661133,ENTRY_FILL,LAG
TX,2014-02-10,DAE,buy,10299236.459995322,0.0,25763.54000467807,4830.0,2132.3470931667334,DAE_20140206_6,LAG_LO,19609846873.661133,ENTRY_FILL,LAG
