BIC: 729 phiên, campaigns=70
CRE: 729 phiên, campaigns=70
DHG: 729 phiên, campaigns=70
DRI: 729 phiên, campaigns=70
G36: 729 phiên, campaigns=70
GSP: 729 phiên, campaigns=70
HAP: 729 phiên, campaigns=70
HTI: 703 phiên, campaigns=68
LDP: 679 phiên, campaigns=65
NCT: 728 phiên, campaigns=70
NHA: 729 phiên, campaigns=70
NHH: 729 phiên, campaigns=70
OGC: 729 phiên, campaigns=70
PDN: 605 phiên, campaigns=58
PGB: 723 phiên, campaigns=70
S99: 729 phiên, campaigns=70
SAM: 729 phiên, campaigns=70
SIP: 729 phiên, campaigns=70
TNH: 729 phiên, campaigns=70
TV1: 724 phiên, campaigns=70
VIP: 729 phiên, campaigns=70
VPG: 729 phiên, campaigns=70
VSF: 725 phiên, campaigns=70
ACB: 729 phiên, campaigns=70
DCM: 729 phiên, campaigns=70
FPT: 729 phiên, campaigns=70
HDB: 729 phiên, campaigns=70
MBB: 729 phiên, campaigns=70
PVT: 729 phiên, campaigns=70
VGC: 729 phiên, campaigns=70

wrote /home/trido/thanhdt/WorkingClaude/mike/agents/Taylor/research/ceiling_ab_pacing_20260814/out/campaigns_len10.csv  rows=12480
